,Course Alias,Course Name,Difficulty,Instructor Access,Interest Score,Readings Value,Work Required
0,ARTH-422,Survey of Mespotamian Art and Culture: 2000 B.C. to 1st Century A.D.,3.05,3.63,3.49,3.17,3.11
1,ARTH-521,PROSEM IN CLASSICAL ART,2.54,3.64,3.25,2.7,2.62
2,ARTH-528,PROSEM IN GREEK/ROM ARCH: Architecture and Latest Scholarship,2.42,3.59,3.55,3.0,2.5
3,CLST-275,INTRO GREEK ARCHAEOLOGY,2.18,3.59,3.16,2.94,2.01
4,CLST-416,SURVEY OF GREK SCULPTURE,2.0,3.0,2.13,2.88,1.5
5,CLST-515,GIS APPLICATIONS IN ARCH,2.96,2.5,2.52,1.69,3.32
6,ANTH-557,ARCHAEOL THEORY & METHOD,3.5,3.84,3.29,3.33,3.75
7,CLST-270,ANCIENT ATHLETICS,2.43,3.23,2.06,2.27,2.44
8,ARTH-425,ART OF ANCIENT IRAN,3.44,3.75,3.33,2.67,3.22
9,ARTH-527,PROSEM IN CLASSICAL ARCH,1.0,4.0,2.0,3.5,2.0
10,ANTH-556,ARCHY FLD METHDS & PROBS,2.16,3.68,3.55,3.5,2.32
11,ARTH-420,AGE OF AUGUSTUS,2.18,3.54,2.92,2.23,2.09
12,ARTH-518,ART OF IRAN: Studying a Nizami Manuscript,2.97,3.83,3.7,3.73,3.19
13,CLST-260,THE ANC. CITY OF ATHENS,2.16,3.08,2.52,2.93,2.3
14,CLST-410,ETRUSCAN ART&ARCHAEOLOGY,3.29,3.43,2.93,2.79,3.43
15,ARTH-424,GREEK VASE PAINTING,1.97,3.63,2.37,2.53,2.37
16,CLST-411,LANDSCAPE ARCHAEOLOGY,3.0,4.0,3.75,4.0,3.5
17,ARTH-224,ART EGYPT & MESOPOTAMIA: Architecture and the City in the Ancient Near East,2.77,3.49,2.78,3.13,2.85
18,CLST-408,REL&RIT ANC GREEK WORLD,2.67,3.78,3.22,3.56,3.0
19,ARTH-221,ROMAN ART & ARCHITECTURE,2.27,3.46,2.75,2.43,2.18
20,CLST-532,ANCIENT GREEK COLONIES,3.08,3.5,3.42,3.0,3.42
21,ARTH-220,GREEK ART & ARCHITECTURE,2.35,3.6,2.76,2.56,2.38
22,ARTH-427,ROMAN SCULPTURE,2.21,3.48,2.88,2.3,1.77
23,CLST-212,Digital Reconstruction and Archaeology,3.38,3.38,2.25,2.38,3.75
24,CLST-531,ANATOLIAETRURIA&GREECE,3.0,3.33,3.17,2.33,3.0
25,ARTH-416,MDVL ISLAMIC ART & ARCH: Early Islamic Art and Architecture Until 1250,2.55,3.09,2.91,2.64,2.64
26,CLST-526,MAT & METHODS MED ARCH,2.21,3.58,3.26,2.58,2.3
27,ARTH-517,THE ISLAMIC CITY,2.88,3.5,3.5,3.13,2.75
28,ARTH-226,ROMAN ARCH & URBANISM,2.5,3.64,3.53,3.3,2.38
29,NELC-242,EMPIRES ANC NEAR EAST: Early Empires of the Ancient Near East: The Neo-Assyrian Empire,2.44,3.13,2.33,2.33,2.83
30,ARTH-225,GREEK ARCH & URBANISM,2.54,3.28,3.08,3.0,2.24
31,ARTH-222,MIN CYC & MYCENAEAN ART,2.4,3.47,3.17,2.77,2.34
32,ARTH-229,SHROUDED IN MIST & CLOUD: The Cultural Landscapes of the Black Sea from Homer to the Present,3.02,3.5,3.06,3.08,3.17
33,ARTH-240,MEDIEVAL ART: Introduction to Visual Culture in the High Middle Ages,2.81,3.13,2.91,2.75,2.68
34,ARTH-501,MUSEUM METHODS,2.64,3.37,3.22,2.94,2.7
35,CLST-328,TOPOG & MON OF ANC ROME,2.27,3.62,3.72,2.44,2.33
36,ANCH-535,ROME'S MEDITERR ECONOMY,3.24,3.36,3.63,2.94,3.34
37,NELC-243,HISTORY OF ANCIENT IRAQ,2.8,3.65,3.3,3.2,2.2
38,ACCT-011,FINANCIAL ACCOUNTING,2.65,3.29,2.88,2.81,2.68
39,ACCT-012,MANAGERIAL  ACCOUNTING,2.73,3.3,2.8,2.8,2.67
40,ACCT-022,INTERMED FINANCIAL ACCT,2.89,2.99,2.81,2.94,3.12
41,ACCT-101,LECTURE,2.73,2.52,2.23,2.04,2.27
42,ACCT-102,LECTURE,2.54,2.6,2.26,1.89,2.07
43,ACCT-202,FINANCIAL ACCOUNTING II,2.85,3.16,2.67,2.54,2.41
44,ACCT-203,COST ACCOUNTING,2.69,2.94,2.43,2.18,2.24
45,ACCT-205,TAX PLANNING & ADMINISTR,2.57,2.67,3.11,1.79,1.84
46,ACCT-208,AUDITING,1.71,2.82,2.47,2.37,1.55
47,ACCT-230,INT'L ACCT & FIN REPORT,1.72,2.76,2.17,2.01,1.88
48,ACCT-201,FINANCIAL ACCOUNTING I,2.95,3.2,2.35,2.33,2.47
49,ACCT-243,ACCT FOR COMPLX FIN STRU,3.54,2.79,2.57,2.6,3.39
50,ACCT-411,FINANCIAL ACCOUNTING,2.65,3.29,2.88,2.81,2.68
51,ACCT-412,MANAGERIAL ACCOUNTING,2.73,3.3,2.8,2.8,2.67
52,ANTH-477,ARCHAEOLOGICAL CHEMISTRY,2.14,3.47,2.83,2.96,2.15
53,ARTH-422,Survey of Mespotamian Art and Culture: 2000 B.C. to 1st Century A.D.,3.05,3.63,3.49,3.17,3.11
54,ARTH-521,PROSEM IN CLASSICAL ART,2.54,3.64,3.25,2.7,2.62
55,ARTH-528,PROSEM IN GREEK/ROM ARCH: Architecture and Latest Scholarship,2.42,3.59,3.55,3.0,2.5
56,CLST-275,INTRO GREEK ARCHAEOLOGY,2.18,3.59,3.16,2.94,2.01
57,CLST-416,SURVEY OF GREK SCULPTURE,2.0,3.0,2.13,2.88,1.5
58,CLST-515,GIS APPLICATIONS IN ARCH,2.96,2.5,2.52,1.69,3.32
59,ANTH-557,ARCHAEOL THEORY & METHOD,3.5,3.84,3.29,3.33,3.75
60,CLST-270,ANCIENT ATHLETICS,2.43,3.23,2.06,2.27,2.44
61,ARTH-425,ART OF ANCIENT IRAN,3.44,3.75,3.33,2.67,3.22
62,ARTH-527,PROSEM IN CLASSICAL ARCH,1.0,4.0,2.0,3.5,2.0
63,ANTH-556,ARCHY FLD METHDS & PROBS,2.16,3.68,3.55,3.5,2.32
64,ARTH-420,AGE OF AUGUSTUS,2.18,3.54,2.92,2.23,2.09
65,ARTH-518,ART OF IRAN: Studying a Nizami Manuscript,2.97,3.83,3.7,3.73,3.19
66,CLST-260,THE ANC. CITY OF ATHENS,2.16,3.08,2.52,2.93,2.3
67,CLST-410,ETRUSCAN ART&ARCHAEOLOGY,3.29,3.43,2.93,2.79,3.43
68,ARTH-424,GREEK VASE PAINTING,1.97,3.63,2.37,2.53,2.37
69,CLST-411,LANDSCAPE ARCHAEOLOGY,3.0,4.0,3.75,4.0,3.5
70,ARTH-224,ART EGYPT & MESOPOTAMIA: Architecture and the City in the Ancient Near East,2.77,3.49,2.78,3.13,2.85
71,CLST-408,REL&RIT ANC GREEK WORLD,2.67,3.78,3.22,3.56,3.0
72,ARTH-221,ROMAN ART & ARCHITECTURE,2.27,3.46,2.75,2.43,2.18
73,CLST-532,ANCIENT GREEK COLONIES,3.08,3.5,3.42,3.0,3.42
74,ARTH-220,GREEK ART & ARCHITECTURE,2.35,3.6,2.76,2.56,2.38
75,ARTH-427,ROMAN SCULPTURE,2.21,3.48,2.88,2.3,1.77
76,CLST-212,Digital Reconstruction and Archaeology,3.38,3.38,2.25,2.38,3.75
77,CLST-531,ANATOLIAETRURIA&GREECE,3.0,3.33,3.17,2.33,3.0
78,ARTH-416,MDVL ISLAMIC ART & ARCH: Early Islamic Art and Architecture Until 1250,2.55,3.09,2.91,2.64,2.64
79,CLST-526,MAT & METHODS MED ARCH,2.21,3.58,3.26,2.58,2.3
80,ARTH-517,THE ISLAMIC CITY,2.88,3.5,3.5,3.13,2.75
81,ARTH-226,ROMAN ARCH & URBANISM,2.5,3.64,3.53,3.3,2.38
82,NELC-242,EMPIRES ANC NEAR EAST: Early Empires of the Ancient Near East: The Neo-Assyrian Empire,2.44,3.13,2.33,2.33,2.83
83,ARTH-225,GREEK ARCH & URBANISM,2.54,3.28,3.08,3.0,2.24
84,ARTH-222,MIN CYC & MYCENAEAN ART,2.4,3.47,3.17,2.77,2.34
85,ARTH-229,SHROUDED IN MIST & CLOUD: The Cultural Landscapes of the Black Sea from Homer to the Present,3.02,3.5,3.06,3.08,3.17
86,ARTH-240,MEDIEVAL ART: Introduction to Visual Culture in the High Middle Ages,2.81,3.13,2.91,2.75,2.68
