NAME,ALIAS,PATH,DESCRIPTION
AEGEAN BRONZE AGE: Science in Archaeology,ARTH-525,/coursehistories/169,Topic Varies.   
ARCHAEOLOGICAL CHEMISTRY,ANTH-477,/coursehistories/1214,A comprehensive exploration of the Indian conceptions of Karma and rebirth and their roles and application in Indian history| culture| and religion.   
Survey of Mespotamian Art and Culture: 2000 B.C. to 1st Century A.D.,ARTH-422,/coursehistories/1222,This course is team-taught by four professors with specialties in Arabic| Hebrew| Persian and Turkish literatures| and is conducted jointly with Rutgers University| New Brunswick via videoconferencing. The course deals with the modern literature within each tradition and focuses on poetry| short story and the novel (novels to be studied this semester are: Al-Shaikh's The Story of Zahra| Yehoshua's The Lover| Rachlin's Foreigner| and Pamuk's The White Castle). The readings are all in English. The course is conducted in a seminar format. Students are expected to participate in classroom discussion of the materials assigned for each session| and evaluation is partially based on the quality of that participation. A short paper is assigned on the poetry and the short stories| and there is a final| longer term paper.   
PROSEM IN CLASSICAL ART,ARTH-521,/coursehistories/1224,
PROSEM IN GREEK/ROM ARCH: Architecture and Latest Scholarship,ARTH-528,/coursehistories/1225,Course topics will vary; have included The Binding of Isaac| Responses to Catastrophies in Jewish History| and Concepts of Jewishness from Biblical Israel to the Modern State (Stern); Holy Men & Women (Ben-Amos) Fall 2004: Rewriting the Bible (Dohrmann)   
INTRO GREEK ARCHAEOLOGY,CLST-275,/coursehistories/1253,An introduction to the grammar of the Aramaic language with emphasis on developing skills in reading Aramaic texts.   
SURVEY OF GREK SCULPTURE,CLST-416,/coursehistories/1254,Advanced conversation for students lacking native Chinese language proficiency.  
GIS APPLICATIONS IN ARCH,CLST-515,/coursehistories/1255,A survey of major masterpieces of landscape and figure painting on silk and on walls from the earliest vestiges of Chinese painting in the 1st millennium BCE through the 18th century. Course includes hands-on viewings of paintings in local museums. No prior knowledge of Chinese culture required.   
ARCHAEOL THEORY & METHOD,ANTH-557,/coursehistories/1660,
ANCIENT ATHLETICS,CLST-270,/coursehistories/1755,Is the world evolving toward a global civil society| and perhaps toward global government? The course explores this question across the 20th century| focusing on the origins and evolution of transnational organizations and movements. We will analyze a variety of actors above and below the level of the nation-state| from the League of Nations to Amnesty International. At the same time we will pay careful attention to the many countervailing forces that have resisted the process of globalization: various forms of nationalism| local ethnic and religious movements in places as far-flung as Central Africa and Northern Ireland| and struggles over territories and border control from Arizona to Kashmir. We will look at the long history of contention between these opposing trajectories| exploring such topics as Wilsonianism and its reception in Europe and beyond| transnational human rights norms| the environmentalist movement| institutions designed to deal with global threats such as the World Health Organization or the International Atomic Energy Agency| European integration| political Islam| and the War on Terror.   
ART OF ANCIENT IRAN,ARTH-425,/coursehistories/2232,After introducing students to the major theoretical concepts concerning law and society| significant controversial societal issues that deal with law and the legal systems both domestically and internationally will be examined. Class discussions will focus on issues involving civil liberties| the organization of courts| legislatures| the legal profession and administrative agencies. Although the focus will be on law in the United States| law and society in other countries of Africa| Asia| Europe and Latin America will be covered in a comparative context. Readings included research reports| statutes and cases.   
PROSEM IN CLASSICAL ARCH,ARTH-527,/coursehistories/2233,This course relies on a variety of sociological perspectives to examine the role of the media and popular culture in society| with a particular emphasis on the power of the entertainment industries| the relationship between cultural consumption and status| and the social organization of leisure activities from sports to shopping. Specific course topics include the globalization of branding and popular culture| the rise of aesthetics and style in everyday life| the importance of social networks in the diffusion of fads| fashions| and mass media; and the social effects of new media technologies in the digital age.   
ARCHY FLD METHDS & PROBS,ANTH-556,/coursehistories/144,Seminar analyzing process of archaeological excavation as a problem of researchdesign and method| stressing excavation as an integrated methodological system of research dealing with data retrieval| storage processing| integration and interpretation leading to final publication. Course intended for students proposing archaeological careers; it will be assumed participants have some practical excavation experience.   
AGE OF AUGUSTUS,ARTH-420,/coursehistories/2467,Spanish 110 is a first-semester elementary language course designed for students who have not previously studied Spanish. This course emphasizes the development of foundational reading| writing| listening| and speaking skills while exploring the rich cultural mosaic of the Spanish-speaking world. Students will participate in pair| small-group and whole-class activities that focus on meaningful and accurate communication skills in the target language.   Students who have previously studied Spanish must take the online placement examination.   
ART OF IRAN: Studying a Nizami Manuscript,ARTH-518,/coursehistories/2469,Spanish 140| the continuation of Spanish 130| is a fourth-semester language course that offers students the opportunity to acquire communicative skills (reading| writing| listening and speaking) while developing their awareness and appreciation of the Spanish-speaking world. Topics studied may include the environment| the arts| social relations| and conflict and violence.   
THE ANC. CITY OF ATHENS,CLST-260,/coursehistories/2765,
ETRUSCAN ART&ARCHAEOLOGY,CLST-410,/coursehistories/2767,Courses in this category will examine the value systems| political forms| and social and economic institutions that have shaped human societies around the world. An important aspect of many of these courses will be the examination of the moral and political ideals of liberal democracy in the modern world| but it is expected that most of the courses offered in this category will give to students some comparative perspective--over time and across cultures--on the ways in which human societies are organized. These courses will employ the methods and perspectives of various disciplines such as philosophy| political science| history| religious studies| economics| sociology| and anthropology. The courses will employ both original texts and contemporary materials.   For particular course descriptions| please see the Pilot Curriculum web site: http://www.college.upenn.edu/pilot curriculum/pccrsdescriptions.html   
