NAME,ALIAS,PATH,DESCRIPTION
INTRO AFRO-AM STUDIES,AFAM-015,/coursehistories/11,An exploration of issues relevant to an understanding of Afro-American Studies as an academic discipline. Why did it develop? What are its methods and disciplines? To this end| the historical development of African American and other African Diaspora cultures from various perspectives literary| political| social| etc. will be explored. In this process| we will be concerned with how African American and other African Diaspora experiences have been viewed in the past and how Afro-American Studies as a discipline seeks to view them in the present and future.   
ELEMENTARY YORUBA II,AFAM-171,/coursehistories/12,
WITHOUT STRUGGLE: Contemporary Issues of Extended Identity and Community Focused Research,AFAM-310,/coursehistories/13,
DU BOIS: THEORIZING RACE,AFAM-400,/coursehistories/14,
ELEMENTARY SWAHILI II,AFST-181,/coursehistories/15,This course continues to introduce basic grammar| vocabulary| and the reading and writing of Swahili to new speakers. During this term| folktales| other texts| and film selections are used to help introduce important aspects of Swahili culture and the use of the language in wide areas of Africa.   
INTERMEDIATE AMHARIC II,AFST-243,/coursehistories/17,
INTERMEDIATE SWAHILI II,AFST-281,/coursehistories/18,
ADVANCED SWAHILI II,AFST-285,/coursehistories/19,
URBAN NEIGHBORHOODS,ANTH-355,/coursehistories/137,This course provides tools for understanding the changing relationships among urban neighborhoods in the global economy. The course draws on theoretical approaches from cultural geography| post-modern theories of global economics| and anthropological theories of transnational culture to analyze processes within and among four cities: Philadelphia| Los Angeles| Santiago de Chile| and Cuidad Juarez on the U.S.-Mexico border.   
PUBLIC INTEREST ANTHRO,ANTH-416,/coursehistories/139,ANTH416 investigates the history of race as a socially meaningful category. Where did it come from? Why/how did it develop? What are its various historical and contemporary manifestations? In which ways might it be inextricably linked to other forms of differentiation (eg. class| gender| religion| ethnicity and sexuality)? This course asks students to think critically about their own political and emotional investments in race as a social/biological fact. We will examine from various fields (in the humanities| the natural sciences| and the social sciences) the realities of racial thinking| highlighting the kinds of theories which address race's continued relevance (or irrelevance). Race is a complicated construct (considering how much we all think we understand it)| one which demands careful attention to culture and biology| mythology and history| science and superstition. This course seeks to unpack the power of race through an interdisciplinary self-reflective engagement with it| using a philosophy of knowledge approach to its construction and reproduction as a political and analytical category.   
ANTHROPOLOGY OF AFRICA,ANTH-514,/coursehistories/141,African culture history| as inferred from archaeology| linguistic relationships and ethnology. Culture areas of Africa and representative societies; common themes and differences; significance for anthropological concerns.   
AFRICAN-AMERICAN LIT,ENGL-081,/coursehistories/388,An introduction to African-American literature| typically ranging across a wide specturm of moments| methodologies| and ideological postures| from Reconstruction and the Harlem Reanaissance to the Civil Rights Movement. Most versions of this course will begin in the 19th century; some versions of the course will concentrate only on the modern period.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
ANGLOPHONE AFRICAN LIT: African Literature:  Texts and Contexts,ENGL-280,/coursehistories/416,A survey of the emergence and development of Anglophone African Literature| the course will devote equal time to each of the main genres of literature drama| prose fiction| and poetry. While according some significance to the place in the tradition of writing by European settlers and texts in English translation| only canonical works by anglophone African writers that were originally written in English drawn from East| South| and West Africa will be treated. All works will be examined in relation to the cultural| economic| political| and social history of Africa.   
TOPICS LIT & SOCIETY: Race Space and Law in the 19th Century United States,ENGL-293,/coursehistories/425,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TPCS AFRICAN-AMER LIT: Teaching Literature in the Community,ENGL-381,/coursehistories/432,In this advanced seminar| students will be introduced to a variety of approaches to African American literatures| and to a wide spectrum of methodologies and ideological postures (for example| The Black Arts Movement). The course will present an assortment of emphases| some of them focused on geography (for example| the Harlem Renaissance)| others focused on genre (autobiography| poetry or drama)| the politics of gender and class| or a particular grouping of authors. Previous versions of this course have included "African American Autobiography|" "Backgrounds of African American Literature|" "The Black Narrative" (beginning with eighteenth century slave narratives and working toward contemporary literature)| as well as seminars on urban spaces| jazz| migration| oral narratives| black Christianity| and African-American music.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
LECTURE,HIST-075,/coursehistories/573,Survey of major themes and issues in African history before 1800. Topics include: early civilizations| African kingdoms and empires| population movements| the spread of Islam|and the slave trade. Also| emphasis on how historians use archaeology| linguistics| and oral traditions to reconstruct Africa's early history.   
AFRO AMER HIST,HIST-176,/coursehistories/587,This course will study the history of Afro-Americans from their first encounter with Europeans in the 16th century to emancipation during the Civil War. The course will concentrate on the variety of black responses to capture| enslavement| and forced acculturation in the New World. The difference in the slave experience of various New World countries| and the methods of black resistance and rebellion to varied slave systems will be investigated. The nature and role of the free black communities in antebellum America will also be studied.   
AFRO AMER HIST 1876-PRES,HIST-177,/coursehistories/588,A study of the major events| issues| and personalities in Afro-American history from Reconstruction to the present. It will also examine the different slave experiences and the methods of black resistance and rebellion in the various slave systems.   
HIST OF LAW & SOCIAL POL,HIST-204,/coursehistories/593,
GEN HRS AMERICA AFT 1800: RELIGION IN AMER HIST,HIST-214,/coursehistories/597,
