NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY SWAHILI II,AFST-181,/coursehistories/15,This course continues to introduce basic grammar| vocabulary| and the reading and writing of Swahili to new speakers. During this term| folktales| other texts| and film selections are used to help introduce important aspects of Swahili culture and the use of the language in wide areas of Africa.   
ELEMENTARY SWAHILI: ACCL,AFST-185,/coursehistories/16,
INTERMEDIATE AMHARIC II,AFST-243,/coursehistories/17,
INTERMEDIATE SWAHILI II,AFST-281,/coursehistories/18,
ADVANCED SWAHILI II,AFST-285,/coursehistories/19,
TWI-AFR LANG TUTOR I,AFST-490,/coursehistories/20,The main objective of this course is to allow students to study an African language of their choice| depending on the availability of the instructor. The course will provide students with linquistics tools which will facilitate their research work in the target country. Cultural aspects of the speakers of the language will be introduced and reinforced.   
IGBO-AFR LANG TUTOR IV,AFST-493,/coursehistories/21,Continuation of AFST 492.   
ELEMENTARY YORUBA II,AFAM-171,/coursehistories/12,
MIDDLE EGYPTIAN,AMES-460,/coursehistories/86,Introduction to the grammar of Middle Egyptian.   
AFRICAN WORLDS,ANTH-018,/coursehistories/114,This course concentrates on popular culture in sub-Saharan Africa. It examines the way people reflect on and represent various aspects and issues in their daily lives| in public media| and through a diverse range of performative and creative outlets. It explores the way cultural traditions are created| promulgated| and perpetuated. It looks at the way popular culture deals with pleasure and pain; identity difference and diversity; wealth and power; modernity and history; gender relations; suppression| resistance| and violence; and local versus global processes. In short| popular culture will serve as a window through which to observe contemporary life.   
ANTHROPOLOGY OF AFRICA,ANTH-514,/coursehistories/141,African culture history| as inferred from archaeology| linguistic relationships and ethnology. Culture areas of Africa and representative societies; common themes and differences; significance for anthropological concerns.   
ADV. TOPICS IN NARRATIVE: Narratives of the Self:  Colonial & Postcolonial Autiobiography,ENGL-260,/coursehistories/412,This course explores an aspect of the novel intensively| asking how novels work and what they do to us and for us. Specific course topics will vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
ANGLOPHONE AFRICAN LIT: African Literature:  Texts and Contexts,ENGL-280,/coursehistories/416,A survey of the emergence and development of Anglophone African Literature| the course will devote equal time to each of the main genres of literature drama| prose fiction| and poetry. While according some significance to the place in the tradition of writing by European settlers and texts in English translation| only canonical works by anglophone African writers that were originally written in English drawn from East| South| and West Africa will be treated. All works will be examined in relation to the cultural| economic| political| and social history of Africa.   
LECTURE,HIST-075,/coursehistories/573,Survey of major themes and issues in African history before 1800. Topics include: early civilizations| African kingdoms and empires| population movements| the spread of Islam|and the slave trade. Also| emphasis on how historians use archaeology| linguistics| and oral traditions to reconstruct Africa's early history.   
AFRICANS ABROAD,HIST-489,/coursehistories/617,This seminar will examine the experiences of recent emigrants and refugees from Africa| including many now living in the city of Philadelphia and the surrounding region. In addition to reading some of the historical and comparative literature on migration| ethnic diasporas| and transnationalism| students will have the opportunity to conduct research on specific African communities in Philadelphia or elsewhere in North America| Europe| or the Middle East. African emigres' relations with both their home and host societies will be explored and compared with the experience of other immigrant groups over the past century. Topics include reasons for leaving Africa| patterns of economic and educational adaptation abroad| changes in gender and generational roles| issues of cultural and political identity| and the impact of national immigration policies.   
WORLD MUSICS & CULTURES,MUSC-022,/coursehistories/784,Draws on repertories of various societies from Asia| Africa| Europe| and the Americas to examine relations between aesthetic productions and social processes. We investigate musical sounds| cultural logics informing those sounds| and social strategies of performance. Topics may include indigenous music theories| music and social organization| symbolic expressions and musical meaning| gender| religion| and social change.   
CONTEMP AFRICAN POLITICS,PSCI-257,/coursehistories/935,One of the great accidents of history is the Partition of the subcontinent into the two states of India and Pakistan| and the onset of the cold war as a global struggle between the United States and the Soviet Union. The major focus of the course is on the interaction between regional conflicts| the most enduring symbolized by the unresolved dispute between India and Pakistan over Kashmir| and the global strategies of rival great powers which sought to tip the balance of power in their favor by military and ideological influence over the "third world." These conflicts were exacerbated by the Indian leadership's commitment to an independent foreign policy of non-alignment| and its aspirations to leadership of newly independent states in Asia and Middle East| ranged against Pakistan's inability to establish a viable state without exernal support. The resulting alignments and alliances drew the subcontinent into the center of cold war rivalries. The last part of the course focuses on the changing security environment after the cold war| the rise of India and China as competitors for influence; and problems posed by persisting mutual resentment and distrust in India and the United States| despite recognition on both sides of the need to cooperate and avoid China's domination of Asia.   
INT'L WOM WAR & PEACE,WSTD-258,/coursehistories/1151,
