NAME,ALIAS,PATH,DESCRIPTION
ELEM VIETNAMESE I & II,ALAN-110,/coursehistories/2950,A focused study of the human figure for students who have already taken Figure Sculpture I. Figure Sculpture II offers students students a chance to refine their modeling skills| to appropriately enhance their use of anatomy| and to experiment with scale. Full fluency in basic human functional anatomy is expected upon enrollment. $12 lab fee.   
BEGINNING TAGALOG I & II,ALAN-120,/coursehistories/2951,Students will have the opportunity to explore the idea of reproducibility| process and experimentation. Zinc and Copper etching| as well as non-acid processes will be covered. Demonstrations involve processes as basic as drypoint and line etching to more advanced skills such as spit bite and multiple plate color printing. A good introduction to the arts for students with little or no experience; this course will provide a foundation on which to build| combining direct skills like drawing and painting with conceptualization| visualization| planning and professionalism. Though offering much technical information| the focus of the class will be image making and idea development. Students will be challenged to pursue themes personally important while completing smaller projects designed to master techniques. $40 Studio Fee   
BEGINNING THAI I & II,ALAN-130,/coursehistories/2952,This class is designed to give students a foundation of basic skills needed to express ideas creatively in clay. Assignments will combine learning different approaches to art/sculpture making issue with clay forming and finishing techniques. Coil building| slab construction| pinching and tile making will be learn ed. Students will become familiar with basic glaze and slip surface treatments.The firing process will also be covered. Issues in historical and contemporaryceramics will be discussed. Instruction will center around demonstration| slidepresentations| individual and group critiques.   
INTERM VIETNAMESE I & II,ALAN-210,/coursehistories/2953,The purpose of this beginning level ceramics class is to learn the skills needed to use the potter's wheel as a tool for object making. Traditional ceramic techniques such as centering the clay| pulling walls and trimming pots will be a focus. A variety of glazing and slip decoration methods will be covered. Slide discussions| field trips and readings will supplement the studio work. $80 Studio fee.   
INTERMED TAGALOG I & II,ALAN-220,/coursehistories/2954,Students will continue to develop the technical skills involved in the wheel throwing process. Using the wheel as a tool to make sculptural as well as functional objects will also be explored. Focus will be placed on students' creative and technical development. $80 Studio Fee.   
INTERMEDIATE THAI I & II,ALAN-230,/coursehistories/2955,FNAR 265 is an introduction to digital imaging and creative problem solving through projects that involve drawing| design and desktop publishing. Graphics software programs used include Adobe PhotoShop and Illustrator| Fractal Painter and QuarkXPress. As well as creation directly on the computer| students will be able to capture and manipulate images through scanners and digital cameras. Output methods| both traditional and alternative| are also explored in this course.   
FILIPINO LANG & CULTURE,ALAN-320,/coursehistories/4883,Survey of the civilization of China (Fall semester) and Japan (Spring semester) from prehistoric times to the present.   
ELEMENTARY INDONESIAN I,ALAN-150,/coursehistories/5502,In Italian 202 (formerly 205)| students will perfect their communication skills to function in the formal register appropriate for an academic setting| while continuing to explore significant aspects of contemporary Italian culture and history. Students will take futher steps towards being able to understand in depth and to contextualize authentic Italian documents. Texts like films| songs| and a variety of readings| will be used as windows on particular historical periods| cultural movements| political issues| and social customs. They will serve as a tool to investigate the many facets of Italian identity and| at the same time| as a way to prepare those students who will continue their study of Italian literature and culture in higher-level courses.   Students are expected to participate willingly in conversations and all other class activities in order to perfect their oral and written ability to narrate| express opinion| hypothesize| and discuss a variety of topics quite accurately| using rich| appropriate vocabulary and grammar| and organizing paragraphs into well structured discourses| be they oral presentations| weekly compositions (2-2.5 pages) or the final essay (6-7 pages). To reach these goals| speaking| listening| reading and writing activities -- role plays| discussions| oral presentations| journals| grammar reviews -- will be based on audio-visual material and written texts provided by the instructor| and purchased and/or proposed by the students themselves| based on their independent explorations and research.   
INTERMED INDONESIAN I,ALAN-250,/coursehistories/5757,Elementary thermodynamics and statistical physics including heat engines and the Maxwell-Boltzmann distribution| independent and forced harmonic motion| coupled oscillators| normal modes| longitudinal and transverse sound and light waves| interference and diffraction| and elementary Fourier analysis and the uncertainty principle.   
BEGINNING TIBETAN II,ALAN-031,/coursehistories/6099,Topic varies year to year. Spring 2004: Patriarchal and Rabbinic Authority in Late Antique Palestine   The course material will be presented through the reading of texts (in contrast to just talking about the evidence). By approaching the materials in this way| literary and stylistic issues will be part of the course as well; that is to say| it will not be limited to purely linguistic topics. Moreoever| the student thus will gain a firsthand familiarity with the panoply of ancient Hebrew sources at our disposal.   
ELEMENTARY INDONESIAN II,ALAN-151,/coursehistories/6100,Introduction to the grammar of Middle Egyptian.   
ELEM VIETNAMESE II,ALAN-111,/coursehistories/6330,This course uses advertising to examine the construction of gender from the late 19th century to the present.   
INTERMED VIETNAMESE II,ALAN-211,/coursehistories/6331,Examination of the structure and effects of visual media (film| television| advertising| and other kinds of pictures).   
INTERMEDIATE FILIPINO II,ALAN-221,/coursehistories/6332,Theory| research and application in the persuasive effects of communication in social and mass contexts. Primary focus on the effects of messages on attitudes| opinions| values| and behaviors. Applications include political| commercial| and public service advertising; propaganda; and communication campaigns (e.g. anti-smoking).   
INTERMED INDONESIAN II,ALAN-251,/coursehistories/6333,Seminar for students concurrently participating in department-approved internships in communication-related organizations. Students will develop independent research agendas to investigate aspects of their internship experience or industry. Building on written field notes| assigned readings| and classroom discussion and evaluation| students will produce final papers using ethnographic methods to describe communications within their site or industry in order to understand and critically examine their hands-on experiences.   
