NAME,ALIAS,PATH,DESCRIPTION
ANCIENT ROME,ANCH-027,/coursehistories/107,The Roman Empire was one of the few great world states-one that unified a large area around the Mediterranean Sea-an area never subsequently united as part of a single state. Whereas the great achievements of the Greeks were in the realm of ideas and concepts (democracy| philosophy| art| literature| drama) those of the Romans tended to be in the pragmatic spheres of ruling and controlling subject peoples and integrating them under the aegis of an imperial state. Conquest| warfare| administration| and law making were the great successes of the Roman state. We will look at this process from its inception and trace the formation of Rome's Mediterranean empire over the last three centuries BC; we shall then consider the social| economic and political consequences of this great achievement| especially the great political transition from the Republic (rule by the Senate) to the Principate (rule by emperors). We shall also consider limitations to Roman power and various types of challenges| military| cultural| and religious| to the hegemony of the Roman state. Finally| we shall try to understand the process of the development of a distinctive Roman culture from the emergence new forms of literature| like satire| to the gladiatorial arena as typical elements that contributed to a Roman social order.   
SPLENDOR OF ROME,ANCH-120,/coursehistories/108,Rome once ruled the entire Mediterranean world| and its legacy looms large in western civilization. Many aspects of Roman architecture| art| engineering| religion| and law persist today. This course will examine Roman civilization and accomplisments through the lens of their great monuments and achievements: the Colosseum| the Circus Maximus| the city of Pompeii| villas| baths| and aqueducts| among others. Primary sources in translation| slides| and video will assist in our examination of the splendor of Rome.   
ROME'S MEDITERR ECONOMY,ANCH-535,/coursehistories/109,A separate topic is offered in either the history of Ancient Near East| Greece or Rome.   
Who Owns the Past?  Issues of Ethics in Archaeology,CLST-132,/coursehistories/274,The Elgin marbles should be returned to Greece. The Elgin marbles should stay in the British Museum. Who should have Schliemann's treasure: Russia| Germany| or Turkey? Are wealthy private collectors causing our world heritage to be dug up illicitly| thereby destroying valuable information| or are they providing a necessary service to the world by maintaining in good environments and with proper care the world's patrimony? Who has a right to own the past? These questions and related issues that are currently under heated debate among archaeologists| private collectors| ethnic groups| institutions and governments will be explored over the course of 15 meetings. Discussions will include ethical codes and professional responsibility; state| national and international legislation; the roles of the press (both academic and popular)| of the individual| of universities and museums| of governments and of special interest groups. Case studies will focus on primarily on materials from the Mediterranean basin and Europe| but may expand out to the Americas| Asia| Austrailia and Africa.   
"EAST"-"WEST" CULTURES,CLST-195,/coursehistories/276,Multiculturalism increasingly characterizes our political| economic| and personal lives. This course will focus on real and perceived differences between the so-called "East" and "West." Taking a case study approach| we shall read and compare literary materials from classical Greece and Rome| a major source of "Western" culture| and Japan| an "Eastern" society. Through analysis of these texts| we shall explore some of the concepts| values| and myths in terms of how "East" and "West" define themselves and each other: e.g. gender| sexuality| rationality| religion| society| justice| nature| cultural diffusion| work| leisure| life| and death. Readings will include selections from Greco-Roman and Japanese myths| poetry| drama| essays| history| and philosophy. Class format will be lecture with opportunity for questions and discussion. Grading will be based on midterm and final examinations| a short paper| and class participation. No prerequisites.   
ANCIENT GREECE,ANCH-026,/coursehistories/1545,From oral traditions to modern forms| this course surveys the diverse body of Native American literature through its many transformations and contexts| from examples of oral literature to film| poetry| fiction| essays| and drama. Possible authors include Leslie Marmon Silko| Sarah Winnemucca| Sherman Alexie| James Welch| N. Scott Momaday| and Louise Erdrich.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WONDERS OF ANCIENT WORLD,ANCH-118,/coursehistories/1631,The study and practice of typography spans the history of individual letterforms through the typesetting of full texts. It is a complete immersion into type as an integral part of visual communication. Typesetting conventions and variables including legibility| readability| texture| color and hierarchy will be stressed| as well as a form for organizing information and expressing visual ideas. Studio work will include collecting and analyzing type| designing an original typeface| researching type history and experimenting with typographic forms. $50 lab fee.   
ANC MID EAST HIST & CIV,AMES-025,/coursehistories/1605,The chemistry of water| air| and soil will be studied from an environmental perspective. The nature| composition| structure| and properties of pollutants| their means of detection and methods of purification and remediation will also be studied.   
ROMAN LAW AND SOCIETY,CLST-314,/coursehistories/2248,This graduate seminar will introduce students to some of the key theoretical and empirical work in the sociology of education. We will focus around the question of stratification and how systems of schooling maintain or alleviate inequality. The class will examine classical approaches to schooling| schools as organizations| schools and their effects on social mobility| (class| race| and gender) stratification in achievement and attainment| tracking/ability grouping| theories and empirical work on social and cultural capital| school choice| and cross-national expansion of education.   
HELLENISTIC HISTORY: From Alexander the Great to Cleopatra,ANCH-150,/coursehistories/2718,Design of reactors for the production of chemical products. Continuous and batch reactors. Chemical kinetics. Effects of back-mixing and non-ideal flow in tubular reactors. Heterogeneous reactions. Construction and economic analysis of reactors.   
