NAME,ALIAS,PATHMIDDLE EGYPTIAN,ANEL-460,/coursehistories/ANEL-460
ARAMAIC II,ANEL-576,/coursehistories/ANEL-576
AKKADIAN HIST TEXTS,ANEL-541,/coursehistories/ANEL-541
LATE EGYPTIAN,ANEL-560,/coursehistories/ANEL-560
ARAMAIC I,ANEL-575,/coursehistories/ANEL-575
THE LAND OF SUMER,ANEL-246,/coursehistories/ANEL-246
AKKADIAN LITERARY TEXTS,ANEL-540,/coursehistories/ANEL-540
AKKADIAN LETTERS,ANEL-542,/coursehistories/ANEL-542
RDGS IN ARAMAIC TARGUMS,ANEL-242,/coursehistories/ANEL-242
OLD EGYPTIAN,ANEL-563,/coursehistories/ANEL-563
INTERMEDIATE SUMERIAN,ANEL-546,/coursehistories/ANEL-546
BEGINNING SUMERIAN,ANEL-446,/coursehistories/ANEL-446
MIDDLE EGYPTIAN TEXTS,ANEL-461,/coursehistories/ANEL-461
1ST YEAR AKKADIAN I,ANEL-440,/coursehistories/ANEL-440
