NAME,ALIAS,PATH,DESCRIPTION
LECTURE,ANTH-001,/coursehistories/110,An introduction to the history| concepts| and methods of the anthropological study of ancient peoples using archaeological illustrations to indicate the relationships of archaeological interpretations with cultural and physical anthropology.   
LECTURE,ANTH-002,/coursehistories/111,An introduction to the study of culture and human institutions| how they change| and their role in both literate and nonliterate societies.   
LECTURE,ANTH-003,/coursehistories/112,How did humans evolve? When did humans start to walk on two legs? How are humans related to non-human primates? This course focuses on the scientific study of human evolution describing the emergence| development| and diversification of our species| Homo sapiens. First we cover the fundamental principles of evolutionary theory and some of the basics of genetics and heredity as they relate to human morphological| physiological| and genetic variation. We then examine what studies of nonhuman primates (monkeys and apes) can reveal about our own evolutionary past| reviewing the behavioral and ecological diversity seen among living primates. We conclude the course examining the "hard" evidence of human evolution - the fossil and material culture record of human history from our earliest primate ancestors to the emergence of modern Homo sapiens. You will also have the opportunity| during recitations| to conduct hands-on exercises collecting and analyzing behavioral| morphological| and genetic data on both humans and nonhuman primates and working with the Department of Anthropology's extensive collection of fossil casts.   
WRITING ABOUT ANTHRO: COMING OF AGE IN AMERICA,ANTH-009,/coursehistories/113,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
AFRICAN WORLDS,ANTH-018,/coursehistories/114,This course concentrates on popular culture in sub-Saharan Africa. It examines the way people reflect on and represent various aspects and issues in their daily lives| in public media| and through a diverse range of performative and creative outlets. It explores the way cultural traditions are created| promulgated| and perpetuated. It looks at the way popular culture deals with pleasure and pain; identity difference and diversity; wealth and power; modernity and history; gender relations; suppression| resistance| and violence; and local versus global processes. In short| popular culture will serve as a window through which to observe contemporary life.   
HUMAN ADAPTATION,ANTH-105,/coursehistories/115,An examination of the methods and techniques of physical anthropology as applied to specific problems of biological variation in man. Emphasis will be upon physical anthropology as a biological science.   
INTRO CHINESE CULTURES,ANTH-112,/coursehistories/116,In this seminar we look at the diverse cultural traditions and patterns of social formations of traditional and modern China| to gain an introduction to social life in that country. We will consider basic anthropological topics in the Chinese context| including kinship| power and politics| gender| ethnicity| class and status| economic activities| ritual practices and ceremonies| religion| expressive culture| and diaspora/transnational communities in Greater China.   
CULTURE CLASH,ANTH-115,/coursehistories/117,Students explore the contributions of anthropology| philosophy| and community service to understanding human nature and human behavior. Within the context of globalization| we will pose basic philosophical questions about the nature of human nature| capitalism| and the forces influencing people's decisions about their own lives. Anthropological accounts (ethnographies) from Asia| Latin America| England| and the USA; excerpts from political philosophers (Rousseau| Smith| Marx| Foucault| Bourdieu| and Freire); and students' first-hand experience volunteering in West Philadelphia will help students reach their own conclusions about these and other globalization issues. Students will use their ABCS (Academically-Based Community Service) experience as an anthropology laboratory| seeing social theory as it operates "on the ground."   
INFORMATION AGE:CULT&SOC,ANTH-118,/coursehistories/118,This course explores world witchcraft and possession from the persecutions of the early seventeenth century through the rise of Wicca in the twentieth century. The mere mention of these terms| or of such close cousins as demonology| sorcery| exorcism| magic| and the witches Sabbath| raises clear ethnographic and historical challenges. How can the analysis of witchcraft-- including beliefs| patterns of accusation| the general social position of victims| the intensity and timing of witch hunts| and its relation to religious practice| law| language| gender| social marginalization| and property--lead us to a more humane understanding of belief and action? Films such as The Exorcist| The Blair Witch Project| The Crucible| and Three Sovereigns for Sarah will focus discussion.   
ORIGIN & CULTR OF CITIES,ANTH-121,/coursehistories/119,The UN estimates that 2.9 of the world's 6.1 billion people live in cities and that this percentage is rapidly increasing in many parts of the world. This course examines urban life and urban problems by providing anthropological perspectives on this distinctive form of human association and land use. First we will examine the "origin" of cities| focusing on several of the places where cities first developed| including Mesopotamia and the Valley of Mexico. We will then investigate the internal structure of non-industrial cities by looking at case studies from around the world and from connections between the cities of the past and the city in which we live and work today.   
NATIVE PEOPLES & ENVIRON,ANTH-133,/coursehistories/120,The relationship between the activities of native peoples and the environment is a complex and contentious issue. One perspective argues that native peoples had little impact on the environments because of their low population densities| limited technology| and conservation ethic and worldview. At other extreme| biodiversity| and nature itself| is considered the product of a long history of human activities. This seminar will examine the myth of the ecologically noble savage| the myth of the pristine environment| the alliance between native peoples and green politics| and the contribution of native peoples to appropriate technology| sustainable development and conservation of biodiversity.   
ANCIENT CIVS OF THE WRLD,ANTH-139,/coursehistories/121,The archaeology of the complex societies of the Old and New Worlds from the end of the paleolithic up to and including the earliest civilizations.   
