NAME,ALIAS,PATH,DESCRIPTION
BEGINNING ARABIC II,ARAB-002,/coursehistories/2972,This course is designed to acquaint the student with the concepts of portfolio analysis in the general area of institutional investment management. The course discusses principles for managing financial assets. These principles apply| for example| to managing corporate pension funds| bank-administered trusts| and other institutional funds. Students will learn how to establish appropriate investment objectives| develop optimal portfolio strategies| estimate risk-return tradeoffs| and evaluate investment performance. Many of the latest quantitative approaches are discussed.   
CONTINUING ARABIC IV,ARAB-004,/coursehistories/2973,The purpose of this course is to provide the student with the necessary skills to value and to employ options| futures| and related financial contracts. In order to provide a useful treatment of these topics in an environment that is changing rather rapidly| it is necessary to stress the fundamentals and to explore the topics at a technical level. The topics that will be covered include the valuation of futures contracts on stock indices| on commodities and Treasury instruments; the valuation of options; empirical evidence; strategies with respect to these assets; dynamic asset allocation strategies| of which portfolio insurance is an example; swaps; and the use (and misuse) of derivatives in the context of corporate applications. One-third of the course will be devoted to futures| a third to options| and a third to their applications. Many of the applications will be sprinkled along with the coverage of futures and options.   
ELEMENTARY ARABIC II,ARAB-032,/coursehistories/2974,The focus of this course is on the valuation of companies. Topics discussed include discounted cash flow techniques and valuation using alternative valuation techniques such as price multiples. Emphasis is on developing the required information for valuation from financial statements and other information sources.   
INTERMEDIATE ARABIC IV,ARAB-034,/coursehistories/2975,Analyzes financial problems corporations face that result from operating in an international environment. Major topics covered are corporate strategy and the decision to invest abroad| forecasting exchange rates| international portfolio diversification| managing exchange risk| taxation issues| cost of capital and financial structure in the multinational firm| and sources of financing.   
ADV INTERMED ARABIC II,ARAB-036,/coursehistories/2976,This course focuses on international financial markets and exchange rates. Topics include pricing in the foreign currency and Eurocurrency markets| use of forward exchange for hedging| short-term returns and market efficiency in the international money markets| foreign currency options| international capital asset pricing| pricing of foreign currency bonds| currency swaps| Eurocurrency syndicated loans| foreign currency financing and exposure management.   
ADV ARABIC & SYNTAX II,ARAB-038,/coursehistories/2977,This course focuses on international financial institutions and international banking activities. We will examine how current and historical events are reshaping the industry. We will focus on the basic analytics of managing a bank's exposure to liquidity| credit| market and country risk. In addition| we will consider how to evaluate and compare the risk exposures and performance of individual banks. Throughout the semester we will discuss public policy issues such as international debt crises and regulation.   
COLLOQ ARABIC: COLLOQ. ARABIC MOROCCAN,ARAB-039,/coursehistories/2978,This course examines the available corporate securities that firms can use to finance investment. The course will focus on:(1) the design of these securities (Why do bonds have embedded options? What is the role of preferred stock?); (2) the issuing process for these securities (What do investment banks do? Is the underwriting process important for the cost of capital?); (3) the pricing of these securities (How are credit risk in bonds and loans priced?) The securities covered include corporate and junk bonds| bank loans| common and preferred equity| commercial paper| securitization| as well as some recent innovations. Other topics include: the role of embedded options in corporate bonds; the role of bank and loan covenants; the function of bond rating agencies; exchange offers; prepackaged bankruptcies; bankruptcy in Chapter 11; workouts; debtor-in-possession financing; and pricing credit risk. The course is desgined to be complementary to Advanced Corporate Finance and Fixed Income Securities.   
BEGINNING ARABIC I,ARAB-001,/coursehistories/3279,This course introduces students to the field of ethnomusicology through a series of case studies that explore a range of traditional| popular| and art musics from around the world. The course takes as a point of departure several works of musical ethnography| musical fiction| and musical autobiography and| through in-depth reading of these texts| close listening to assigned sound recordings| and in- class case studies| generates a context within which to think and write about music.   
CONTINUING ARABIC III,ARAB-003,/coursehistories/3280,Introduction to and development of principles of tonal voice-leading| harmonic function| counterpoint| and form through written analysis| composition| improvisation| and written work. Course covers diatonic harmony and introduction to chromaticism| up to modulation to distant key areas. Repertoires include common-practice and select popular and vernacular music. Musicianship skills include sight-singing| dictation| and keyboard harmony.   
ELEMENTARY ARABIC I,ARAB-031,/coursehistories/3281,Participation in the course is contingent upon a successful audition. This course must be taken for a letter grade (pass/fail option may not be utilized for this course). This weekly seminar will explore music from the past and present through class discussions of performance and analytical aspects of the music led by a professor and/or performer. Compared to Music 236| this class will have a more analytical focus. Students will prepare for a final performance at the end of the semester as well as a paper/presentation. Students interested in this applied approach to music may also wish to take 236 and 256.   
