NAME,ALIAS,PATH,DESCRIPTION
VISUALIZATION II,ARCH-202,/coursehistories/146,Continues research into visualization with a special emphasis introducing the fabrication shop| tools and techniques. The capacity of materials| their manipulation and the consequences of their inter-relationships are explored as a fundamental issue in making. Through the analysis of precedents and the production of new works| visualizing these relationships compliments drawing with a material imagination and vocabulary.   
DESIGN FUNDAMENTALS II,ARCH-302,/coursehistories/147,An introduction to two and three-dimensional design. Students explore the relationship between form and meaning| investigating the relationship between visual structure and metaphor| acquiring creative problem-solving skills in abstract and concrete processes| developing a sense of material and craft| and learning to communicate verbally and graphically.   
ARCH & LAND DESIGN II,ARCH-402,/coursehistories/148,A continuing exploration of architectural design. Content and technique in representation and construction are explored through various studio design exercises.   
POETICS OF ARCHITECTURE,ARCH-412,/coursehistories/149,This theory and history course has three parts: a review of contemporary ecological mandates| in-depth studies of specific buildings| and a reassessment of the real possibilities for contemporary architecture. The course is for both undergraduate and graduate students. Student work will involve reading| writing| and drawing.   
INTRO. TO COMP. IN ARCH,ARCH-440,/coursehistories/150,This course provides an introduction to computer graphic technology in the context of current architectural practice. We use AutoCAD's latest release (now 2007) as the basic software for the course. AutoCAD is the most widely-used architectural software and provides a good grounding for exploration of other programs. Topics include basic vector graphics| two-dimensional drawing and drafting and basic three-dimensional modeling. The course is organized around a series of structured exercises that illustrate basic principles and enable students to develop greater facility with the software. The modeling emphasis is placed on quick study models as part of the design process. There is also a field trip to the offices of Venturi| Scott Brand and Associates to see the use of computers in their practice. No experience with Auto CAD software is required.   
DESIGN AND DEVELOPMENT,ARCH-462,/coursehistories/151,The purpose of this course is to introduce non-architects to architecture| and to describe the important contribution that physical design can make to successful real estate development. Issues in contemporary architecture and discussed. The examples and reading illustrate the important role of architectural design in development. Topics include space planning| commercial buildings| retail environments| adaptive reuse| downtown development| mixed-use projectes| housing (both single- and multi-family)| and planned communities. Invited lecturers include architectes| real estate developers| and homebuilders.   
THE ARTS OF JAPAN,AMES-393,/coursehistories/82,A general survey of Japanese architecture| sculpture| and painting from Jomon pottery through Japanese woodblock prints. Topics covered include art of the tumulus era| Buddhist art of the Nara and Heian periods| medieval scroll painting| the Japanese castle| screen painting| and later Japanese painting.   
ARCHITECTURE TODAY,ARCH-102,/coursehistories/1217,This is a two-semester course| covering the same material as the second semester of Intensive Beginning Chinese. The main objective of the course is to help students continue to build a solid foundation of the four basic skills--listening| speaking| reading| and writing. By the end of two semesters| students should achieve the following goals: 1) pronounce all the sounds in Mandarin Chinese accurately and comfortably with a good command of the four tones; 2) carry out basic conversations in daily activities; 3) recognize and reproduce approximately 600-650 characters; and 4) read edited simple stories and write   
VISUALIZATION,ARCH-201,/coursehistories/1661,Cities are unique places with neighborhood tales and hidden folk art| and reflect intricate variations in cultural activities. This course will examine a sampling of this city's ethnic arts| as well as the face to face communication within the intersections of city societies. It will involve weekly local field observations and will be of use to anyone studying human interaction| creative process| or urban ethnography.   
DESIGN FUNDAMENTALS 1,ARCH-301,/coursehistories/1662,"Fieldwork" is the term folklorists and scholars in related fields use to describe the process by which they arrive at their discipline's subject matter. This includes everything from the pragmatic issues of collecting and documenting materials to the complex relations involved whken people study people. Readings| short writing assignments| and class discussions will probe this spectrum of concerns comprehensively. Brief exercises are planned to experience different aspects of fieldwork. On this background of theory and practice| students will work toward designing a fieldwork based project and draft a funding proposal.   
