NAME,ALIAS,PATH,DESCRIPTION
INTRO TO ART: Art and Technology: 1830s-2000s,ARTH-100,/coursehistories/152,Topic Varies.   
EURO ART & CIV < 1400,ARTH-101,/coursehistories/153,This is a double introduction: to looking at the visual arts; and| to the ancient and medieval cities and empires of three continents - ancient Egypt| the Middle East and Iran| the Minoan and Mycenaean Bronze Age| the Greek and Roman Mediterranean| and the early Islamic| early Byzantine and western Medieval world. Using images| contemporary texts| and art in our city| we examine the changing forms of art| architecture and landscape architecture| and the roles of visual culture for political| social and religious activity.   
EURO ART & CIV > 1400,ARTH-102,/coursehistories/154,This course is an introduction to the visual arts including painting| sculpture| print culture| and new media such as photography| film| performance and installation art-in Europe and the United States from 1400 to the present. It offers a broad historical overview of the key movements and the artists of the period| as well as an investigation into the crucial themes and contexts that mark visual art production after the middle ages. Such themes include the secularization of art; the (gendered) role of the artist in society; the sites of art production and consumption such as the artist's studio| the royal courts and the art exhibition; the materials of art; the import of technology and science to art's making| content and distribution; the rise of art criticism; and the socio-political contexts of patronage and audience; among others.   
ARCHITECT AND HISTORY,ARTH-106,/coursehistories/155,Human experience is shaped by the built environment. This course introduces students to the interrelated fields of architecture| art history| and engineering and explores great architectural monuments from the ancient to the modern period| from India across the Mediterranean and Europe to the US. The focus will be on understanding these works in their structure and function| both as products of individual ingenuity and reflections of Zeitgeist. Questioning these monuments from a present-day perspective across the cultures will be an important ingredient| as will be podium discussions| guest lectures| excursions| and all kinds of visualizations| from digital walk-throughs to practical design exercises. Regularly taught in fall term| this course fulfills Sector IV| Humanities and Social Science| and it satisfies History of Art 100-level course requirements. There is only ONE recitation in this course| attached directly to Friday's class at 2-3 p.m.| in order to provide sufficient time for practica and field trips.   
INTRO VIS CULT ISLAM WLD: Visual Culture of the Islamic World,ARTH-217,/coursehistories/156,A one-semester survey of Islamic art and architecture which will examine visual culture as it functions within the larger sphere of Islamic culture in general. Particular attention will be given to relationships between visual culture and literature| using specific case studies| sites or objects which may be related to various branches of Islamic literature| including historical|didactic| philosophical writings| poetry and religious texts. All primary sources will be available in English translation.   
ROMAN ART & ARCHITECTURE,ARTH-221,/coursehistories/157,This course surveys the political| religious and domestic arts| patronage and display in Rome's Mediterranean| from the 2nd c. BCE to Constantine's 4th-c. Christianized empire. Our subjects are images and decorated objects in their cultural| political and socio-economic contexts (painting| mosaic| sculpture| luxury and mass-produced arts in many media from pottery| silverware and jewelry to textiles and ornamental furniture). We start with the Hellenistic cosmopolitan culture of the Greek kingdoms and their neighbors| and the late Etruscan and Republican Italy; next we map Roman art and art industry as developed around the capital city Rome| further adapted to unify the Empire's many peoples from Britain to the Middle East. That means the nature of the intercultural exchange is consistently an issue. To understand ancient viewers' encounters| you will meet the spaces of sanctuary and tomb| house and city| garden and private collection; your readings will sample ancient people's art writing too. Diverse approaches introduce art historical aims and methods| and their relationships to archaeology| anthropology and other disciplines--and also to modern kinds of museums| not least our own University Museum of Archaeology and Anthopology.   No prerequisities. Of interest also to students of classical| middle-eastern| visual and religious studies| anthropology| history| communications and the programs of GSD.   
MIN CYC & MYCENAEAN ART,ARTH-222,/coursehistories/158,This course is designed to give the student an overview of the cultures of the Aegean Bronze Age. The art and architecture of Crete| the Cyclades and the Mainland of Greece will be examined in chronological order| with an emphasis on materials and techniques. In addition| larger issues such as the development of social complexity and stratification| and the changing balance of power during the Aegean Bronze Age will be examined. There are two texts for the course: Sinclair Hood's The Arts in Prehistoric Greece and Donald Preziosi and Louise Hitchcock's Aegean Art and the Architecture.   
MEDIEVAL ART: Introduction to Visual Culture in the High Middle Ages,ARTH-240,/coursehistories/159,An introductory survey| this course investigates painting| sculpture| and the "minor arts" of the Middle Ages. Students will become familiar with selected major monuments of the Late Antique| Byzantine| Carolingian| Romanesque| and Gothic periods| as well as primary textual sources. Analysis of works emphasizes the cultural context| the thematic content| and the function of objects. Discussions focus especially on several key themes: the aesthetic status of art and the theological role of images; the revival of classical models and visual modes; social rituals such as pilgrimage and crusading; the cult of the Virgin and the status of women in art; and| more generally| the ideology of visual culture across the political and urban landscapes.   
MODERN ARCHITECTURE,ARTH-282,/coursehistories/160,The architecture of Europe and America from the late nineteenth century until the present is the central subject of this course| but some time will also be devoted to Latin American and Asian architecture and to the important issues of modern city planning. Topics to be discussed include the Arts and Crafts movement| Art Nouveau| Expressionism| Art Deco| the International Style| and Post-modernism. The debate over the role of technology in modern life and art| the search for a universal language of architectural communication| and the insistent demand that architecture serve human society are themes that will be traced throughout the course. Among the important figures to be considered are Frank Lloyd Wright| Walter Gropius| Le Corbusier| Louis Kahn| Rovert Venturi| and Denise Scott Brown. The course includes weekly discussion sessions and several excursions to view architecture in Philadelphia.   
REVOLUTION TO REALISM,ARTH-284,/coursehistories/161,This course surveys the major trends in European art of the tumultuous decades stretching from French Revolution of 1789 to the rise of realism in the mid-nineteenth century. Starting with Jacques-Louis Davis revolutionary history paintings| we will study Napoleonic representations of empire| Goya's imagery of violence| romantic representations of madness and desire| Friedrich's nationalist landscapes| as well as the politicized realism of Courbet. Some of the themes that will be addressed are: the revolutionary hero| the birth of the public museum| the anxious masculinity of the themes that will be addressed are: the revolutionary hero| the birth of the public museum| the anxious masculinity of romanticism| the rise of industry and bourgeois culture| the beginnings of photography| the quest for national identity and| not least| the orgins of the modernist painting. Throughout| we will recover the original radicality of art's formal and conceptual innovations at times of political and social crisis. We will focus on the history of French painting| but will include sculpture| photography| visual culture and the development of the modern city| in England| Germany and Spain.   
