NAME,ALIAS,PATH,DESCRIPTION
CURRENT ISSUES IN ASAM,ASAM-055,/coursehistories/172,Giving special| but by no means exclusive| attention to issues of gender and sexuality| this class explores many current issues facing Asian America. Among these will be immigration| generational conflict| entrepreneurship| economic class| globalization| politics| and anti-Asian American violence. Because the Asian American population is varied and diverse| the concerns of the class will be varied and diverse. We will read fiction and non-fiction| watch television and movies| and engage in detailed analysis. Most of all| we will attempt to understand the problems and possibilities facing individual Asian Americans in 2002.   
WRITING ABOUT FILM,ENGL-012,/coursehistories/377,
MODRN AMER LIT POST-1945,ENGL-085,/coursehistories/390,This course offers a comprehensive study of significant changes and continuities in the history of medicine from 1650-1850| alongside works of literature that exemplify the shifting notions of the doctor and sickness in the Western medical tradition.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TPCS ASIAN AMERICAN LIT: Chinatown Koreatown and Little Tokyo:  Ghettoes or Communities?,ENGL-272,/coursehistories/415,This seminar is an advanced-level topics-based version of ENGL 072| Introduction to Asian American Literature. The intended audience is junior and senior English majors and advanced students in Asian studies| Asian American studies| contemporary U.S. and world history| ethnic studies| urban studies| etc. Typical versions of this seminar will include representations and images of Asians in contemporary U.S. novels and films; Asian American literature by women; Asian American film narrative and film aesthetics; studies in Asian American literature and visual art; Asian American literature and immigration; Asian American literature in the context of the literature of exile and journey; Asian American literature 1929-1945; Asian American literature| 1945 to the present; Anglophone/South Asian literature in England| 1970 to the present; Southeast Asia| Vietnam| and American literature| 1970-1990; etc. Students will typically present research projects and write several long essays.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TOPICS IN LIT & SOCIETY: The Politics of Form in Asian American Literature,ENGL-393,/coursehistories/433,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTRO TO ASIAN AMER HIST,HIST-155,/coursehistories/584,This course will provide an introduction to the history of Asian Pacific Americans| focusing on the wide diversity of migrant experiences| as well as the continuing legacies of Orientalism on American-born APA's. Issues of race| class| gender| and sexuality will also be examined.   
JAPANESE/AMER INTERNMENT,HIST-223,/coursehistories/598,Topics include immigration patterns| adjustment to the new society| exclusion| racism| and economic activities.   
SOUTH ASIANS IN THE US,SARS-206,/coursehistories/1010,This course begins with a historical survey of South Asian immigration in the United States. It continues with a broad look at cultural| social| and political issues which confront the South Asian American community today| issues such as citizenship and transnationality| minoritization| economic opportunity| cultural and religious maintenance and adaptation| changes in family structure and gender roles| and generational shifts. It concludes with an examination of the emergence of a body of creative writings by South Asians in America as an expatriate Indian literature of exile and as American immigrant and ethnic literature.   
RACE & ETHNIC RELATIONS,SOCI-006,/coursehistories/1036,The course will focus on race and ethnicity in the United States. We begin with a brief history of racial categorization and immigration to the U.S. The course continues by examining a number of topics including racial and ethnic identity| interracial and interethnic friendships and marriage| racial attitudes| mass media images| residential segregation| educational stratification| and labor market outcomes. The course will include discussions of African Americans| Whites| Hispanics| Asian Americans and multiracials.   
MINORITIES AND THE MEDIA,SOCI-250,/coursehistories/1055,This course considers the theory and practice of miniority representation in the public domain: film| theater| television| music| advertising and museums. How has "minority" been defined - who is included and why? How have notions of "minority" status been constructed in our public languages and what may be the impact of those images on both minority and non-minority populations? Our focus will be on representation and how it may work to marginalize or empower members of minority populations. While we will concentrate primarily on ethnic minorities| we will also consider how these same issues might affect sexual minorities. Our discussions will be supplemented by film and video examples. While the course will be theoretically situated in communication| it will consider how the perspectives of anthropology| feminism| and literary and ethnic studies have affected our understanding of public representations.   
ASIAN AMER COMM FLD WRK,ASAM-205,/coursehistories/1228,This course is especially designed as a first course in Hebrew literature. We will read and discuss Hebrew stories| poems and other texts in Hebrew. The course is open to students who have near-advanced or advanced knowledge of Hebrew| with some reading experience. It will start from the first level| and through contemporary literature| columns from Israeli newspapers and popular culture (films| songs| sketches) bring the students gradually to an advanced level. On the way| we will follow Israeli culture as it deals with complex social| religious| and political issues in Israeli life.   
ASIAN AMERICANS & FILM,ASAM-232,/coursehistories/1229,
ASIAN AMERICANS & LANGU,ASAM-235,/coursehistories/1230,
WRITING ABOUT LIT & SOC,ENGL-003,/coursehistories/369,
