NAME,ALIAS,PATH,DESCRIPTION
POL ECON OF SOC POL,BEPP-201,/coursehistories/5513,This course presents law as an evolving social institution| with special emphasis on the legal regulation of business. It considers basic concepts of law and legal process| in the U.S. and other legal systems| and introduces the fundamentals of rigorous legal analysis. An in-depth examination of contract law is included.   
BUS IN GLOBAL POL ENVIR,BEPP-203,/coursehistories/5514,This course provides an introduction to the law of corporate management and finance| focusing on large publicly held corporations. It is presented from the perspective that before too long virtually all students will serve on one or more corporate boards of directors and that each should| therefore| know about the duties owed by directors and officers to those toward whom they bear a fiduciary duty. The course covers the basic obligations of corporate directors and managers under state corporate law and the federal securities laws. It also considers the rights and responsibilites of other major stake holders in the governance of public corporations| including shareholders| creditors/bondholders| employees (including corporate executives)| investment bankers| corporate lawyers| and accountants. Particular attention is given to the law of mergers and acquisitions. Important issues of social policy concerning large business corporations are also discussed.   
URBAN FISCAL POLICY,BEPP-230,/coursehistories/5515,The course explores the legal aspects of marketing strategy. The course considers the technology and intelectual property dimension (including federal patent| copyright| and trademark law)| as well as federal and state laws pertaining to trade secrets| unfair competition| and consumer protection. The focus is primarily on U.S. law| but the challenges posed by diverse domestic| foreign| and international regimes will also be emphasized. The course is useful to students contemplating employment in the field of marketing| and to students interested in anticipating legal constraints on competitive strategies. Most broadly| the course should be of interest to anyone desiring to understand the legal and public policy issues relating to the government regulation of business.   
MANAGERIAL ECONOMICS,BEPP-250,/coursehistories/5516,This course examines the art and science of negotiation| with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings| students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills.   
NATIONS POL AND MARKETS,BEPP-289,/coursehistories/5517,This course examines various business disciplines as they apply to the sports industry. The course provides the student with an overview of the business of the intercollegiate| Olympic and professional sports enterprises. In addition| the course investigates the business related issues encountered by managers of sports organizations and covers how business principles can be applied to effectively address these issues.   
RISK MANAGEMENT,BEPP-305,/coursehistories/5518,This course explores business responsibility from rival theoretical and managerial perspectives. Its focus includes theories of ethics and their application to case studies in business. Topics include moral issues in advertising and sales; hiring and promotion; financial management; corporate pollution; product safety; and decision-making across borders and cultures.   
URBAN FISCAL POLICY,BEPP-773,/coursehistories/5519,This course is a multidisciplinary| interactive study of business ethics within a global economy. A central aim of the course is to enable students to develop a framework to address ethical challenges as they arise within and across different countries. Alternative theories about acting ethically in global environments are presented| and critical current issues are introduced and analyzed. Examples include bribery| global sourcing| environmental sustainability| social reports| intellectual property| e-commerce| and dealing with conflicting standards and values across cultures. As part of this study| the course considers non-Western ethical traditions and practices as they relate to business.   
BUS INSR & EST PLNG,BEPP-823,/coursehistories/5520,A general introduction to the nature| history and use of human language| speech and writing. Topics include the biological basis of human language| and analogous systems in other creatures; relations to cognition| communication| and social organization; sounds| forms and meanings in the world s languages; the reconstruction of linguistic history and the family tree of languages; dialect variation and language standardization; language and gender; language learning by children and adults; the neurology of language and language disorders; the nature and history of writing systems. Intended for any undergraduate interested in language or its use| this course is also recommended as an introduction for students who plan to major in linguistics.   
APPLIED ECONOMICS SEM,BEPP-962,/coursehistories/5521,This course takes a historical approach to tracing (and reconstructing) the nature of language contacts and bilingualism| over the course of human history. Contacts between groups of people speaking different languages| motivated by trade| migration| conquest and intermarriage| are documented from earliest records. At the same time| differences in socio-historical context have created different kinds of linguistic outcomes. Some languages have been completely lost; new languages have been created. In still other cases| the nature and structure of language has been radically altered. The course introduces the basics of linguistic structure through a discussion of which aspects of language have proved to be relatively stable| and which are readily altered| under conditions of bilingualism.   
FUND OF ACTUARIAL SCI I,STAT-451,/coursehistories/5596,This course includes not only conflict resolution but techniques which help manage and even encourage the valuable aspects of conflict. The central issues of this course deal with understanding the behavior of individuals| groups| and organizations in conflict management situations. The purpose of this course is to understand the theory and processes of negotiations as it is practiced ina variety of settings. The course is designed to be relevant to the broad specturm of problems that are faced by the manager and professional including management of multinationals| ethical issues| and alternative dispute resolutions. Cross listed w/ LGST 206 & OPIM 291.   
