NAME,ALIAS,PATH,DESCRIPTION
BIOENGINEERING LAB II,BE-210,/coursehistories/179,Second term of a two-year sequence designed to integrate real world experiences into various Bioengienering Science courses. It is required for both BSE and BAS majors. It is intended for the spring semester of the Sophomore year.   
STRUC & PROP OF BIOMAT,BE-220,/coursehistories/180,An examination of the structure of property| performance relationship for materials used in surgical implants and medical devices. Consideration is given to issues of biocompatibility| degradation of materials by biological systems| and biological response to artificial materials. Particular attention will be given to the materials of the total hip prosthesis and their relationship to the long-term outcomes for total hip arthoplasty.   
CHEM BASIS OF BIOENG,BE-223,/coursehistories/181,This course covers and expands on the chemical principles including conservation of mass| reaction linetics| and the first and second law of thermodynamics. The primary goal of this course is to learn to apply these principles to solve engineering problems.   
BIOENGINEERING SYSTEMS,BE-301,/coursehistories/182,Properties of signals and systems and examples of biological and biomedical signals and systems; linear| time invariant systems; Fourier analysis of signals and systems with applications to biomedical signals such as ECG and EEG; frequency analysis of first and second order systems; the frequency response; of systems characterized by linear constant-coefficient differential equations; introduction to digital and analog filtering| sampling and sampling theorem and aliasing.   
BIOENGINEERING LAB IV,BE-310,/coursehistories/183,Final semester of a two year sequence designed to integrate real world experiences into various Bioengineering and Bioengineering Science courses. It is required for only BSE majors. It is intended for the spring semester of the Junior year.   
INTRO TO BIOTRANS PROCES,BE-350,/coursehistories/184,Introduction to basic principles of fluid mechanics and of energy and mass transport with emphasis on applications to living systems and biomedical devices.   
PRECEPTORSHIP IN CLIN BE,BE-400,/coursehistories/185,Introduction to the integration of biomedical engineering in clinical medicine through lectures and a preceptorship with clinical faculty. This course is for BE majors ONLY| with preference given to BSE students.   
MEDICAL DEVICES,BE-470,/coursehistories/186,This course discusses the design| development| and evaluation of medical devices. Emphasis is placed on the process of matching technological opportunities to medical needs. Medical devices are analyzed from three viewpoints: technology driven applications| competing technologies| and disease-related technology clusters.   
RESEARCH IN BE,BE-490,/coursehistories/187,An intensive independent study experience on an engineering or biological science problem related to BE. Requires preparation of a proposal| literature evaluation| and preparation of a paper and presentation. Regular progress reports and meetings with faculty advisor are required.   
RESRCH IN BIOMED SCIENCE,BE-492,/coursehistories/188,Second semester of a year-long project.   
SENIOR DESIGN PROJECT,BE-496,/coursehistories/189,Second semester of a year-long design project.   
SR THESIS/BIOMED SCIENCE,BE-497,/coursehistories/190,An intensive independent project experience incorporating both technical and non-technical aspects of the student's chosen career path. Chosen topic should incorporate elements from the student's career path electives| and may involve advisors for both technical and non-technical elements. Topics may range from biomedical research to societal| technological and business aspects of Bioengineering. A proposal| regular progress reports and meetings with a faculty advisor| a written thesis| and a presentation are required.   
ENTR IN BIOMED TECH,BE-503,/coursehistories/191,This course brings together elements of economics| business planning| engineering and basic science in order to study the evolution and transfer of advanced medical technologies into the marketplace. Emphasis is placed on the interrelationships among the strategic factors that influence investment in this field: research and development of a health care product or service| marketing; manufacturing; management organization; and finance. The course utilizes the business plan development| as the vehicle for integrating technology and business strategies required for entrepreneurial success. Actual devices and technologies currenlty in use or in the planning stage are discussed.   
QUANT HUMAN PHYSIOLOGY,BE-505,/coursehistories/192,Introduction to human physiology using the quantitative methods of engineering and physical science. Emphasis is on the operation of the major organ systems at both the macroscopic and cellular level.   
BIOENG II: SYSTEMS,BE-511,/coursehistories/193,This is a practically-oriented course in the analysis of biomedical signals focusing on medically significant applications. The specific applications will vary from year to year| but lectures will include the nature of major signals of biomedical importance| diginal signal processing including convolution| digital filtering| wavelet analysis. The course will include student experiments using Matlab and independent projects.   
COMP NEUROSCI & NEUROENG,BE-520,/coursehistories/194,Computational modeling and simulation of the structure and function of brain circuits. A short survey of the major ideas and techniques in the neural network literature. Particular emphasis on models of hippocampus| basal ganglia and visual cortex. A series of lab exercises introduces techniques of neural simulation.   
BLDG BRAINS IN SILICON: BLDG BRAINS IN SILICON,BE-526,/coursehistories/195,We model the structure and function of neural systems in silicon using very large scale integration (VLSI) complimentary metal-oxide-semiconductor (CMOS) technology. To build these neuromorphic systems| we proceed from the device level| through the circuit level| to the system level. At the device level| we mimic electrodiffusion of ions through membrane channels with electrodiffusion of electrons through transistor channels. At the circuit level| we derive minimal implementation of synaptic interaction| dendritic integration| and active membrane behavior. At the system level| we synthesize the spatiotemporal dynamics of the cochlea| the retina| and early stages of cortical processing.   
TISSUE ENG/PR/MTHD/APP,BE-553,/coursehistories/196,Tissue engineering demonstrates enormous potential for improving human health. While there is an extensive body of literature discussing the state of the art of tissue engineering| the majority of this literature is descriptive and does little to address the principles that govern the success or failure of an engineering tissue. This course explores principles of tissue engineering| drawing upon diverse fields such as developmental biology| immunology| cell biology| physiology| transport phenomena| material science| and polymer chemistry. Current and developing methods of tissue engineering as well as specific applications will be discussed in the context of these principles.   
ENG BIOTECHNOLOGY,CHE-554,/coursehistories/243,Advanced study of re DNA techniques; bioreactor design for bacteria| mammalian and insect culture; separation methods; chromatography; drug and cell delivery systems; gene therapy; and diagnostics.   
