NAME,ALIAS,PATH,DESCRIPTION
HUMAN CHRONOBIOL & SLEEP,BIBB-340,/coursehistories/197,
BODY FLUID REGULATIONS,BIBB-343,/coursehistories/198,This course is designed to introduce the student to the biological basis of cardiovascular and body fluid regulation. In the initial part of the course| the general principles of body fluid distribution and regulation of the circulation will be discussed. In the second part| the evolutionary origins of the physiological and behavioral controls of body fluids will be examined with particular emphasis on the transition from aquatic to land-dwelling animals. The third section of the course will investigate neural and hormonal controls of thirst and mineral appetites and their emergence from mammalian suckling. The final part will focus on disease of body fluids regulation such as hypertension| as well as critically examine therapeutic approaches to their treatment.   
DRUGS BRAIN AND MIND,BIBB-370,/coursehistories/199,The course will begin with a review of basic concepts in pharmacology including: routes of drug administration| drug metabolism| the dose response curve| tolerance and sensitization. Following a brief overview of cellular foundations of neuropharmacology (cell biology| synaptic and receptor function)| the course will focus on various classes of drugs used to treat neuropsychiatric disorders including| among others| depression| schizophrenia and anxiety. We will additionally consider mechanisms mediating the mind-altering| addictive and neurotoxic effects of abused drugs.   
BIO BASIS PSYCHIA DISORD,BIBB-380,/coursehistories/200,
BEHAVIORAL MEDICINE,BIBB-390,/coursehistories/201,Fundamentals of Behavioral Medicine concerns itself with the description of ideology| disease and treatment from the perspective of a functional analyses. It is the intent of this course to extend the traditional structural analysis that traditional medicine provides.   
CL RESEARCH EMERG MED I,BIBB-490,/coursehistories/202,This course is designed to teach undergraduates the fundamentals of clinical research| focusing on research design| data collection| database construction| and statistical analysis. This course stresses independent thinking and professional responsibility. Students will work closely with staff in the Emergency Department.   
CL RESEARCH EMERG MED II,BIBB-491,/coursehistories/203,Advanced research in Emergency Medicine.   
CELL NEUROBIOLOGY,BIOL-251,/coursehistories/216,Cellular physiology of neurons and excitable cells| molecular neurobiology and development. Topics include: action potential generation| synaptic transmission| molecular and physiological studies of ion channels| second messengers| simple neural circuits| synaptic plasticity| learning and memory| and neural development.   Lab fee $150.   
PHYSIOLOGY MOTIVATED BEH,PSYC-127,/coursehistories/947,This course focuses on evaluating the experiments that have sought to establish links between brain structure (the activity of specific brain circuits) and behavioral function (the control of particular motivated and emotional behaviors). Students are exposed to concepts from regulatory physiology| systems neuroscience| pharmacology| and endocrinology and read textbook as well as original source materials. The course focuses on the following behaviors: feeding| sex| fear| anxiety| the appetite for salt| and food aversion. The course also considers the neurochemical control of responses with an eye towards evaluating the development of drug treatments for: obesity| anorexia/cachexia| vomiting| sexual dysfunction| anxiety disorders| and depression.   
BRAIN BEHAV & EVOLUTION,PSYC-133,/coursehistories/948,This course will provide an introduction to the experimental analysis of natural animal behavior| and its neurobiological basis. Behavior is examined in an evolutionary and ecological context| questions are focused on the neural processes that allow animals to carry out critical tasks such as locating prey and finding mates. The course is comparative and an effort is made to identify common principles in sensory processing and brain function.   
GENETICSEVOLUTION & BEH,PSYC-441,/coursehistories/964,Genetic and environmental components of I.Q.| personality| and psychopathology. Evolutionary psychology; basic evolutionary theory; evolution of altruistic| cooperative| and competitive behavior. The course develops and makes extensive use of elementary mathematical and statistical models.   
NEUROENDOCRINOLOGY,BIBB-260,/coursehistories/1234,
BEHAVIOR  PHARMACOLOGY,BIBB-481,/coursehistories/1235,
COGNITIVE NEUROSCIENCE,PSYC-149,/coursehistories/1468,
S/T MOTIVATION,PSYC-223,/coursehistories/1471,
INTRO TO BRAIN & BEHAV,BIBB-109,/coursehistories/1699,An introduction to geology for non-science majors and those who are particularly curious about the nature of our planet and the scientific controversies about its past and its future.   
VISUAL NEUROSCIENCE,BIBB-217,/coursehistories/1700,Origin of Earth| continents| and life. Continental movements| changing climates| and evolving life.   
CHEMISTRY OF THE BRAIN,BIBB-269,/coursehistories/1701,The oceans cover over 2/3 of the Earth's surface. This course introduces basic oceanographic concepts such as plate tectonics| marine sediments| physical and chemical properties of seawater| ocean circulation| air-sea interactions| waves| tides| nutrient cycles in the ocean| biology of the oceans| and environmental issues related to the marine environment.   
ANIMAL BEHAVIOR,PSYC-131,/coursehistories/2098,This lecture course introduces students to the subfield of international security or strategic studies. In order to grasp the usefulness of the theoretical ideas presented in readings and lectures| abstract concepts are linked with a study of the national security policies states have adopted in the decades following World War II. Topics include current debates about nuclear proliferation| terrorism| the Iraq war| Europe's changing international role| the rise of China| Asian "flashpoints" (Korea| the Taiwan Strait)| and US secruity policy for the 21st century - considering some of the main strategic alternatives to the US as well as their implications for the types of forces deployed (the impact of the "revolution in military affairs|" the future of missile defense| and the economic burden to be shouldered).   
SMELL AND TASTE,BIBB-241,/coursehistories/2238,This introductory course examines the multi-disciplinary science of law-making| law-breaking| and law-enforcing. It reviews theories explaining where| when| by whom and against whom crimes happen. Police| courts| prisons| and other institutions are also critically examined. This course meets the general distribution requirement.   
BEHAVIORAL GENETICS,BIBB-451,/coursehistories/2239,Classic theory of religion in Durkheim and Weber| as well as contemporary theories of religious movements. Topics include ritual| magic| and mystical experience; religious ethics and salvation beliefs; the dynamics of cults| sects and mainstream churches; origins| expansion and decline of religions; religions and social class; religions and politics. The spectrum of religions in the contemporary United States will be examined| as well as historical comparisons.   
DEVELOPMENTAL NEUROBIOL,BIBB-350,/coursehistories/2478,The first part of the course presents alternative methods of preparing managerial accounting information| and the remainder of the course examines how these methods are used by companies. Managerial accounting is a company's internal language| and is used for decision-making| production management| product design and pricing and for motivating and evaluating employees. Unless you understand managerial accounting| you cannot have a thorough understanding of a company's internal operations. What you learn in this course will help you understand the operations of your future employer (and enable you to be more successful at your job)| and help you understand other companies you encounter in your role as competitor| consultant| or investor.   
BIOTECH & FATE OF HUMANS,BIOL-007,/coursehistories/2240,First the course will develop a persepctive for viewing social problems drawn largely on my own work as well as that of Gusfelds and Edelman. Next we will explore the domains to which a Physician's expertise is limited using Weber| Rosenberg and others. We will then develop a perspective from anthropological and sociological literature on the courts as public arenas for articulating Durkheimian collective conscience. All of this theory building is in the first half of the seminar. The second half of the course will involve an intensive case study of a few dilemmas which have wended their way through the courts. I intend to look at "Baby Doe Regulations" and the Intensive Care Nursery; the problem of the cessation of life-supporting treatment; the legitimacy of mass screening - be it for genetic defects or substance abuse; and the propriety of surrogate motherhood.   
HUMAN BRAIN IMAGING: Functional Imaging of the Human Brain,BIBB-421,/coursehistories/2991,An intensive two-credit course covering the first and second semester of the elementary year. See descriptions of French 110 and 120. Students must have departmental permit to register.   
CLINICAL PSYCHOPHARMACOL,BIBB-482,/coursehistories/2992,The continuation of French 110.   
METHODS IN SYNAPTIC PHYS: Experimental Methods in Synaptic Physiology,BIBB-492,/coursehistories/2993,An intensive one-semester language course for students who have had some French before but can benefit from a complete review of elementary French. The course will provide a re-introduction of the basic structures of French with intensive work on speaking| writing and listening designed to prepare students to take Intermediate French. Course includes an introduction to the culture of France and Francophone Europe. Out-of-class homework requires work with online| workbook| and audio materials| in addition to frequent writing practice.   
ABC'S OF NEUROSCIENCE,BIBB-150,/coursehistories/3615,Community economic development concerns the revitalization of impoverished communities. As with all things economic| poor and working people may be the subjects or the objects of development. We will utilize case studies from Philadelphia and around the world in an exploration of various models of economic justice and sustainable development.   
NEURODEGENERATIVE DISEAS,BIBB-475,/coursehistories/3792,This course will focus on paintings| prints| and sculptures produced in the Geraround 1600. Principal attention will focus on the changing role of visual culand altarpieces but evolves into an era of "art|" and collecting of pictures. German politics and religion will be examined in relation to the images. Cultural exchange with neighboring regions of Italy and the low countries.   
HUMAN CHRONOBIOL & SLEEP,BIBB-240,/coursehistories/4161,The first half of a two-semester intermediate sequence designed to help students attain a level of proficiency that should allow them to function comfortably in a French-speaking environment. Students are expected to have already learned the most basic grammatical structures in elementary French and will review these independently outside of class. This course will build on existing French skills and increase students' confidence and ability to read| write| speak and understand French. The course will additionally introduce students to more complex grammatical structures and more challenging cultural material. Out-of-class homework includes work with online| workbook and audio materials in addition to frequent writing practice.   
DRUGS BRAIN AND MIND,BIBB-270,/coursehistories/4162,The second half of an intermediate-level sequence designed to develop functional competence in the four skills. Students are expected to have already learned the most basic grammatical structures in elementary French and will review these outside of class. The course focuses on the study and discussion of history and culture of the Francophone world through film| literature and music.   
CL RESEARCH EMERG MED I,BIBB-320,/coursehistories/4163,Open only to residents in La Maison Francaise. Participants earn 1/2 c.u. per semester.   
