NAME,ALIAS,PATH,DESCRIPTION
MOLB:LAWBUSINES&CITIZEN,BIOL-003,/coursehistories/207,This seminar is intended for students who do not plan to take any additional biology courses| but would like to know what "all the excitement" of modern biology is about. We will cover both the basics of molecular biology and how biotechnology effects our lives. Specific topics will include: DNA fingerprinting| environmental and health applications of genetic engineering and the human genome project.   
READINGS NERVE GROWTH,BIOL-045,/coursehistories/208,Students will be introduced to the art of reading scientific papers. Students will develop critical reading and analytic skills as well as an appreciation for experimental design and hypothesis testing. The course will focus on the mechanism(s) whereby infections may trigger autoimmune diseases such as rheumatic fever| diabetes| and lupus. Relevant techniques in molecular biology will be introduced. No prior knowledge of biochemistry| genetics| or immunology is expected.   
LECTURE,BIOL-101,/coursehistories/209,General principles of biology that have been established by studies of microbes| animals| and plants and the viruses of these organisms will be covered. Emphasis will be on the basic chemistry of life| cell biology| molecular biology| and genetics. The study of developmental pathways and evolutionary trends in life cycles will be explored using plants as model organisms.   Biology Majors and Pre-Medical students should take either BIOL 101 or 121. BIOL 101 is the companion course to BIOL 102| may be taken before or after BIOL 102.   Lab fee $150.   
LECTURE,BIOL-102,/coursehistories/210,General principles of biology focusing on structure and function of animals| with emphasis on the principles of physiology| development| evolution| ecology| and the diversity of adaptations.   BIOL 102 is the companion course to BIOL 101| may be taken before or after BIOL 101.   Lab fee $150.   
Introduction to Biology - The Design and Function of Living Systems,BIOL-122,/coursehistories/211,The second semester of an intensive introductory lecture and laboratory course covering developmental biology| anatomy| physiology| and ecology. This course is comparable to Biol 102| but places greater emphasis on molecular mechanisms and experimental approaches. Particular attention will be devoted to the function and manipulation of animal and plant tissues and physiological systems| the pathology of disease| evolutionary processes| population dynamics| and environmental biology.   
VERTEBRATE PHYSIOLOGY,BIOL-215,/coursehistories/212,The course will focus on integrative aspects of physiological function of vertebrates. Comparative| environmental and quantitative approaches will be used. Major topics include muscle| the cardiovascular system| respiration| renal function and the nervous system.   
MOLEC. BIOL. & GENETICS,BIOL-221,/coursehistories/213,This course will survey the discipline of molecular genetics. Two broad areas will be considered 1) Molecular Biology: DNA replication| transcription| translation| regulation of gene expression in both prokaryotic and eukaryotic systems| and genomics and 2) Genetics: basic Mendelian & molecular genetics.   
CELLULAR NEUROSCIENCE,BIOL-229,/coursehistories/214,Cellular physiology of neurons and excitable cells| and molecular neurobiology. Topics include: action potential generation| synaptic transmission| molecular and physiological studies of ion channels| second messengers| simple neural circuits| synaptic plasticity| learning and memory| and cellular mechanisms of perception.   
EVOLUTIONARY BIOLOGY,BIOL-230,/coursehistories/215,Theories and mechanisms of evolution| with emphasis on the genetic basis of evolutionary change.   
CELL NEUROBIOLOGY,BIOL-251,/coursehistories/216,Cellular physiology of neurons and excitable cells| molecular neurobiology and development. Topics include: action potential generation| synaptic transmission| molecular and physiological studies of ion channels| second messengers| simple neural circuits| synaptic plasticity| learning and memory| and neural development.   Lab fee $150.   
