NAME,ALIAS,PATH,DESCRIPTION
MANAGERIAL MACROECON,BPUB-012,/coursehistories/232,
PRINC OF TRANPORTATION,BPUB-202,/coursehistories/233,This course is an introductory course designed to familiarize the student with the subject matter of transportation. Expenditure in the transportation industry totals 16% of the US Gross Domestic Product and transportation and other supply chain expenditures in many firms are second only to labor costs. While the industry has been substantially deregulated in the last 25 years| the transition to deregulation is not complete and the legacy of 100 years of regulation still exists. In addition| the industry is unique in the sense that a major portion of the major factor of production (its infrastructure) is publicly financed. These factors make the industry different from others and suggest different management policies. Topics covered include: location analysis| mass transport| costs and pricing analysis| regulation and deregulation| and economic development.   
BUS IN GLOBAL POL ENVIR,BPUB-203,/coursehistories/234,The environment of business has market and non market components. The market component is characterized by the economics of an industry and a firm's position in it. The nonmarket component is broader political| regulatory| legal and civil context in which companies function. In four portions| this course addresses how businesses interact with political and regulatory institutions| the law| and the public. The first portion analyzes the economic rationale for legislation and regulation in the presence of market failures. The second portion examines the messier realities of "political economy" and the actual making of lawsand regulations by imperfect politicians and regulators. Third| the course addresses more squarely the ways that firms and managers can and do shape their nonmarket environments| as well as tools to help managers think through related nonmarket decisions. In the fourth portion we will cover topics in financial regulation. Successful business leadership requires strategic thinking not only about market factors| but also about political| regulatory| public and other nonmarket factors.   
MANAGERIAL ECONOMICS,BPUB-250,/coursehistories/235,This course introduces students to "managerial economics|" the application of microeconomic theory to management problems. Microeconomic theory is a remarkably useful body of ideas for understanding and analyzing human behavior in a variety of contexts. Our goal in this course is to get you to internalize this body of theory well enough so that you can analyze management problems. While this is a "tools course"| we will be mindful of applied business problems throughout the course. After presenting the competitive model we will dwell on other market structures more like those encountered by typical firms (monopoly| oligopoly| monopolistic competition). We will spend some time on microeconomic lessons on the development and use of market power| as well as strategic interaction among firms. Finally| we will spend some time on the theory of market failure.   
MERGERS & ACQUISITIONS,BPUB-567,/coursehistories/236,
INT'L HOUSING COMPARISNS,REAL-236,/coursehistories/968,This course focuses on international comparisons of housing finance systems and housing market outcomes. This includes comparative analyses of the economic factors that underlay housing market differences and similarities. Changing housing market institutions and policies in previously socialist economies and newly emerging countries are examined. The course also addresses integration of global financial markets for national housing markets. International speakers present their views on institutional innovations and the policy setting process in their respective markets. Various approaches to understanding these issues will be used| including readings| written assignments| and group projects.   
BUS IN THE POLITICAL ENV,BPUB-030,/coursehistories/1244,The course will cover a number of social issues in Japan today. Since so much of postwar Japanese development has been based upon the nature of the relationship between the United States and Japan| we will begin with a consideration of the occupation of Japan as the crucible in which the partnership was formed and basic agreements reached. We will examine the nature of the Japanese political economy| both the extraordinary growth of the economy until the late 1980s and its post-cold war stagnation. Among the social issues we will examine are ethnic consciousness| marriage and the family| work and gender roles| school and education. We will conclude with a consideration of Japan's imperialist role in the prewar and wartime era.   
NATIONS POL AND MARKETS,BPUB-289,/coursehistories/1245,Topic will vary from year to year- Fall 2004: The Arts of Korea: Introduction to the arts of Korea| with emphasis on ceramics| painting| sculpture| and architecture and additional consideration of metalwork| printmaking| and textile arts. The goal of the course is understanding the development of art in Korea| and the historical| religious| and social contexts in which it flourished. Also for the Fall| with another section code| North and South Korean Political Economies.   
STRATEGIC MANAGEMENT OF INTELLECTUAL PROPERTY,BPUB-565,/coursehistories/1246,History of ceramic forms| techniques| and aesthetic principles in China| Korea| and Japan from neolithic times to the present century| illustrated by slides and examples| augmented by readings| field trips| and student presentations. Aimed at students with general interest in Japan and/or ceramics history; particularly but not exclusively those majoring in Asian and Middle Eastern Studies| East Asian Area Studies or History of Art; also art major interested in ceramics.   
MANAGERIAL MICROECON,BPUB-011,/coursehistories/1719,The German House is a half-credit course with concentrations in German conversation| film| and culture. Though many students enroll for credit| others often come to select events. All interested parties are invited| and you do not have to actually live in the house to enroll for credit. Students from all different levels of language proficiency are welcome. Beginners learn from more advanced students| and all enjoy a relaxed environment for maintaining or improving their German language skills.   
