NAME,ALIAS,PATH,DESCRIPTION
FUNDAMENTALS OF BIOTECH,CBE-150,/coursehistories/2486,
MATERIAL&ENERGY BALANCES,CBE-230,/coursehistories/2487,
ADV CHEM ENG SCIENCE,CBE-353,/coursehistories/2488,The Elementary Yoruba I course can be taken to fulfill a language requirement| or for linguistic preparation to do research on Nigeria and the diaspora/Africa-related topics. The course emphasizes communicative competence to enable the students to acquire linguistic and extra-linguistic skills in Yoruba. The content of the course is selected from various everyday life situations to enable the students to communicate in predictable common daily settings. Culture| as it relates to language use| is also part of the course content.   Students will acquire the speaking| listening| reading| and writing skills at the mid-high novice level| based on the ACTFL scale. The mid-high novice level proficiency skills that the students will acquire constitute threshold capabilibilities of the second semester range of proficiency to prepare students for Elementary Yoruba II course materials.   
INTRO TO PROCESS DESIGN,CBE-400,/coursehistories/2489,The Elementary Swahili I course can be taken to fulfill a language requirement| or for linguistic preparation to do research on East Africa/Africa-related topics. The course emphasizes communicative compentence to enable the students to acquire linguistic and extra-linguistic skills in Swahili. The content of the course is selected from various everyday life situations to enable the students to communicate in predictable common daily settings. Culture| as it relates to language use| is also part of the course content.   Students will acquire the speaking| listening| reading| and writing skills at the mid-high novice level| based on the ACTFL scale. The mid-high level proficiency skills that the students will acquire constitute threshold capabilities of the second semester range of proficiency to prepare students for Elementary Swahili II course materials.   
CHEMICAL ENGINEERING LAB,CBE-410,/coursehistories/2490,During the semester we will focus on people and communities of sub-Saharan Africa and on the ways people represent| reflect on| and react to various aspects and issues in their lives and the institutions which dominate their communities. We will focus particularly on the history| contemporary expression| and inter-relationships among politics| religion| and aesthetic practice. Members of Penn's African Studies community will share their expertise with the class and introduce the University's Africa resources. Texts consist of weekly readings| films| and recordings; and class members will be expected to attend several lectures outside of class.   
CHEMICAL REACTOR DESIGN,CBE-451,/coursehistories/2491,The Elementary Amharic I course can be taken to fulfill a language requirement| or for linguistic preparation to do research on Ethiopia/Africa-related topics. The course emphasizes communicative competence to enable the students to acquire linguistic and extra-linguistic skills in Amharic. The content of the course is selected from various everyday life situations to enable the students to communicate in predictable common daily settings. Culture| as it relates to language use| is also part of the course content.   Students will acquire the speaking| listening| reading| and writing skills at the mid-high novice level| based on the ACTFL scale. The mid-high novice level proficiency skills that the students will acquire constitute threshold capabilities of the second semester range of proficiency to prepare students for Elementary Amharic II course materials.   
BIOTECH & BIOCHEM ENG,CBE-479,/coursehistories/2492,
DRUG DISCOVERY & DEVELOP,CBE-562,/coursehistories/2493,The main objective of this course is to allow students to study an African language of their choice| depending on the availability of the instructor. The course will provide students with linquistics tools which will facilitate their research work in the target country. Cultural aspects of the speakers of the language will be introduced and reinforced.   
FLUID MECHANICS,MEAM-302,/coursehistories/1986,Essentials of nutritional biochemistry from the molecular level to the level of the whole human organism. Nutrient functions and inter-relationshps are explored with attention to the association between nutrients and disease risk. Topics include energy metabolism and regulation of fat storage| new functions of vitamins and minerals| gene nutrient interactions and current research topics.   
INTRO TO CHEMICAL ENG,CBE-160,/coursehistories/2753,A thorough introduction to computer graphics techniques| covering primarily 3D modeling and image synthesis. Topics cover: geometric transformations| 3D object models (surface and volume)| visible surface algorithms| image synthesis| shading and mapping| ray tracing| radiosity| global illumination| photon mapping| anti-aliasing and compositing.   
