NAME,ALIAS,PATH,DESCRIPTION
STRUCTURAL BIOLOGY,CHEM-022,/coursehistories/245,This course will explain in non-mathematical terms how essentially all biological properties are determined by the microscopic chemical properties of proteins. It will also explain how research results| especially those of structural biology| are presented to its various audiences.   
MOLECULES IN MOTION,CHEM-024,/coursehistories/246,The course will discuss exciting recent research discoveries that are providing us with ways of visualizing chemical reactions and other structural changes. The course will provide some highlights of laser chemistry and other new technologies focused on structure determination and real time measurements of chemical change that are making an impact on our ability to visualize molecular processes and manipulate molecules. Applications will be both chemical and biological. The course is intended for those excited by scientific discovery who are also science majors with at least a High School AP course in chemistry| and ideally| AP physics. There will be no specific textbook. Readings will be original comments and papers from the scientific literature.   
LECTURE,CHEM-053,/coursehistories/247,A general laboratory course covering aspects of qualitative and quantitative analysis| determination of chemical and physical properties| and chemical synthesis.   
LECTURE,CHEM-054,/coursehistories/248,Continuation of CHEM 053.   
LECTURE,CHEM-055,/coursehistories/249,A general laboratory course covering aspects of qualitative and quantitative analysis| determination of chemical and physical properties| and chemical synthesis. This 0.5 c.u. lab course is an alternative to CHEM 053| but is only open to freshman students who are also enrolled in the special freshman section of CHEM 101 - Section 004.   
GENERAL CHEMISTRY I,CHEM-101,/coursehistories/250,Basic concepts and principles of chemistry and their applications in chemistry and closely-related fields. The first term emphasizes the understanding of chemical reactions through atomic and molecular structure. This is a university level course| treating the material in sufficient depth so that students can solve chemical problems and can understand the principles involved in their solution. It includes an introduction to condensed matter. This course is suitable for majors or non-majors and is recommended to satisfy either major or preprofessional requirements for general chemistry. This course is presented for students with high school chemistry and calculus. Students with a lesser background than this should take Chemistry 100.   
GENERAL CHEMISTRY II,CHEM-102,/coursehistories/251,Continuation of Chemistry 101. The second term stresses the thermodynamic approach to chemical reactions| electrochemical processes| and reaction rates and mechanisms. It includes special topics in chemistry.   
PHYSICAL CHEMISTRY II,CHEM-222,/coursehistories/252,Continuation of CHEM 221. Principles and applications of thermodynamics| and a molecular-based understanding of macroscopic properties.   
LECTURE,CHEM-223,/coursehistories/253,Important methods| skills| and apparatus used for the acquisition and interpretation of quantitative information about chemical systems will be discussed in principle and used in the laboratory.   
ORGANIC CHEMISTRY I,CHEM-241,/coursehistories/254,Fundamental course in organic chemistry based upon the modern concepts of structure and mechanism of reactions.   
ORGANIC CHEMISTRY II,CHEM-242,/coursehistories/255,Continuation of CHEM 241.   
LECTURE,CHEM-245,/coursehistories/256,A basic laboratory course in which both the theoretical and practical aspects of a variety of organic reactions and multistep syntheses are emphasized. Modern chromatographic| instrumental| and spectroscopic techniques are applied to experimental organic chemistry. Course should be taken concurrently with CHEM 242 or in the semester immediately following. For safety reasons students will not be permitted to wear contact lenses in the laboratory.   PLEASE NOTE THE FOLLOWING: For the Summer and LPS offering of CHEM 245| it is a 2-semester course. Part 1 is taken in the first term for 0.0 CU and then Part 2 is taken in the second term immediately following the first for 1.0 CU.   
PRINC BIOLOGICAL CHEM,CHEM-251,/coursehistories/257,Fundamentals of biological chemistry| including the structure of biological macromolecules and their mechanism of action| intermediary metabolism| and the chemical basis of information transfer.   
BIOLOGICAL CHEMISTRY II,CHEM-452,/coursehistories/258,Physical and chemical description of macromolecular information transfer. Gene organization| replication| recombination| regulation and expression. (Formerly| CHEM 450-II).   
INORGANIC CHEMISTRY II,CHEM-462,/coursehistories/259,A detailed treatment of the theory and application of modern physical methods for the elucidation of structure and mechanism in inorganic and organometallic chemistry. An introduction to symmetry and group theory is followed by the application of these concepts to vibrational and electronic spectroscopy of inorganic complexes. Magnetic resonance is discussed in detail| including topics such as EPR| fourier transform methods| dynamic systems| and 2-dimensional NMR.   
MCE ORGANIC CHEMISTRY II,CHEM-503,/coursehistories/260,
MCE MOLEC SPECTROSCOPY,CHEM-507,/coursehistories/261,
STATISTICAL MECHANICS II,CHEM-522,/coursehistories/262,A continuation of CHEM 521. The course will emphasize the statistical mechanical description of systems in condensed phases.   
QUANTUM CHEMISTRY II,CHEM-524,/coursehistories/263,Approximate methods in quantum theory and applications to molecular systems.   
CHEMICAL DYNAMICS,CHEM-526,/coursehistories/264,Theoretical and experimental aspects of important rate processes in chemistry.   
CHEMISTRY & SOCI,CHEM-011,/coursehistories/1249,
MECH BIO CATALYSIS,CHEM-557,/coursehistories/1250,This course is designed to train students interested in a professional career involving the use of Arabic written materials. The texts are selected to reflect various topics and styles. An additional specialized glossary will be supplied as a supplement to the texts read.   
