NAME,ALIAS,PATH,DESCRIPTION
THERMODYNAMICS,CHE-231,/coursehistories/237,Thermodynamics and its applications to chemical processes; forms of energy and their interconversion; phase and chemical equilibria; heat engines and thermal cycles.   
ADVANCED TRANSPORT PROCESSES,CHE-351,/coursehistories/238,Steady-state heat conduction. The energy equation. Fourier's law. Unsteady-state conduction. Convective heat transfer. Radiation. Design of heat transfer equipment. Diffusion| fluxes| and component conservation equations. Convective mass transfer. Interphase mass transport coefficients.   
SEPARATION PROC,CHE-371,/coursehistories/239,The design of industrial methods for separating mixtures. Distillation; liquid-liquid extraction; membranes; absorption. Computer simulations of the processes.   
PROCESS SYSTEMS DESIGN PROJECTS,CHE-459,/coursehistories/240,Design of a chemical process based on recent advances in chemical engineering technology. Weekly design meetings with faculty advisor and industrial consultants. Comprehensive design report and formal oral presentation.   
CHEMICAL PROCESS CONTROL,CHE-460,/coursehistories/241,Dynamics and control of linear single-input| single output (SISO) systems in chemical processes. Laplace transforms. Dynamic responses of linear systems to inputs in time and transform domains. Frequency domain analysis. Feedback control strategies. Stability. Controller tuning. Advanced control| including cascade and feed forward control. Introduction to multiple-input| multiple-output (MIMO) control.   
BIOTECH & GENE ENG LAB,CHE-480,/coursehistories/242,Laboratory methods in biochemical and genetic engineering. Molecular cloning techniques. DNA amplification and sequencing techniques. Culture of microbial cells. Recovery and purification of a microbial product enzyme. Measurement of enzyme activity.   
ENG BIOTECHNOLOGY,CHE-554,/coursehistories/243,Advanced study of re DNA techniques; bioreactor design for bacteria| mammalian and insect culture; separation methods; chromatography; drug and cell delivery systems; gene therapy; and diagnostics.   
ROBOTICS COMBINAT EXPERI,CHE-562,/coursehistories/244,An introduction to the use of robotics for large-scale experimentation. The course will cover micropositioning| micromanipulation| liquid handling| combinatorial chemistry| microfluidics and lob-on-a-chip design| DNA biochips and microarrary technologies. A special emphasis is placed on: drug discovery| detection systems; and the generation and analysis of biological diversity. Examples from material discovery will also be covered. Working knowledge in biology or fluid mechanics is not assumed| but helpful.   
INTRO TO POLYMERS,MSE-430,/coursehistories/778,This course focuses on synthesis| characterization| microstructure| rheology| and structure-property relationships of polymers| polymer directed composites and their applications in biotechnology. Topical coverage includes: polymer synthesis and functionalization; polymerization kinetics; structure of glassy| crystalline| and rubbery polymers; thermodynamics of polymer solutions and blends| and crystallization; liquid crystallinity| microphase separation in block copolymers; polymer directed self-assembly of inorganic materials; biological applications of polymeric materials. Case studies include thermodynamics of block copolymer thin films and their applications in nanolithography| molecular templating of sol-gel growth using block copolymers as templates; structure-property of conducting and optically active polymers; polymer degradation in drug delivery; cell adhesion on polymer surface in tissue engineering.   
INT TO CHE ENG ANALYSIS,CHE-160,/coursehistories/1247,An introduction to the grammar of Sanskrit with emphasis on developing skills in reading Sanskrit texts.   
