NAME,ALIAS,PATH,DESCRIPTION
1ST YR SPOKEN CHINESE II,CHIN-002,/coursehistories/3000,Intensive review of grammar integrated into writing practice. A good knowledge of basic French grammar is a prerequisite (French 202 or equivalent is recommended). Conducted entirely in French| the course will study selected grammatical difficulties of the French verbal and nominal systems including colloquial usage. Frequent oral and written assignments with opportunity for rewrites.   Articles from French newspapers and magazines| literary excerpts| and a novel or short stories will be used as supplementary materials in order to prepare students to take content courses in French in disciplines other than French.   
2ND YR SPOKEN CHINESE II,CHIN-004,/coursehistories/3001,This course is designed to promote advanced-level speaking and writing skills. It offers extensive practice with varied language structures| styles of expression and textual forms. It will also help students better understand contemporary French culture| thought and modes of expression. Activities include the study| analysis and emulation of model texts| discussion and debate about current events as they are treated in the French news media (television| print| Internet sources). Students will take part in class discussions| do one oral presentation based on research and compile a writing portfolio (journal| essays| blog).   
BEGINNING MOD CHINESE II,CHIN-012,/coursehistories/3002,Designed to provide students with a solid foundation in French phonetics and phonology. Part of the course will be devoted to learning how to produce discourse with native-like French pronunciation| rhythm and intonation. The second half of the course will be devoted to improving aural comprehension by examining stylistic and dialectical differences in spoken French.   
INTEN MOD CHINESE III&IV,CHIN-022,/coursehistories/3003,This basic course in literature provides an overview of French literature and acquaints students with major literary trends through the study of representative works from each period. Students are expected to take an active part in class discussion in French. French 221 has as its theme the presentation of love and passion in French literature. Majors are required to take either French 221 or 222. They may also take both.   
BEG RDG/WRTG CHINESE II,CHIN-032,/coursehistories/3004,An introduction to the social| political and historical institutions of France from the earliest times until the Revolution of 1789. Required for majors in French and also of particular interest to majors in history| international relations| Wharton students| etc.   This course will be taught in French.   
BEGINNING CANTONESE II,CHIN-042,/coursehistories/3005,This course will introduce students to recent films by major directors from Francophone Africa. While attention will be given to aesthetic aspects and individual creativity| the viewing and discussions will be mostly organized around a variety of (overlapping) themes: History; Tradition/Modernity; Urban Life; Gender and Sexuality; Politics. Class conducted in French.   
BEGINNING TAIWANESE II,CHIN-052,/coursehistories/3006,Topics vary. Please see the French Department's website for a description of the current offerings: https://www.sas.upenn.edu/french/pc   
BEGINNING CHINESE IV,CHIN-112,/coursehistories/3007,After a brief history of European integration and a description of the Community's institutions| common programs| and single market| a series of debates on the following topics will be addressed: Federal Europe vs. Europe of Nations; A wider vs. a deeper Community; From an economic and monetary community to a political community? Relations between France| Europe| and NATO (Eurocentrism vs. Atlantism); The cultural and social European Model and its future vs. American liberalism (the unemployment problem); Is there a European citizen? (education and training); Europe and its relations with the rest of the world (Euro vs. dollar and yen). After a video presentation of each topic| two students will lead the discussion. The rest of the students will contribute to the debate by preparing question and comments.   
INTERMED CANTONESE II,CHIN-142,/coursehistories/3008,This course is designed to foster an awareness of the differences between syntactical and lexical patterns of French and English. It focuses on the theory and practice of translation. Students will learn techniques to apply to the translation of literary| journalistic and advertising texts from English to French and vice versa and to the subtitling of audiovisual materials. Students should have a good knowledge of French grammar.   
INTERMED TAIWANESE II,CHIN-152,/coursehistories/3009,A study of major movements and major dramatists from Giraudoux and Sartre to the theater of the absurd and its aftermath.   
INTERMED MOD CHINESE II,CHIN-212,/coursehistories/3010,A historical appreciation of the impact of the exploration| colonization| and immigration of other peoples on French national consciousness| from the 16th century to the present. Emphasis is on the role of the Other in fostering critiques of French culture and society. Readings include travel literature| anthropological treatises| novels| and historical documents. Oral presentations and several short papers are included in the course.   
INTER RDG/WRTG CHINESEII,CHIN-232,/coursehistories/3011,Topics will vary. Seminar will focus on one area| author| or "problematique" in Francophone studies. Examples of an area-focused seminar: The African Contemporary novel or Francophone Caribbean writers. Example of a single-author Seminar: The Poetry and Drama of Aime Cesaire: Examples of a thematic approach: writing and national identity| postcolonial conditions| autobiography. Please see the department's website for the current course description: http://ccat.sas.upenn.edu/roml/french/graduate/courses.html   
ADVANCED MOD CHINESE II,CHIN-312,/coursehistories/3012,Within the context of the ill-defined| heterogeneous genre of the travelogue and of today's age of globalization| CNN and the Internet| this seminar will examine the poetics of travel writing based largely albeit not exclusively on travel notebooks| or journaux/carnets de voyage| spanning the XXth century from beginning to end. One of the principal specificities of the texts studied is that they all evince to a lesser or greater degree a paradoxical resistance both to the very idea of travel(ing) as such and to the mimetic rhetoric of traditional travel narratives. We will therefore look at how modern or postmodern texts question| revisit| subvert or reject such key notions of travel literature as exoticism| nostalgia| exile| nomadism| otherness or foreignness vs. selfhood| ethnology and autobiography| etc.   Authors considered will include Segalen| Morand| Michaux| Leiris| Levi-Strauss| Butor| Le Clezio| Baudrillard| Bouvier| Jouanard| Leuwers.   
NEWSPAPER CHINESE I,CHIN-361,/coursehistories/3013,This seminar explores the path to establishing identity and identifies the connections between identity| intimacy| and the attainment of maturity. Varying components of identity such as goal setting| morals| values| and career definition will be explored as will connections between psychological emancipation and becoming an independent individual.   
ADV SPOKEN MANDARIN II,CHIN-372,/coursehistories/3014,In this seminar students will be exposed to interplay of international forces that inhibit developing nation progress and which| in some cases| actually add to their mal-development. During the course of the seminar| students will undertake an original piece of research on an international development topic of special interest to them. They will also be invited to meet with prominent professionals in the international development community.   
BUSINESS CHINESE II,CHIN-382,/coursehistories/3015,The concept of integrity as a moral value has been aptly called both fundamental and elusive. Drawing on readings from literature| philosophy and the social sciences| this course will examine the meaning of integrity and the reasons underlying its centrality and elusiveness. We will also consider the ways in which it may come to play a defining role in decision making| both in our personal lives as students| teachers| and citizens and in the ethics of such professions as business| education| law and medicine.   
