NAME,ALIAS,PATH,DESCRIPTION
WRITING SEMINAR IN CINE: PERSONAL FILM,CINE-009,/coursehistories/3314,Selected aspects of genetics| biochemistry| physiology and pharmacology are presented and applied to nursing care. Embryonic| histologic| and gross anatomical features of certain organ systems are functionally related to biochemical and physiological mechanisms essential for the maintenance of a stable internal environment. Special emphasis is placed upon integrating functions of the nervous and endocrine systems. Certain deviations from normal metabolism| structure and function are detailed.   
FILM HISTORY,CINE-101,/coursehistories/3315,The conceptual and practice application of brain-behavior relationships for individuals with mental health and psychiatric conditions is developed in this course. Students learn interview and differential diagnostic skills toscreen for neuropsychological etiologies of mental disorders such as schizophrenia| bipolar disorders| mood disorders and anxiety disorders. The course reviews specific theories of etiology and diagnostic classifications found in the Diagnostic and Statistical Manual of Mental Disorders-Fourth Edition- Text Revision (DSM IV- TR). Students develop the ability to make critical decisions as they learn finer points of differentiial diagnosing of mental disorders using a case based method of learning| allowing students to focus on specific populations such as aged| adults| adolescents| anchildren.   
STUDY OF AN AUTHOR: ALFRED HITCHCOCK,CINE-115,/coursehistories/3316,Crisis intervention| brief psycho-therapy| group processes and practices| milieu therapy| and intervention with families are examined as they relate to nursing practice in mental health.   
ROLE OF THE PRODUCER,CINE-120,/coursehistories/3317,This course presents Bowen Family Systems Theory as it applies to families over the life and organizations over time. This is a theoretical course whose purpose is to provide the student with a broad| systemic perspective on human functioning. The course begins with a detailed presentation of Systems Theory| from both a family and organizational perspective. As presented there is a continual compare and contrast to other dominant theories of human functioning. It then applies the concepts of Systems Theory to the understanding and assessment of the stages of the normal family life cycle from a multi-generational| multi-cultural perspective. This is followed by discussions of the theory's application to the emotional problems of children| adolescents| adults and their families. Likewise| application to organizational behavior is made| including health care organizations. Relevant research is discussed throughout.   
TOPICS IN FILM PRACTICE: POETS OF CINEMA,CINE-202,/coursehistories/3318,The relationships among nursing theory| research and practice will be examined. An emphasis will be placed on research competencies for advanced practice nurses (APNs)| including understanding nursing research methods and strategies in order to evaluate research results for applicability to practice and to design projects for evaluating outcomes of practice. An understanding of statistical techniques will be integrated into the course and build on the required undergraduate statistics course. Published nursing research studies will be evaluated for scientific merit and clinical feasibility| with a focus on evidence-based practice.   
PROSEM. CINEMA STUDIES: FIELD OF CINEMA STUDIES,CINE-515,/coursehistories/3319,This participatory interdisciplinary seminar course examines contemporary issues in public health policy and global health. The organizing framework is social determinants of health. We consider evidence that inequalities in education| income| and occupation influence health status| and the policy dilemma that broad interventions to improve population health may increase health disparities. We critically examine whether prevention is always better than cure| and what modern medicine has to offer in terms of health. We explore the public policy process in health using the "tobacco wars" as a case example| of how politics| policy| law| commercial interests| and research intersect to affect the public's health. We examine whether global health is in a state of decline| and the extent to which failures in public health| public policy| and foreign policy have contributed to increasing threats to world health. Likewise we will examine the potential for greater integration of health into foreign policy to create global infrastructure upon which to advance health. We will examine the global health workforce and the impact of widespread global migration of health professionals on receiving and sending countries.   There are no prerequisites. The course is designed for graduate students in the social and behavioral sciences| health professions| public health| business and law. Advanced undergraduate students will be admitted with permission.   
SEMINAR IN AFAMS: BLACKS IN AMER FILM/TV,AFRC-400,/coursehistories/3262,The state of matter is dependent upon temperature| thermal history| and other variables. In this course the science of such structural transition is treated|with the purpose in mind of utilizing it for producing materials with superior properties. The subjects covered include the methods of structural analysis| solidification| solid state transformation| and order-disorder transition.   
Processes of Place-Making: Fostering Public Design,ARTH-290,/coursehistories/2230,Gender is an organizing principle of society| shaping social structures| cultural understandings| processes of interaction| and identities in ways that have profound consequences. It affects every aspect of people's lives| from their intimate relationships to their participation in work| family| government| and other social institutions and their place in the stratification system| Yet gender is such a taken for granted basis for differences among people that it can be hard to see the underlying social structures and cultural forces that reinforce or weaken the social boundaries that define gender. Differences in behavior| power|and experience are often seen as the result of biological imperatives or of individual choice. A sociological view of gender| in contrast| emphasizes how gender is socially constructed and how structural constraints limit choice. This course examines how differences based on gender are created and sustained| with particular attention to how other important bases of personal identity and social inequality--race and class-interact with patterns of gender relations. We will also seek to understand how social change happens and how gender inequality might be reduced.   
TOPICS IN ASIAN-AM STDS,ASAM-150,/coursehistories/2474,Over the past two decades| the public imagination has been gripped by the concept of globalization. Scholars| corporations| advertisers and government officials have latched onto this idea as a defining feature of our current era.These various constituencies use globalization not only to account for epochal shifts in our economy and society| but also to justify new types of business strategy and public policy. This course will examine three interlinked dimensions of globalization: Global economic processes (e.g. the transnational operations of multinational firms that have given rise to a new international division of labor); cultural globalization (e.g. the spread of American brands like Coca Cola| Nike and Hollywood films)| and political globalization (e.g. the rise of supranational organizations like the IMF| World Bank and WTO that promote the idea of free markets).   Moreover| we will study globalization in the context of cities because| given their centrality to globalization processes| it is in cities that we can best understand how globalization takes place. In cities| we can study the global economic processes that restructure urban space| giving rise to new financial districts| international art exhibits and post-modern architecture and entrepreneurial strategies that seek to elevate cities to world city status. The course will examine these processes in a comparative light| contrasting urban globalization processes in Europe and North America with those in Latin America| Asia and Africa.   
VISUAL COMMUNICATION,COMM-262,/coursehistories/296,Examination of the structure and effects of visual media (film| television| advertising| and other kinds of pictures).   
