NAME,ALIAS,PATH,DESCRIPTION
ANALYSIS OF ALGORITHMS,CIS-502,/coursehistories/265,An investigation of several major algorithms and their uses in areas including list manipulation| sorting| searching| selection and graph manipulation. Efficiency and complexity of algorithms. Complexity Classes.   
THEORY OF COMPUTATION,CIS-511,/coursehistories/266,Finite automata (deterministic and nondeterministic) regular graphs| regular expressions| regular grammars| (Nerode congruence)| the "pumping lemma"| closure properties. Context-free languages. Standard forms: removal of e-rules| chain rules| reduced grammars. Chomsky Normal Form. Context-free languages as fixed points (Ginsburg and Rose's Theorem). Greibach Normal Form (using Rosenkrantz's matrix method). Ogden's Lemma and the "pumping lemma". Pushdown automata (PDA's). Equivalence of PDA's and context-free grammars. Brief sketch of top-down and bottom-up (nondeterministic) parsing. Deterministic PDA's. Closure properties. Partial recursive functions| Turing machines and RAM programs. Primitive recursion. Minimization. Equivalence of the models. Church/Turing's thesis. Acceptable Codings. A Universal RAM program. Undecidability of the halting problem. Recursively enumerable sets (RE sets).   
COMP & NETWORK SEC,CIS-551,/coursehistories/267,This is an introduction to topics in the security of computer systems and communication on networks of computers. The course covers four major areas: fundamentals of cryptography| security for communication protocols| security for operating systems and mobile programs| and security for electronic commerce. Sample specific topics include: passwords and offline attacks| DES| RSA| DSA| SHA| SSL| CBC| IPSec| SET| DDoS attacks| biometric authentication| PKI| smart cards| S/MIME| privacy on the Web| viruses| security models| wireless security| and sandboxing. Students will be expected to display knowledge of both theory and practice through written examinations and programming assignments.   
COMPUTATIONAL BIOLOGY,BIOL-536,/coursehistories/228,Introductory computational biology course designed for both biology students and computer science| engineering students. The course will cover fundamentals of algorithms| statistics| and mathematics as applied to biological problems. In particular| emphasis will be given to biological problem modeling and understanding the algorithms and mathematical procedures at the "pencil and paper" level. That is| practical implementation of the algorithms is not taught but principles of the algorithms are covered using small sized examples. Topics to be covered are: genome annotation and string algorithms| pattern search and statistical learning| molecular evolution and phylogenetics| functional genomics and systems level analysis.   
DATA MGMT/MOBILE COMPUT,CSE-452,/coursehistories/322,
SOFTWARE SYSTEMS,CIS-505,/coursehistories/1251,This course is an introduction to the basic tools and resources available to scholars for the study of the premodern Islamic Middle East| as well as to current discussions and controversies over methodological questions. Through the pursuit of specific projects| students will learn to use bibliographies| geographical and biographical reference works| fundamental lexicographical and philological texts| epigraphical and numismatic resources| manuscript catalogs| and other essential components of the Islamicist's workshop. They will also be given an overview of current trends in the field| with particular emphasis on the flashpoints.   
COMPUTATIONAL LINGUISTCS,CIS-530,/coursehistories/1252,
BIOL SIGNALS & SYSTEMS,LING-525,/coursehistories/1389,The main focus of this course is to provide an overview of techniques used by conservation biologists and wildlife managers. The emphasis is on field work and most of each day will be spent outside attempting to collect real data on real organisms. The general topics covered will be survey techniques for forest birds| small mammals| white-tailed deer| and vegetation. A brief introduction to Geographic Information Systems and Global Positioning Systems is also included. Each topic will start with an introductory lecture the night before and then field work during the day.   
SOFTWARE FOUNDATIONS,CIS-500,/coursehistories/1743,This course examines American history from the first contacts of the indigenous peoples of North America with European settlers to our own times by focusing on a few telling moments in this history. The course treats twelve of these moments. Each unit begins with a specific primary document| historical figure| image| location| year| or cultural artifact to commence the delving into the American past. Some of these icons are familiar| but the ensuing deciphering will render them as more complicated; some are unfamiliar| but they will emerge as absolutely telling. The course meets each week for two 50-minute team-taught lectures and once recitation session. Course requirements include: in-class midterm and final exams; three short paper assignments; and punctual attendance and participation in recitations.   
INTRO TO COMP ARCH,CIS-501,/coursehistories/1744,An analysis of American society from the founding of the Colonies to the outbreak of Civil War. Topics to be emphasized include: the interaction among European| Indian and African cultures in the New World; the shaping of the distinctive American character; the creation of an independent nation-state; and the crisis of the Union. Special attention will be given to biographical profiles of the men and women who helped shape American history during this period.   
