NAME,ALIAS,PATH,DESCRIPTION
PERSUASION AND POWER,CLST-009,/coursehistories/271,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
HOMER & TROY,CLST-112,/coursehistories/272,The Iliad and the Odyssey have won great admiration from hearers and readers for close to three millenia. They have also provoked many questions about the poet or poets| the date of works| the nature of their composition and transmission| and the historical reality| if any| of the war and the society they evoke. In an attempt to answer some of these questions| we will undertake a literary and archaeological and historical study of Troy and Greecefrom the 13th century B.C.| the earliest time conjectured for the Trojan War| down to the 7th century B.C.| the latest possible date for composition. In addition to studying the two Homeric epics| we will do comparative reading in other early Greek literatureand the Hebrew Bible.   
ANC/MOD PRISON NARRATIVE,CLST-130,/coursehistories/273,How has the experience of being in prison changed from ancient to modern times? As in modernity| so in earlier periods there were many reasons for imprisonment: charges of treason| political or religious dissent| crime and war. How do prison narratives from various historical periods reflect differences in the way that people have experienced imprisonment? Did prisoners in the past personalize their suffering in the way that modern prisoners often do? How do prison writings establish an idea of community with other prisoners and with a public outside the prison? And how have prison writers managed to transform their individual expereinces into the broad social| political| or historical statements?   We will begin the course with writings by two well known modern prison writers:Nelson Mandela (South Africa) and Leonard Peltier (USA). We'll then turn to writings from the past| including: Plato's account of Socrates' imprisonment| trial| and execution; narratives and transcripts of Joan of Arc's imprisonment and trial; and Oscar Wilde's "Ballad of Reading Gaol." We will end with further selections from modern prison writing| including fictional and real-life narratives. Over the semester we will also read some historical and theoretical studies of imprisonment| including Foucault's Discipline and Punish: the Birth of the Prison and some focused studies of ancient| medieval| and early modern prison systems. Your work for the class| in addition to the readings| will be to write two medium-sized papers (6-7 pages) about works read for class| and prepare and present one report on a text of your choice that we are not reading for class. You will also be asked| from time to time| to do small research exercises on modern or historical topics related to our reading; these research assignments may involve work on the World Wide Web.   
Who Owns the Past?  Issues of Ethics in Archaeology,CLST-132,/coursehistories/274,The Elgin marbles should be returned to Greece. The Elgin marbles should stay in the British Museum. Who should have Schliemann's treasure: Russia| Germany| or Turkey? Are wealthy private collectors causing our world heritage to be dug up illicitly| thereby destroying valuable information| or are they providing a necessary service to the world by maintaining in good environments and with proper care the world's patrimony? Who has a right to own the past? These questions and related issues that are currently under heated debate among archaeologists| private collectors| ethnic groups| institutions and governments will be explored over the course of 15 meetings. Discussions will include ethical codes and professional responsibility; state| national and international legislation; the roles of the press (both academic and popular)| of the individual| of universities and museums| of governments and of special interest groups. Case studies will focus on primarily on materials from the Mediterranean basin and Europe| but may expand out to the Americas| Asia| Austrailia and Africa.   
ART OF PERSUASIVE SPEAKG,CLST-135,/coursehistories/275,A democratic republic in crisis| debilitated by the corruption and ambition of its politicians| sinking into an increasingly bitter confrontation of two political parties - 2|000 years ago. In the first century BCE Rome faced many of the same political challenges we do today; and as in contemporary America| politicians relied on rhetoric and the art of spin to manipulate public opinion and win support. In this course we will be reading the speeches of Cicero| perhaps the greatest of the Roman orators and certainly one of the great figures in the history of rhetoric| and studying the kinds of strategies he used to advance his own career and the interests of his party.   
"EAST"-"WEST" CULTURES,CLST-195,/coursehistories/276,Multiculturalism increasingly characterizes our political| economic| and personal lives. This course will focus on real and perceived differences between the so-called "East" and "West." Taking a case study approach| we shall read and compare literary materials from classical Greece and Rome| a major source of "Western" culture| and Japan| an "Eastern" society. Through analysis of these texts| we shall explore some of the concepts| values| and myths in terms of how "East" and "West" define themselves and each other: e.g. gender| sexuality| rationality| religion| society| justice| nature| cultural diffusion| work| leisure| life| and death. Readings will include selections from Greco-Roman and Japanese myths| poetry| drama| essays| history| and philosophy. Class format will be lecture with opportunity for questions and discussion. Grading will be based on midterm and final examinations| a short paper| and class participation. No prerequisites.   
LECTURE: lecture,CLST-200,/coursehistories/277,Myths are traditional stories that have endured many years. Some of them have to do with events of great importance| such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage over adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales| and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome| as well as a contemporary American ones| as a way of exploring the nature of myth and the function it plays for individuals| societies| and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their ownmyths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they entertaining stories that people like to tell over and over? Are they a set of blinders that all of us wear| though we do not realize it? Investigate these questions a variety of topics creation of the universe between gods and mortals| religion and family| sex|love| madness| and death.   
HOLLYWOOD "CLASSICS",CLST-204,/coursehistories/278,This course will introduce students both to several foundational texts of classical literature and to the study of popular culture. We will accomplish this through a comparison of ancient works with popular film. Students will read a number of well-known texts from antiquity| one or two 20th-century works| and view 8-12 (mostly) recent popular films that in some way "translate" classical themes| ideas| or methods of narration. We will examine the texts and films first within their cultural contexts and then against one another. This comparative approach will allow us to address a number of different themes| issues| and reading strategies. Topics and films may change slightly from year to year| but some likely themes include: Homer's Odyssey| Sophocles' Oedipus Rex| Apuleius' Golden Ass| Euripides' Hippolytus| Raymond Chandler's The Big Sleep| and a number of critical essays. Probable films include: Die Hard| Aliens| Angel Heart| and Mighty Aphrodite. Students should plan to attend weekly screenings in addition to the regularly scheduled course meetings.   
ANC&MOD CONSTITUTION,CLST-310,/coursehistories/279,What actually was it that the Greeks were thinking of when they used the expression politeia-an expression which we often translate by 'constitution' but which might be translated also by 'citizenship'| 'citizen body'| or 'regime'? What do their thoughts suggest| if anything| about prospects for constitutionmaking today? This course builds on contemporary scholarship to reconstruct what we may call the constitutiomaking tradition as it develops in the main ancient texts| which are read in English translations. The ancient texts are taken from Herodotus| the Pseudo-Xenophon| Diodorus Siculus| Thucydides| Xenophon| Plato| the author of the Aristotelian Athenian Constitution| Aristotle himself| Polybius| Cicero| Tacitus| Plutarch| Diogenes Laertius| Augustine| and Justinian's codifiers of Roman law. The course traces this ancient tradition through the Middle Ages and the Renaissance and the great thinkers of the Seventeenth Century| following linguistic and other clues that carry one up to Madison and may put the work of the U.S. Constitutional Convention in a somewhat new light;and it continues through Nineteenth Century and Twentieth Century constitutionmaking into today's constitutionmaking efforts in Eastern Europe| | Central Asia| the Middle East and North Africa| and Europe itself.   In its 2012 version| the course draws on recent work which suggests that Aristotle's Politics was written for an intended audience of people making constitutions and people making laws| either for domestic use or for colonies.   The course is conducted as a group tutorial. In individual tutorials| where is one on one| the tutor typically assigns a paper to a student each week| and the student reads it the next week and takes questions from the tutor. In a group tutorial| the professor offers a prelecture to the students in each session on the text that they will read next to help them understand its historical| literary| and political context. In the next class| the students read short papers on the text| and these papers are discussed by other students and by the professor. The professor then provides a summary lecture on the text just completed| if necessary| and a prelecture on the set for the next class. At the end of the course| the students have reconstructed the constitutionmaking tradition for themselves from the primary sources.   This course became a BFS course in Spring 2003.   
TEACHING PLATO REPUBLIC,CLST-352,/coursehistories/280,Mythos and Logos are often perceived as representing two opposite approaches toreality: the former tending towards an irrational| sometimes even superstitiousone| the latter to a systematically rational one. This division arose already in Ancient Greece| where the rationalism of figures such as the Sophists castedaway the ancient mythological stories along with the religious practices and beliefs to favor a more pragmatic view of things. Yet| are Mythos and Logos really to be so drastically separated? In Plato's works Mythos and Logos are not presented as two completely separated concepts. On the contrary Plato often uses myths to clarify his ideas and more than that to express the inexpressible. In this course we will examine how the myths and the Mythos are used in Plato's philosophy as a means to express through language what is beyond language and can barely be grasped by human thought.   One of the three weekly meetings of the seminar will take place at University City High School (UCHS). We will work closely with a high school class and their teacher at UCHS| using Plato as a springboard for discovery and discussion. Such a format would surely please Socrates himself| who held that ongoing dialogue with others consitutes the truest philosophical enterprise.   
