NAME,ALIAS,PATH,DESCRIPTION
NARRAT ACROSS CULTURES,COML-125,/coursehistories/289,The purpose of this course is to present a variety of narrative genres and to discuss and illustrate the modes whereby they can be analyzed. We will be looking at shorter types of narrative: short stories| novellas| and fables| and also some extracts from longer works such as autobiographies. While some works will come from the Anglo-American tradition| a larger number will be selected from European and non-Western cultural traditions and from earlier time-periods. The course will thus offer ample opportunity for the exploration of the translation of cultural values in a comparative perspective.   
Venturing Out Coming Home: The Quest in Literature,COML-180,/coursehistories/290,
CLASSIC WESTERN WORLD II,COML-192,/coursehistories/291,This class provides a survey of works drawn from the Western literary canon from the Renaissance to the 20th century. Work may be drawn in part from the following authors: Montaigne| Shakespeare| Webster| Moliere| Milton| Behn| Laclos| Rousseau| Sterne| the Romantic poets| Austen| Dickens| Bronte| Wilde| Woolf and Joyce.   
GREAT BOOKS OF JUDAISM,AMES-151,/coursehistories/59,The study of four paradigmatic and classic Jewish texts so as to introduce students to the literature of classic Judaism. Each text will be studied historically -- "excavated" for its sources and roots -- and holistically| as a canonical document in Jewish tradition. While each text will inevitably raise its own set of issues| we will deal throughout the semester with two basic questions: What makes a "Jewish" text? And how do these texts represent different aspects of Jewish identity? All readings will be in translation.   
MOD JEWISH LIT IN TRANS: Literary Pluralism-Immigrants Women Arabs & Others,AMES-154,/coursehistories/61,Topic varies semester to semeester. Past topics have included: Film and Literature: Childhood in Times of Peace and War; War and Love: Heroism and Anti-Heroism in Israeli Writings; Jewish Film and Literature: Childhood Memory; Fantasy| Dreams & Madness in Hebrew Literature: Escape or Solution; Voices (of Others) of Israel. Fall 2004: Jewish Film & Literature: History and Memory.   
MOD MIDEAST LIT IN TRANS,AMES-225,/coursehistories/66,This course is team-taught by four professors with specialties in Arabic| Hebrew| Persian and Turkish literatures| and is conducted jointly with Rutgers University| New Brunswick via videoconferencing. The course deals with the modern literature within each tradition and focuses on poetry| short story and the novel (novels to be studied this semester are: Al-Shaikh's The Story of Zahra| Yehoshua's The Lover| Rachlin's Foreigner| and Pamuk's The White Castle). The readings are all in English. The course is conducted in a seminar format. Students are expected to participate in classroom discussion of the materials assigned for each session| and evaluation is partially based on the quality of that participation. A short paper is assigned on the poetry and the short stories| and there is a final| longer term paper.   
BIBLE IN TRANSLATION: LEVITICUSNUMBRSDEUTER,AMES-255,/coursehistories/67,Careful textual study of a book of the Hebrew Bible ("Old Testament") as a literary and religious work in the light of modern scholarship| ancient Near Eastern documents| and comparative literature and religion. The book varies from year to year.   
LECTURE: lecture,CLST-200,/coursehistories/277,Myths are traditional stories that have endured many years. Some of them have to do with events of great importance| such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage over adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales| and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome| as well as a contemporary American ones| as a way of exploring the nature of myth and the function it plays for individuals| societies| and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their ownmyths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they entertaining stories that people like to tell over and over? Are they a set of blinders that all of us wear| though we do not realize it? Investigate these questions a variety of topics creation of the universe between gods and mortals| religion and family| sex|love| madness| and death.   
HOLLYWOOD "CLASSICS",CLST-204,/coursehistories/278,This course will introduce students both to several foundational texts of classical literature and to the study of popular culture. We will accomplish this through a comparison of ancient works with popular film. Students will read a number of well-known texts from antiquity| one or two 20th-century works| and view 8-12 (mostly) recent popular films that in some way "translate" classical themes| ideas| or methods of narration. We will examine the texts and films first within their cultural contexts and then against one another. This comparative approach will allow us to address a number of different themes| issues| and reading strategies. Topics and films may change slightly from year to year| but some likely themes include: Homer's Odyssey| Sophocles' Oedipus Rex| Apuleius' Golden Ass| Euripides' Hippolytus| Raymond Chandler's The Big Sleep| and a number of critical essays. Probable films include: Die Hard| Aliens| Angel Heart| and Mighty Aphrodite. Students should plan to attend weekly screenings in addition to the regularly scheduled course meetings.   
THE EPIC TRADITION,CLST-360,/coursehistories/281,Ancient epic and its post-classical reception in European traditions of epic| romance| and other genres. Texts and approaches may vary from year to year.   
WRITING ABOUT LITERATURE,ENGL-001,/coursehistories/367,Usually housed in the Program for Comparative Literature| this seminar engages questions of literary genre| including its function as a mediating presence for thinking about audience| literary history| and the marketplace. The theme of the seminar will chnage with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
TPCS IN THEATRE HISTORY,ENGL-078,/coursehistories/386,As a complex cultural product| television lends itself to a variety of critical approaches that build-on| parallel| or depart from film studies. This introductory course in television studies begins with an overview of the medium's history and explores how technical and industrial changes correspond to developing conventions of genre| programming| and aesthetics. Along the way| we analyze key concepts and theoretical debates that shaped the field. In particular| we will focus on approaches to textual analysis in combination with industry research| and critical engagements with the political| social and cultural dimensions of television as popular culture.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTRO. TO LITERARY STUDY,ENGL-100,/coursehistories/394,This course is ideal for students consider the English major or minor| since it serves as an introduction to the study of literature. We will begin by raising fundamental and exciting questions central to literary study: What is literature? What has been and is its function? What is the nature of literary value? We will read a variety of literary genres and critical texts and survey a range of interpretive approaches and methods. The course combines lecture and discussion; students will write a series of short interpretive papers. Some versions of this course will also serve as an introduction to other members of the English faculty| who will visit the class as guest lecturers. This course is intended to serve as a foundation for students interested in going on to become English majors.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
THE TWENTIETH CENTURY,ENGL-104,/coursehistories/396,This is an introduction to literary study through a survey of works from a specific historical period. (For offerings in a given semester| please see the on-line course descriptions on the English Department website.) Some versions will begin with traditional stories or poems| including a sampling of works in translation. Others will focus exclusively on modern and contemporary American short fiction or poetry. This course is designed or the General Requirement| and is ideal for student wishing to take an English course but not necessarily intending to major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
LITERARY THEORY,ENGL-204,/coursehistories/406,The focus of this course has varied in the past to include "Psychoanalysis and Literature|" "Allegory| Allegories| and Reading|" and "Introduction to Literary Criticism|" treating authors from Plato and Aristotle to the leading contemporary Anglo-American and continental critics and theorists and dealing with the complexity of terms such as "meaning|" "interpretation|" "genre|" and so on.   
TPS MODERN BRITISH LIT: Contemporary British Cinema,ENGL-261,/coursehistories/413,The course explores an aspect of 20th-century literature intensively; specific course topics will vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TOPICS LIT & SOCIETY: Race Space and Law in the 19th Century United States,ENGL-293,/coursehistories/425,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TOPICS IN LIT & SOCIETY: The Politics of Form in Asian American Literature,ENGL-393,/coursehistories/433,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
Literary Responses to the Holocaust,GRMN-251,/coursehistories/551,This course will discuss some of the major literary and cinematic responses to the Holocaust. Much has already been written on this subject and therefore this course will specifically focus on such problems as: how can the Holocaust be translated into literature? Does our notion of literature change once the Holocaust has become its topic? Are fiction and testimony compatible with each other? Can the Holocaust be a topic even if it is not mentioned at all in the text? How do comedy and the Holocaust topic relate to each other? Can history and philosophy be part of a literary treatment of the Holocaust? Influential texts and films from major literatures and cultures in the world will be our starting point.   
LECTURE,GRMN-256,/coursehistories/553,For centuries the pact with the devil has signified humankind's desire to surpass the limits of human knowledge and power. From the reformation chap book to the rock lyrics of Randy Newman's Faust| from Marlowe and Goethe to key Hollywood films| the legend of the devil's pact continues to be useful for exploring our fascination with forbidden powers.   
ITALIAN HISTORY AND FILM,HIST-322,/coursehistories/600,Modern Italy has added to the traditional belle arti of painting| sculpture and architecture new fields like fashion| industrial design and film. "Made in Italy" has come to stand all over the world for quality workmanship and fine design. Yet this same country has been involved in the last hundred years in two terrible world wars| a brutal fascist dictatorship| violence both political and criminal and a flood of emigration. In this course we will review that history| its triumphs and disasters| by combining film and written texts. Both media are equally important and ought to enrich each other. The weekly film is part of that work and you will be expected to do the assigned reading as well. This course will be open to seniors and juniors| and sophomores (with special permission).   
