NAME,ALIAS,PATH,DESCRIPTION
COMM & POPULAR CULTURE,COMM-123,/coursehistories/292,Popular culture has been variously dismissed as mere trivia| "just entertainment;" it has been condemned as propaganda| a tool of mass deception; and its consumers have been dubbed fashion victims and couch potatoes. This course considers these critiques| as well as those that suggest that popular culture offers valuable material for the study of social life. We will consider the meanings and impact of popular culture| including its effects on how we see ourselves| others| and American life; who makes distinctions between high| middlebrow| and low or mass culture; and how power and resistance structure the production and consumption of popular texts.   
COMMUNICATION BEHAVIOR,COMM-125,/coursehistories/293,This course is an introduction to the fundamentals of communication behavior. It focuses on social science studies relating to the processes and effects of mass communication. Research reviewed includes media use behavior and media influences on knowledge| perceptions of social reality| aggressive behavior| and political behavior.   
ARGUMENT & PUBL ADVOCACY,COMM-175,/coursehistories/294,Using current events and materials from contemporary news sources| the course will teach the fundamentals of argument. The course will analyze good and bad rhetoric| and demonstrate the ways in which advocates use data| precedent| personal stories| values| experts| stereotypes and fears to support their claims or undermine the claims of others. Students will have an opportunity to craft and fine-tune logical and persuasive arguments about public issues and policy and to debate issues from a wide spectrum of views.   This course is designed to improve (a) your skill in analyzing and evaluating arguments and presentations of the kind you find in everyday discourse (news media| discussions| textbooks| advertisements| lectures| etc.); (b) your skill in presenting clear and persuasive reports; and (c) your critical instincts.   
CHILDREN & MEDIA,COMM-225,/coursehistories/295,This course examines children's relationship to media in its historic| economic| political and social contexts. The class begins with an exploration of the ways in which "childhood" is created and understood as a time of life that is qualitatively unique and socially constructed over time. It continues with a review of various theories of child development as they inform children's relationship with and understanding of television and other household media. It next reviews public policies designed to empower parents and limit children's exposure to potentially problematic media content and simultaneously considers the economic forces that shape what children see and buy. Children and Media concludes with a critical examination of research on the impact of media on children's physical| cognitive| social and psychological development.   
VISUAL COMMUNICATION,COMM-262,/coursehistories/296,Examination of the structure and effects of visual media (film| television| advertising| and other kinds of pictures).   
COMM & GLOBALIZATION,COMM-280,/coursehistories/297,Focuses on theme of communication as medium of power and control in the Electronic Age and the analysis of globalization trends. Introduces students to communication-as-personal-skill perspective| communication-linked professions and communication as field of social science inquiry. Interpersonal| organizational| national| international perspectives on communication processes.   
COMMUNICATIONS INTERNSHP,COMM-299,/coursehistories/298,Seminar for students concurrently participating in department-approved internships in communication-related organizations. Students will develop independent research agendas to investigate aspects of their internship experience or industry. Building on written field notes| assigned readings| and classroom discussion and evaluation| students will produce final papers using ethnographic methods to describe communications within their site or industry in order to understand and critically examine their hands-on experiences.   
FREEDOM OF EXPRESSION,COMM-322,/coursehistories/299,Origins| purpose| theory| practice of freedom of expression in the West. Philosophical roots of contemporary debates about expressive limits| especially problems associated with mass communication. Major topics may include but are not limited to sexual expression| violence| hate speech| traitorous and subversive speech| non-verbal expression| artistic expression| privacy.   
STRUC/FUNCT ADVERTISING,COMM-330,/coursehistories/300,This course will explore the historical and contemporary role of the advertising industry in the U.S. media system. Readings will include social histories of advertising| economic examinations of advertising's role in society| and critical analysis of the ad industry's power over the media.   
THE INFORMATION AGE,COMM-334,/coursehistories/301,This upper level course explores the problems and prospects that surround the introduction and diffusion of new information technology into the household| the workplace| and the market. Through lectures| discussions| essays and research projects| students will develop an understanding and appreciation of the relations between science| technology| economics| culture and law.   
