NAME,ALIAS,PATH,DESCRIPTION
INTRO TO PROGRAMMING,CSE-110,/coursehistories/308,
PROG LANG AND TECH II,CSE-121,/coursehistories/309,
PROG LANG & TECH LAB II,CSE-131,/coursehistories/310,
MATH FOUNDATIONS OF COMPUTER SCIENCE II,CSE-261,/coursehistories/311,
INTRO TO ALGORITHMS,CSE-320,/coursehistories/312,
INTRO TO PARALLEL COMP,CSE-333,/coursehistories/313,Parallel processing tries to take advantage of the presence of multiple processors in an architecture. Here is an analogy. If one mechanic can fix ten cars in ten days| can ten mechanics fix ten cars in one day? Can they fix 100 cars in ten days? Obviously| both answers depend on the size of the garage and its organization. The course will provide an introduction to modern parallel algorithms| and to parallel programming languages in which such algorithms can be implemented| and which can be compiled on the above-mentioned parallel architectures. Homeworks and projects consist of programming assignments and performance measurements| using a shared-memory multiprocessor system. Relevant buzzwords: supercomputers| high-performance computing.   The course will provide an introduction to modern parallel architectures| to solving common computational problems through parallel algorithms| and to parallel programming languages in which such algorithms can be implemented| and which can be compiled on the above-mentioned parallel architectures. Homeworks and projects consist of programming assignments and performance measurements using a shared-memory multiprocesser system. Relevant buzzwords: super-computers| high-performance computing.   
COMPILERS & INTERPRETER,CSE-341,/coursehistories/314,
SOFTWARE DESIGN/ENGINEER,CSE-350,/coursehistories/315,
DIG SYS ORG AND DESIGN,CSE-371,/coursehistories/316,
VIRTUAL WORLD DESIGN,CSE-377,/coursehistories/317,
ROBOTICS,CSE-390,/coursehistories/318,
INTRO ARTIFICIAL INTELL,CSE-391,/coursehistories/319,
QUANTUM COMP & INF SCI,CSE-398,/coursehistories/320,
SENIOR PROJECT,CSE-401,/coursehistories/321,
DATA MGMT/MOBILE COMPUT,CSE-452,/coursehistories/322,
PRINCIPLES OF PROG LANG,CSE-340,/coursehistories/1265,Introduction to the grammar of Late Egyptian.   
DIST & REAL-TIME SYSTEMS,CSE-480,/coursehistories/1266,The topic will vary from semester to semester; to be taught primarily by visiting scholars.   
MATH FOUND COMP SCI I,CSE-260,/coursehistories/1551,This course is ideal for students consider the English major or minor| since it serves as an introduction to the study of literature. We will begin by raising fundamental and exciting questions central to literary study: What is literature? What has been and is its function? What is the nature of literary value? We will read a variety of literary genres and critical texts and survey a range of interpretive approaches and methods. The course combines lecture and discussion; students will write a series of short interpretive papers. Some versions of this course will also serve as an introduction to other members of the English faculty| who will visit the class as guest lecturers. This course is intended to serve as a foundation for students interested in going on to become English majors.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INFO TECH/IMPACT SOCIETY,CSE-100,/coursehistories/1767,
PROG LANG & TECH I,CSE-120,/coursehistories/1768,
PROG LANG & TECH LAB I,CSE-130,/coursehistories/1769,Topics include immigration patterns| adjustment to the new society| exclusion| racism| and economic activities.   
INTRO COGNITIVE SCIENCE,CSE-140,/coursehistories/1770,The baroque earns its name from a style of art and architecture| developed in Europe between 1550 and 1700 and typified by elaborate ornamentation and color.The term can be applied well to the history of the period| which was characterized by conflict and complexity.   
INTRO TO COMP ARCH,CSE-240,/coursehistories/1771,Survey course tracing the origins and evolution of the great traditions of U.S. foreign policy| including Exceptionalism| Unilateralism| Manifest Destiny| Wilsonianism| etc.| by which Americans have tried to define their place in the world. Three hours of lecture per week| extensive reading| no recitations.   
AUTOMATACOMPUT.& COMPLX,CSE-262,/coursehistories/1772,Starting with the dual challenges of Enlightenment and Revolution at the close of the eighteenth century| this course examines the emergence of modern European thought and culture in the century from Kant to Nietzsche. Themes to be considered include Romanticism| Utopian Socialism| early Feminism| Marxism| Liberalism| and Aestheticism. Readings include Kant| Hegel| Burke| Marx| Mill| Wollstonecraft| Darwin| Schopenhauer| and Nietzsche.   
DSG PRINCIPLE INFO SYST,CSE-330,/coursehistories/1773,Investigation of the major ingredients-political| social| and economic-leading to the sectional crisis and war| an analysis of the Civil War| leadership on both sides and the major issues of Reconstruction.   
INTRO TO NETWRKS & SEC,CSE-331,/coursehistories/1774,This course examines the political| cultural| and intellectual history of America between 1954 and 1974. It considers the civil rights movement| the New Frontier and Great Society| the Supreme Court and right politics| the rise of the New Right| the debate over Vietnam| student radicalism| sexual liberation movements| black power| the counterculture| the urban crisis| and white backlash. The course emphasizes the transformation of liberalism and the revitalization of conservatism| and the tensions between integration and separatism| between libertarianism and communitarianism that shaped the social movements of the sixties.   
ALGORITHMS,CSE-334,/coursehistories/1775,What did Americans believe over the course of the late nineteenth and twentieth centuries and how did their assumptions and convictions change? There is no single answer to these questions| and this course surveys the often contentious debates among Americans about everything from progress and modernity to race| social order| economy| gender| science| and the nation itself. A primary goal is to place ideas in their social and cultural context| and to investigate why certain beliefs took hold at particular moments. The last century has witnessed dramatic shifts not only in cultural attitudes but also in the groups that have been able to shape them. Thus| we will examine the intellectual production of both elite and popular thinkers: philosophers| social theorists| scientists| and religious leaders as well as journalists| novelists| advertisers| workers| and immigrants. The course requires close readings of a broad array of primary materials| including academic treatises| reform tracts| political speeches| fiction| photographs| and film.   
COMPUTER OPER SYSTEM,CSE-380,/coursehistories/1776,Open to junior honors candidates in history. Introduction to the study and analysis of historical phenomena. Emphasis on theoretical approaches to historical knowledge| problems of methodology| and introduction to research design and strategy. Objective of this seminar is the development of honors thesis proposal.   
COMP OPERATING SYS LAB,CSE-381,/coursehistories/1777,Completion of the Senior honors thesis which began in the fall semester. No new admissions.   
SPECIAL TOPICS,CSE-399,/coursehistories/1778,This course will consider important themes in European history between 1150 and1325 by using literary texts as historical evidence and in conjunction with a sophisticated group of modern historical studies. The primary reading will be Dante's DIVINE COMEDY and several of his other works as well as chronicles (Salimbene)| works of spirituality (St. Bonaventure)| and political theory.   
