NAME,ALIAS,PATH,DESCRIPTION
INTRO TO JAPANESE CIVIL,EALC-002,/coursehistories/3033,Topics vary each semester. GH medicine courses are designed for undergraduates interested in considering human diseases from many aspects-biological| clinical and social. An attempt will be made to use each disease to illustrate modern approaches in biomedical research| problems in health maintenance and care| and socio-political effects of common severe disorders. The courses are not designed to provide technical information to premedical students in preparation for professional school.   
POPULAR RELIGION/CHINA,EALC-036,/coursehistories/3034,This course is designed for students with an elementary knowledge of Demotic Modern Greek| and aims mainly at developing oral expression| reading and writing skills.   
LITERATI ARTS EAST ASIA,EALC-114,/coursehistories/3035,An introduction to Classical Greek morphology and syntax. This course includes exercises in grammar| Greek composition| and translation from Greek to English. Emphasis is placed upon developing the ability to read Greek with facility.   
RELIGION ON SILK ROAD,EALC-137,/coursehistories/3036,This course is for those who have completed Ancient Greek 102| Greek 112 or equivalent. You are now ready to begin readiing real Greek! We will read a selection of passages from Greek prose authors| focusing on language and style.   
MEDIEVAL CHINA,EALC-142,/coursehistories/3037,TBA   
POLITICS OF KOREAN LIT: Politics of Literature: Postwar Korean Literature,EALC-196,/coursehistories/3038,"One Ring to rule them all; One Ring to find them; One Ring to bring them all and in the darkness bind them; In the Land of Mordor where the Shadows lie." (J.R.R. Tolkien) So begins your journey into legends and traditional lore. You will read stories of unrequited love| betrayal| magical powers| and the deeds of dragon slayers. This course traces the power of the tales of the ring from J.R.R. Tolkien to Richard Wagner| from the Middle High German epic the Nibelungenlied to the Norse poetry of The Saga of the Volsungs| and back to the twentieth century with Thomas Mann's The Blood of the Walsungs.   
KOREAN POPULAR CULTURE: Contemporary Korean Popular Culture: The Korean Wave (Hallyu),EALC-198,/coursehistories/3039,Individuals in medieval times lived basically the same way we do today: they ate| drank| needed shelter| worked in a variety of ways to earn a living| and planned their lives around religious holidays. They talked about the weather and had sex| they had to deal with cold| hunger| illness| epidemics and natural catastrophes. Those fortunate few who could afford the luxury| went to local monastic schools and learned how to read and write. And fewer still managed to obtain some form of higher education in cathedral schools and nascent universities and became teachers themselves. Those eager to learn about other people and foreign customs traveled to distant places and brought back with them much knowledge and new ideas. The similarities| we will all agree| are striking. But what is of interest to us are the differences| the "alterity" (keyword) of the ways in which they carried out these actions and fulfilled their goals. This course concentrates on two very broad aspects of daily life in the Middle Ages (12 th - 16 th centuries). The first part| Erudition| focuses on the world in and around the University. The second part| Superstition| revolves around astrology| medicine and pharmacy.   
HISTORY OF CHINESE LANG: History of Chinese Language II,EALC-220,/coursehistories/3040,Designed for the beginning student with no previous knowledge of German. German 101| as the first course in the first-year series| focuses on the development of language competence in listening| speaking| reading| and writing. By the end of the semester| students will be able to engage in simple conversations about familiar things| know greetings and everyday expressions| they will be ble to count and tell time| and negate sentences in day-to-day contexts. Furthermore| students will be able to speak about events that happened in the immediate past and express plans for the future. In addition| students will have developed reading strategies that allow them to glean information from simple newspaper and magazine articles and short literary texts. Because cultural knowledge is one of the foci of German 101| students will learn much about practical life in Germany and will explore German-speaking cultures on the Internet.   
1ST YR CLASSICAL CHIN II,EALC-222,/coursehistories/3041,This course is a continuation of GRMN 101 and is designed to strengthen and expand students' listening| speaking| reading| and writing competence and to deepen an understanding of German-speaking cultures. By the end of the course| students will be able to handle a variety of day-to-day needs in a German-speaking setting and engage in simple conversations about personally significant topics. Students can expect to be able to order food and beverages| purchase things| and to be familiar with the German university system| the Artsmedia| and current social topics. Students will begin to be able to talk aboutthe past and the future| make comparisons| describe people and things in increasing detail| make travel plans that include other European countries| and make reservations in hotels and youth hostels. By the end of the course students will be able to talk about their studies and about their dreams for the future. In In addition| students will develop reading strategies that should allow them tounderstand the general meaning of articles| and short literary texts.   Furthermore| students will feel more able to understand information when hearing German speakers talking about familiar topics. Cultural knowledge remains among one of the foci of German 102| and students will continue to be exposed to authentic materials.   
War and Literature in Japan: Tales of the Heike,EALC-254,/coursehistories/3042,This course is designed to improve students writing and speaking competence| to increase vocabulary| to deepen grammar usage| and to help develop effective reading and listening strategies in German across literary genres and media as students interpret and analyze cultural| political| and historical moments in German-speaking countries and compare them with their own cultural practices. This course is organized around content-based modules and prepares students well for GRMN 104 and a minor or major in German.   
