NAME,ALIAS,PATH,DESCRIPTION
ENGR ENTREPRENEURSHIP I,EAS-345,/coursehistories/326,Engineers and scientists create and lead great companies| hiring managers when and where needed to help execute their vision. Designed expressly for students having a keen interest in technological innovation| this course investigates the roles of inventors and founders in successful technology ventures. Through case studies and guest speakers| we introduce the knowledge and skills needed to recognize and seize a high-tech entrepreneurial opportunity - be it a product or service - and then successfully launch a startup or spin-off company. The course studies key areas of intellectual property| its protection and strategic value; opportunity analysis and concept testing; shaping technology driven inventions into customer-driven products; constructing defensible competitive strategies; acquiring resources in the form of capital| people and strategic partners; and the founder's leadership role in an emerging high-tech company. Throughout the course emphasis is placed on decisions faced by founders| and on the sequential risks and determinants of success in the early growth phase of a technology venture. The course is designed for| but not restricted to| students of engineering and applied science and assumes no prior business education.   
ENG ENTREPRENEURSHIP II,EAS-346,/coursehistories/327,This course is the sequel to EAS 345 and focuses on the planning process for a new technology venture. Like its prerequisite| the course is designed expressly for students of engineering and applied science having a keen interest in technological innovation. Whereas EAS 345 investigates the sequential stages of engineering entrepreneurship from the initial idea through the early growth phase of a startup company| EAS 346 provides hands-on experience in developing a business plan for such a venture. Working in teams| students prepare and present a comprehensive business plan for a high-tech opportunity. The course expands on topics from EAS 345 with more in-depth attention to: industry and marketplace analysis; competitive strategies related to high-tech product/service positioning| marketing| development and operations; and preparation of sound financial plans. Effective written and verbal presentation skills are emphasized throughout the course. Ultimately| each team presents its plan to a distinguished panel of recognized enterepreneurs| investors and advisors from the high-tech industry.   
HIGH TECH VENTURES,EAS-547,/coursehistories/328,
ENGINEERING ETHICS SEM,EAS-001,/coursehistories/1785,
INTRO TO ENGINEERING,EAS-101,/coursehistories/1786,A survey of the history of American education from the Colonial Period to the present. Special emphasis on the relations between education and major themes in social history.   
NCBV SEMINAR,EAS-011,/coursehistories/2260,Spanish for Business I provides advanced-level language students with technical vocabulary and communicative skills covering business concepts as they apply to the corporate dynamics of the Spanish-speaking world| with a special emphasis on Latin America. Through readings| presentations| discussions| and video materials| we shall analyze those cultural aspects that characterize the business environment in the region as well as focus on economies and markets in light of their history| politics| resources and pressing international concerns.   
WRITING ABOUT SCI & ENG,EAS-009,/coursehistories/2505,An introduction to the grammar of biblical Hebrew with an emphasis on developing language skills in handling Biblical texts.   
SURVEY/MULTI MEDIA TOOLS,EAS-296,/coursehistories/2506,An introduction to the skills of reading| writing| and conversing in modern Hebrew. This course assumes no previous knowledge of Hebrew.   
IDEAS TO ASSETS,EAS-349,/coursehistories/2507,A continuation of AMES 051| First Year Modern Hebrew| which assumes basic skills of reading and speaking and the use of the present tense. Open to all students who have completed one semester of Hebrew at Penn with a grade of B- or above and new students with equivalent competency.   
EFFECTIVE COMMUNICATION,EAS-200,/coursehistories/2777,Movies as a form of audio-visual communication: their formal language| their relationship to other means of communication (music| stories| theater| pictures)| their place in the media industry| their role in culture.   
