NAME,ALIAS,PATH,DESCRIPTION
LECTURE,ECON-001,/coursehistories/329,Introduction to economic analysis and its application. Theory of supply and demand| costs and revenues of the firm under perfect competition| monopoly and oligopoly| pricing of factors of production| income distribution| and theory of international trade. Econ 1 deals primarily with microeconomics.   
LECTURE,ECON-002,/coursehistories/330,Introduction to economic analysis and its application. An examination of a market economy to provide an understanding of how the size and composition of national output are determined. Elements of monetary and fiscal policy| international trade| economic development| and comparative economic systems.   
MICROECON THEORY,ECON-003,/coursehistories/331,Theories of consumer behavior| demand| production| costs| the firm in various market contexts| factor employment| factor incomes| elementary general equilibrium| and welfare. Insofar as possible| theoretical economic concepts are given operational content| but the main emphasis is on the tools of economic thinking. It will be presumed that the student is familiar with the basic aspects of such mathematical concepts as sets| functions| and derivatives.   
MACROECON THEORY,ECON-004,/coursehistories/332,Theories of aggregate demand and supply| including the determination of national income and product| employment and prices| and the fundamentals of monetary theory and policy. Insofar as possible| theoretical economic concepts are given operational content| but the main emphasis is on the tools of economic thinking. It will be presumed that the student is familiar with the basic aspects of such mathematical concepts as sets| functions| and derivatives.   
STAT FOR ECONSTS,ECON-005,/coursehistories/333,The course begins with a survey of basic descriptive statistics and data sources and then covers elementary probability theory| sampling| estimation| hypothesis testing| correlation| and regression. The course focuses not on mathematical proofs of theorems| but rather on practical issues involved in the substantive interpretation of economic data using the techniques of statistical inference. For this reason| empirical case studies that apply the techniques to real-life data are stressed and discussed throughout the course| and students are required to perform several statistical analyses of their own. May not be taken for credit by students who have taken either one or two semesters of Statistics or by any student who has already completed statistics at least at the level of Stat 101 (including the sequence Stat 111/112). (Students with a one semester AP Statistics credit for Stat 101 or higher can drop the credit to take Econ 5 via a release form available from the department). Students who have one semester of statistics take the second course in statistics or Econ 6 (or Econ 5| if Stat 111 was taken) to satisfy the statistics requirement of the major.   
ECONOMETRICS,ECON-006,/coursehistories/334,This course is designed to introduce students to econometric techniques and their applications in economic analysis and decision making. The main objective of the course is to train the student in (i) handling economic data; (ii) quantitative analyses of economic models with probabilistic tools; (iii) econometric techniques| their application as well as their statistical and practical interpretation; (iv) implementing these techniques on a computer.   The course focuses on practical and conceptual issues involved in the substantive applications of econometric techniques. Estimation and inference procedures are formally analyzed for simple econometric models and illustrated by empirical case studies using real-life data. The course covers linear regression models| simultaneous-equations models| discrete choice models and univariate time series models. Estimation and Inference is conducted using least squares and likelihood based techniques. Students are required to perform several econometric analyses of their own.   
ECONS OF INDIA & CHINA,ECON-023,/coursehistories/335,This course examines the pre-reform economies of China| India| and to a lesser extent Bangladesh| Pakistan and Taiwan| from 1947 until various efforts of economic restructuring were undertaken. The pre-reform period takes about 1/3 of the course| the demographic-education-health and agricultural structures another 1/3 of the course| and the financial| industrial and international reforms take up the remainder of the course.   
INDUST ORGANIZATION,ECON-035,/coursehistories/336,Theories of various industrial organizational structures and problems are developed| including monopoly| oligopoly| moral hazard and adverse selection. These theories are then applied to the study of various industries| antitrust cases| and regulatory issues.   
LAW & ECONOMICS,ECON-036,/coursehistories/337,The relationship of economic principles to law and the use of economic analysis to study legal problems. Topics will include: property rights and intellectual property; analysis of antitrust and economic analysis of legal decision making.   
MEDICAL ECONOMICS,ECON-039,/coursehistories/338,Systematic and critical review of the present economic literature on the health care "industry". Topics include the demography and determinants of illness| the demand for curative and preventive care and determinants of recent health cost inflation| the efficacy of markets| and the role of government.   
