NAME,ALIAS,PATH,DESCRIPTION
ELEC CIR & SYS II LAB,EE-206,/coursehistories/351,This course is the companion lab for ESE 216. It covers experiments involving transformers| diodes| and transistors. DC and small signal model amplifiers| rectification| and non-linear op amp circuits.   
ELEC CIRC AND SYS II,EE-216,/coursehistories/352,Transformers| Power calculations and filters. Microelectronics circuits with diodes| bipolar junction transistor and field-effect transistors. One stage amplifiers: DC and small signal analysis. Use of software packages such as SPICE. The associated lab| ESE 206| is required for EE majors.   
PHYS/MODELS SEMICON DEVI,EE-218,/coursehistories/353,Physical electronics of semiconductor devices. Energy bands in solids. Statistics governing the charge carriers in semiconductors. Equilibrium and nonequilibrium transport phenomena in semiconductors. Operation and equivalent circuits for the pn junction| bipolar and field effect transistors| and other semiconductor devices.   
INTR TO DATA STRUC & ALG,EE-220,/coursehistories/354,Problem solving. Constructs for representing and manipulating information. Recurrence relations. Asymptotic notation for analysis of algorithms. Advanced data structures such as balanced trees. Graph algorithms: searching| spanning| shortest paths| network flows. Algorithm design paradigms: greedy| divide-and-conquer| backtracking| dynamic programming| randomization. Computational complexity: Turing machines| time and space complexity classes| NP-completeness. (Note: this course was originally titled CSE 220.)   
INTRO TO DIG SIG PROC,EE-224,/coursehistories/355,Sinusoids| periodic signals| and Fourier spectra. Sampling of continuous-time signals| aliasing. Impulse response of linear discrete-time systems| convolution| FIR filters| poles and zeros| frequence response. Realization of FIR filters. Discrete Fourier transform and the FFT algorithm. Matlab exercises will be assigned.   
ANALOG & DIG COMMUNICA,EE-325,/coursehistories/356,The course deals with the topics of Fourier series| Fourier transforms| Laplace transform| time and frequency response| ideal low-pass filters| band-pass channels| analog communications| amplitude modulation| angle modulation| frequency-division multiplexing| digital communications| pulse-code modulation| time-division multiplexing| random processes| stationarity| autocorrelation functions| spectral density| Gaussian processes| noise in analog and digital modulation schemes.   
MICROCONTROLLER LAB,EE-400,/coursehistories/357,An introduction to microcontroller interfacing and real-time operating systems.building on the material covered in EE 300. Topics to be covered include writing interrupt service routines| serial interfacing| and analog device interfacing. The course will conclude with a discussion of real-time operating system concepts and a real-time operating system laboratory project. Two 50 minute lectures and one three hour lab weekly.   
SR DESIGN PROJECTS,EE-442,/coursehistories/358,Second of a two term sequence in electrical engineering senior design. Work directed to successful implementation of the proposal. A final presentation and report will be made of the project. Periodic project reviews during the semester.   
PRINC OF MICROFAB TECH,EE-460,/coursehistories/359,A laboratory-based course on fabricating microelectronic and micromechanical devices using photolithographic processing and related fabrication technologies. Lectures discuss: clean room procedures; microelectronic and microstructural materials; photolithograpy; diffusion| oxidation; materials deposition; etching and plasma processes. Basic laboratory processes are covered for the first two thirds of the course with students completing structures appropriate to their major in the final third. Students registering for ESE 574 will be expected to do extra work (including term paper and additional project).   
OPTICS & IMAGE UNDERSTAN,EE-511,/coursehistories/360,The goal of this course is to provide a unified approach to modern optics| image formation| analysis| and understanding that form the theoretical basis for advanced imaging systems in use today in science| medicine and technology. The emphasis is on imaging systems that employ electromagnetic energy but the principles covered can be extending to systems employing other forms of radiant energy such as acoustical.   
NEURAL NTWKS & APPL,EE-539,/coursehistories/361,Physiology and anatomy ofliving neurons and neural networks; Brain organization; Elements of nonlinear dynamics| the drien pendulum as paradigm for complexity| synchronicity| bifurcation| self-organization and chaos; Iterative maps on the interval| period-doubling route to chaso| universality and the Feigenbaum constant| Lyapunov exponents| entropy and information; Geometric characterization of attractors; Fractals and the Mandelbrot set; Neuron dynamics: from Hudgkin-Huxley to integrate and fire| bifurcation neuron; Artificial neural networks and connectionist models| Hopfield (attractor-type)networks|energy functions| convergence theorems| storage capacity| associative memory| pattern classification| pattern completion and error correction| the Morita network; Stochastic networks| simulated annealing and the Boltzmann machine| solutionof optimizaiton problems| hardware implementations of neural networks; the problem of learning| algorithmic approaches: Perception learning| back-propagation| Kohonnen's self-organizing maps and other networks; Coupled-map lattices; Selected applications including financial markets.   
DIG INTEGRATED CIR &VLSI,EE-560,/coursehistories/362,Explores the design aspects involved in the realization of an integrated circuit from device up to the register/subsystem level. It addresses major design methodologies with emphasis placed on the structured design. The course includes the study of MOS device characteristics| the critical interconnect and gate characteristics which determine the performance of VLSI circuits| and NMOS and CMOS logic design. Students will use state-of-the-art CAD tools to verify designs and develop efficient circuit layouts.   
TRANS SYS FOR TELECOM,EE-576,/coursehistories/363,Sampling| source coding| and capacity. Quantization and coding of speech and video. Baseband data transmission: line coding| intersymbol interference| equalizaiton| digital modulation schemes| spectral efficiency. Error control coding; block and convolutional codes| Viterbi Algorithm.   
INTRO TO COMP PROG,EE-115,/coursehistories/1553,An introduction to literary study through a genre| either the short story or poetry. Versions of this course will vary widely in the selection of texts assigned. Some versions will begin with traditional stories or poems| including a sampling of works in translation. Others will focus exclusively on modern and contemporary American short fiction or poetry. This course is designed for the General Requirement| and is ideal for the students wishing to take an English course but not necessarily intending to major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WAVES/FIB/ANT FOR TCOM,TCOM-503,/coursehistories/1595,This course offers topics in poetry across historic periods.   See the English Department's website at www.english.upenn.edu for a complete description of the current offerings.   
INTRO TO ELEC ENG,EE-111,/coursehistories/1789,This course introduces students to the basic tenets of epidemiology and how to quantitatively study health at the population level. Students learn about measures used to describe populations with respect to health outcomes and the inherent limitations in these measures and their underlying sources of data. Analytic methods used to test scientific questions about health outcomes in populations then are covered| again paying particular attention to the strength and weaknesses of the various approaches.   
PRIN OF DIGITAL DESIGN,EE-200,/coursehistories/1790,What is disease? In this seminar students will ask and answer this question by analyzing historical documents| scientific reports| and historical scholarship (primarily 19th and 20th century U.S. and European). We will look at disease from multiple perspectives -- as a biological process| clinical entity| population phenomenon| historical actor and personal experience. We will pay special attention to how diseases have been recognized| diagnosed| named and classified in different eras| cultures and professional settings.   
PRIN OF DIG DESIGN LAB,EE-201,/coursehistories/1791,Examines the emergence and development of the scientific world view| from the Renaissance to the end of the 20th century. Explores the history of scientific ideas| the social contexts which gave rise to them| and their social and human implications. Sample topics include: Copernican revolution; Galileo| science and the Church; Newton and the mechanical worldview; Enlightenment and Romantic science; Lavoisier| industrialization and the rise of modern chemistry; Darwin; Darwinism and evolution; atomic physics| the bomb and its aftermath; the emergence of modern genetics; the DNA revolution; computers on the information age; and science and the human future.   
ELEC CIR & SYS I LAB,EE-205,/coursehistories/1792,From the colonial period to the present| Americans have relied on technology to shape their lives| landscapes and society. This unique| abiding and often tumultuous relationship is one of the defining elements of the American experience. From factory floor to suburban kitchens| from eccentric inventors to student demonstrators| from Model T to iMacs| the diversity of american technological developments reflects -- and has helped define -- the most crucial developments in American history. This course will provide an historical understanding of the role that technology has played in American society from the late 19th century to the present day. The underlying assumptions is that technology is simultaneously a reflection and cultural values| and a factor (one of many) in shaping the continuous development of those values.   
ELEC CIRC AND SYS I,EE-215,/coursehistories/1793,This course will show how new urban technologies| such as transport| sanitary systems| electrical grids| and highways facilitated the growth of the decentralized city| and how they shape the values and attitudes of urban dwellers.   
INTRO TO MICROCOMPUTERS,EE-300,/coursehistories/1794,Dramatic| deadly| and terrifying in their brutal immediacy| outbreaks of epidemic disease have devastated and transformed human societies since the beginnings of recorded history. From the Black Death to cholera to AIDS| epidemics have wrought profound demographic| social| political and cultural change all over the world. Such is the power of their mystery and horror that while thousands die everyday in the United States from mundane illnesses such as heart disese or lung cancer| panic grips the land at the thought of a handful of deaths from seemingly exotic affictions such as West Nile encephalitis and "weaponized" anthrax. Through a detailed analysis of specific historical outbreaks| this seminar will investigate the causes and effects of epidemic disease| and will examine the ways in which different societies in different eras have responded in times of crisis.   
