NAME,ALIAS,PATH,DESCRIPTION
WRITING ABOUT LITERATURE,ENGL-001,/coursehistories/367,Usually housed in the Program for Comparative Literature| this seminar engages questions of literary genre| including its function as a mediating presence for thinking about audience| literary history| and the marketplace. The theme of the seminar will chnage with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
WRITING ABOUT NONFICTION,ENGL-002,/coursehistories/368,Usually housed in the program for Comparative Literature| this seminar engages questions of method and interdisciplinarity. It will therefore cover not only a range of approaches to literary texts| but also explore how the methodologies of other disciplines migth be brought efficaciously to bear on the objects of literary study. The theme of the seminar will change with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
WRITING ABOUT LIT & SOC,ENGL-003,/coursehistories/369,
WRITING ABOUT POETRY,ENGL-004,/coursehistories/370,
WRITING ABOUT THE NOVEL,ENGL-005,/coursehistories/371,
WRITING ABOUT FICTION,ENGL-006,/coursehistories/372,
WRITING ABOUT THE EPIC,ENGL-007,/coursehistories/373,
WRITING ABOUT NARRATIVE,ENGL-009,/coursehistories/374,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
CREATIVE WRITING,ENGL-010,/coursehistories/375,A course designed to allow the students to discover their own talents in at least two forms from a list that includes fiction| poetry| journalistic writing| creative nonfiction writing| and memoir. Though emphasis is on practice| classroom work includes discussion of theory as well as readings in published works. Frequent writing assignments. Reading lists vary with each section. See the English Department's website at www.english.upenn.edu for a description of the current offerings.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WRITING:INTRNATIONAL STD,ENGL-011,/coursehistories/376,Practice in reading| speaking| and writing for students whose first language is not English. Texts will be primarily essays| but may also include other literary forms. Frequent writing assignments. Reading lists vary with each section.   This course fulfills the writing requirement for all undergraduates| but students who need additional practice are encouraged to take a second writing seminar.   
WRITING ABOUT FILM,ENGL-012,/coursehistories/377,
TOPICS IN LITERATURE: The Ancients and Shakespeare on Justice and Happiness,ENGL-016,/coursehistories/378,Freshman Seminars under the title "Topics in Literature" will afford entering students who are considering literary study as their major the opportunity to explore a particular and limited subject with a professor whose current work lies in that area. Topics may range from the lyric poems of Shakespeare's period to the ethnic fiction of contemporary America. Small class-size will insure all students the opportunity to participate in lively discussions. Students may expect frequent and extensive writing assignments| but these seminars are not writing courses; rather| they are intensive introductions to the serious study of literature. One of them may be counted toward the English major and may be applied to a period| genre| or thematic requirement within the major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MJR BRIT WRIT 1350-1660,ENGL-020,/coursehistories/379,This course will introduce students to key works of English literature written before 1660. It will explore the major literary genres of this period| as well as the social and cultural contexts in which they were produced. The course will examine how literature texts articulate changes in language and form| as well as in concepts of family| nation| and community during the medieval and early modern periods.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MJR BRIT POETS 1660-PRES: Poets and Readers 1660-present,ENGL-040,/coursehistories/380,This course provides students with a survey of British poetry and poetics from the Restoration to the Modern period| and usually will include writers ranging from Aphra Behn and Alexander Pople to Thomas Hardy. The course may be offered in various froms| some covering less| and some more historical ground. Most will provide a sampling of eighteenth-century| Romantic| and Victorial poets.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
18TH CENTURY NOVEL: Locating the Eighteenth Century English Novel,ENGL-045,/coursehistories/381,This survey of the novel addresses key questions about the novel's "rise" in the eighteenth century on both sides of the Atlantic| as well as attending to the cultural conditions that attended this new literary from. How did the concurrent "rise" of the middle classes and the emergence of an increasingly female reading public affect the form and preoccupations of early novels? What role did the institutions like literary reviews| libraries| and the church play in the novel's early reception? While reading will vary from course to course| students should expect to read such authors as Austen| Behn| Brockden Brown| Burney| Defoe| Fielding| Richardson| Rowlandson| Rowson| Scott| and Smollett.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
19TH CENTURY BRIT NOVEL: 19th Century British Novel:  The Gothic,ENGL-055,/coursehistories/382,During the nineteenth century the novel became the dominant literary form of its day| supplanting poetry and drama on both sides of the Atlantic. In this introduction to the novelists of the period| we will read the writers who secured the novel's cultural respectability and economic prominence. Likely authors will include Austen| the Brontes| Collins| Dickens| Eliot| Hardy| Hawthorne| Melville| Poe| Thackeray| Scott| and Stowe. The course will explore the themes| techniques| and styles of the nineteeth-century novel. It will focus not only on the large structural and thematic patterns and problems within each novel but also on the act of reading as a historically specific cultural ritual in itself.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MJR BRIT NOVEL 1660-1914,ENGL-060,/coursehistories/383,This course explores the history of the British novel and the diverse strategie of style| structure| characterization| and narrative techniques it has deployed since the late seventeenth century. While works from the eighteenth and nineteenth centuries will form the core of the reading| some versions of this course will include twentieth-century works. All will provide students with the opportunity to test the advantages and limitations of a variety of critical approaches to the novel as a genre. Readings may include works by Behn| Swift| Defoe| Richardson| Fielding| Lennox| Smollett| Burney| Scott| Austen| the Brontes| Dickens| Eliot| Hardy| Conrad| Joyce| Lawrence| Woolf| Rhys| Greene| Naipaul| Carter| Rushdie| and Coetzee.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
20TH C BRITISH LIT,ENGL-061,/coursehistories/384,This course introduces major works in twentieth-century British literature. We will read across a range of fiction| poetry| plays| and essays| and will consider aesthetic movements such as modernism as well as historical contexts including the two World Wars| the decline of empire| and racial and sexual conflict. Authors treated might include: Conrad| Yeats| Joyce| Eliot| Lawrence| Forster| Shaw| Woolf| Auden| Orwell| Beckett| Achebe| Rhys| Synge| Naipaul| Rushdie| Heaney| and Walcott.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
IRISH LITERATURE,ENGL-063,/coursehistories/385,This course surveys American literature across the twentieth-century| considering its formal innovations in the wake of modernism| the two World Wars| the Cold War and postmodernity. Authors treated might include: James| Wharton| Eliot| Pound| Faulkner| Hemingway| Rhys| Baldwin| Ginsberg| Plath| Pynchon| Walcott| and Morrison.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TPCS IN THEATRE HISTORY,ENGL-078,/coursehistories/386,As a complex cultural product| television lends itself to a variety of critical approaches that build-on| parallel| or depart from film studies. This introductory course in television studies begins with an overview of the medium's history and explores how technical and industrial changes correspond to developing conventions of genre| programming| and aesthetics. Along the way| we analyze key concepts and theoretical debates that shaped the field. In particular| we will focus on approaches to textual analysis in combination with industry research| and critical engagements with the political| social and cultural dimensions of television as popular culture.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTRO TO AMERICAN LIT,ENGL-080,/coursehistories/387,That modernism is steeped as much in the rituals of race as of innovation is most evident in the emergence of the music we have come to know as jazz| which results from collaborations and confrontations taking place both across and within the color line. In this course we will look at jazz and the literary representations it engendered in order to understand modern American culture. We will explore a dizzying variety of forms| including autobiography and album liner notes| biography| poetry| fiction| and cinema. We'll examine how race| gender| and class influenced the development of jazz music| and then will use jazz music to develop critical approaches to literary form. Students are not required to have a critical understanding of music. Class will involve visits from musicians and critics| as well as field trips to some of Philadelphias most vibrant jazz venues.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
AFRICAN-AMERICAN LIT,ENGL-081,/coursehistories/388,An introduction to African-American literature| typically ranging across a wide specturm of moments| methodologies| and ideological postures| from Reconstruction and the Harlem Reanaissance to the Civil Rights Movement. Most versions of this course will begin in the 19th century; some versions of the course will concentrate only on the modern period.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MODERN AMER LIT 1900-45,ENGL-084,/coursehistories/389,The idea of 'race' broadly defined as the signification of biological and sociocultural differences as an index of human superiority or inferiority has played a crucial role in the literary imagination and is fundamental to studying most literatures in English   This course will examine representations of race in literary practices and in particular the centrality of such representations to the historical unfolding of communities and nations.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MODRN AMER LIT POST-1945,ENGL-085,/coursehistories/390,This course offers a comprehensive study of significant changes and continuities in the history of medicine from 1650-1850| alongside works of literature that exemplify the shifting notions of the doctor and sickness in the Western medical tradition.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WOMEN & LIT,ENGL-090,/coursehistories/391,This course will focus on questions of gender difference and of sexual desire in a range of literary works| paying special attention to works by women and treatments of same-sex desire. More fundamentally| the course will introduce students to questions about the relation between identity and representation. We will attend in particular to intersections between gender| sexuality| race| class| and nation| and will choose from a rich vein of authors: Mary Wollstonecraft| Jane Austen| Mary Shelley| Lord Byron| the Brontes| Christina Rossetti| George Eliot| Oscar Wilde| Henry James| Gertrude Stein| Zora Neale Hurston| E. M. Forster| Virginia Woolf| Nella Larsen| Radclyffe Hall| Willa Cather| Elizabeth Bishop| Jean Rhys| James Baldwin| Sylvia Plath| Bessie Head| Audre Lorde| Adrienne Rich| Cherr?e Moraga| Toni Morrison| Michael Cunningham| Dorothy Allison| Jeanette Winterson| and Leslie Feinberg.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
READING FILM: Film and Literature: Reading Film,ENGL-092,/coursehistories/392,This course is an introduction to the analysis of film as both a textual practice and a cultural practice. We will examine a variety of films--from Fritz Lang's M (1931) to Julia Dash's DAUGHTERS OF THE DUST (1991)--in order to demonstrate the tools and skills of "close reading." We will concentrate on those specifically filmic features of the movies| such as mise-en-scene| cinematography| editing and sound strategies| as well as those larger organizational forms| such as narrative and non-narrative structures and movie genres. Because our responses to the movies always extend beyond the film frame| we will additionally look closely at the complex business of film distribution| promotion| and exhibition to show how the less visible machinery of the movie business also shapes our understanding and enjoyment of particular films. Along the way| we will discuss some of the most influential and productive critical schools of thought informing film analysis today| including realism| auteurism| feminism| postmodernism| and others. Screenings are mandatory.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
