NAME,ALIAS,PATH,DESCRIPTION
THE NEXT MILLENIUM: Next Millenium: Would Technology Help Us Resolve The Environmental Dilemma?,ENVS-098,/coursehistories/437,Over the last century we have witnessed the dominance of man over nature. Technology| our understanding of our environment and our consumption habits have been the principal weapons used in this conquest. Now| at the beginning of a new millenium| questions and concerns about our actions and perceptions are being raised. Can today's technology and new knowledge about our environment and human nature assure our survival? How can we use the next hundred years to reconstruct and restore our future? These are the fundamental questions that the class will investigate.This course will rely on evidence|the use of hypotheses| theories| and logic as well as students' scientific inquiry and creativity. We will discuss systems| models| simulations| constancy| patterns of change| evolution| and scale.   
INTRO ENV ANALYSIS,ENVS-200,/coursehistories/438,This course will expose students to the principles that underlie our understanding of how the Earth works. The goal of Earth Systems Science is to obtain a scientific understanding of the entire Earth system by describing its component parts (lithosphere| hydrosphere| atmosphere| biosphere) and their interactions| and describe how they have evolved| how they function| and how they may be expected to respond to human activity. The challenge to Earth Systems Science is to develop the capability to predict those changes that will occur in the next decade to century| both naturally and in response to human activity. Energy| both natural and human-generated| will be used as a unifying principle. Knowledge gained through this course will help students make informed decisions in all spheres of human activity: science| policy| economics| etc.   
ENVIR CASE STDS,ENVS-301,/coursehistories/439,A detailed| comprehensive investigation of selected environmental problems. Guest speakers from the government and industry will give their acccounts of various environmental cases. Students will then present information on a case study of their choosing.   
PREVENTION OF TOBACCO: Prevention of Tobacco Addiction in Pre-Adolescent Children of Philadelphia,ENVS-407,/coursehistories/440,Cigarette smoking is a major public health problem. The Centers for Disease Control and Prevention Control reports that more than 80% of current adult tobacco users started smoking before age 18. The National Youth Tobacco Survey indicated that 12.8% of middle school students and 34.8% of high school students in their study used some form of tobacco products.   In ENVS 407| Penn undergraduates learn about the short and long term physiological consequences of smoking| social influences and peer norms regarding tobacco use| the effectiveness of cessation programs| tobacco advocacy and the impact of the tobacco settlement. Penn students will collaborate with teachers in West Philadelphia to prepare and deliver lessons to middle school students. The undergraduates will survey and evaluate middle school and Penn student smoking. One of the course goals is to raise awareness of the middle school children to prevent addiction to tobacco smoke during adolescence. Collaboration with the middle schools gives Penn students the opportunity to apply their study of the prevention of tobacco smoking to real world situations.   
URBAN ASTHMA EPIDEMIC,ENVS-408,/coursehistories/441,Asthma as a pediatric chronic disease is undergoing a dramatic and unexplained increase. It has become the number one cause of public school absenteeism and now accounts for a significant number of childhood deaths each year in the USA.The Surgeon General of the United States has characterized childhood asthma as an epidemic. In ENVS 408| Penn undergraduates learn about the epidemiology of urban asthma| the debate about the probable causes of the current asthma crisis| and the nature and distribution of environmental factors that modern medicine describes as potential triggers of asthma episodes.   Penn students will collaborate with the Childrens Hospital of Philadelphia (CHOP) on a clinical research study entitled the Community Asthma Prevention Program. The Penn undergraduates will co-teach with CHOP parent educators asthma classes offered at community centers in Southwest| West| and North Philadelphia. The CHOP study gives the Penn students the opportunity to apply their study of the urban asthma epidemic to real world situations.   
GEO INFO SYST/ENV PLN'G,ENVS-541,/coursehistories/442,This course offers a broad and practical introduction to the acquisition| storage| retrieval| maintenance| use| and presentation of digital cartographic data with both image and drawing based geographic information systems (GIS) for a variety of environmental science| planning| and management applications. Its major objectives are to provide the training necessary to make productive use of at least two well known software packages| and to establish the conceptual foundation on which to build further skills and knowledge in late practice.   
URBAN ENVIRONMENT II,ENVS-405,/coursehistories/1293,The aim of this course is to provide an overview of the varieties of human experience in the world culture areas identified by anthropologists. The course will concentrate on regional cultural themes and social organizational processes in each of these areas. Students will read a sample of the classic ethnographies and articles that cover central anthropological topics.   
TECH IN ENV ACCOUNTING: Techniques in environmental accounting and system analysis,ENVS-450,/coursehistories/1294,The Inca created a vast and powerful South American empire in the high Andes Mountains that was finally conquered by Spain. Using Penn's impressive museum collections and other archaeological| linguistic| and historical sources| this course will examine Inca religion and worldview| architecture| sacred temples| the capital of Cuzco| ritual calendar| ceque system| textiles| metalworking| economic policies and expansionist politics from the dual perspectives of Inca rulers and their subjects. Our task is to explain the rise| dominance| and fall of the Incas as a major South American civilization.   
ENVIRONMENTAL CHEMISTRY,ENVS-502,/coursehistories/1295,In this course| we will examine the interaction between hormones| behavior and the ecological context in which individuals develop. The course is divided in two parts: the first half will be devoted to an overview of the fields of behavioral endocrinology and reproductive ecology. We will discuss hormone-behavior interactions mainly in humans and non-human primates. The second half will be a laboratory-based hands-on experience during which students will design and conduct a pilot study on the hormonal correlates of behavior on campus. Students will learn the basics of hormonal assays at the Reproductive Ecology Laboratory and will be able to work on their own pilot studies.   
ENV IMPACT:URBAN HOUSING,ENVS-409,/coursehistories/1556,The writing of individually selected projects (a novel| a group of short stories) with reading assignments and discussion of student works-in-progress.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
FRESHMAN SEMINAR: CRYSTALS,ENVS-097,/coursehistories/1829,Continuation of LATN 201.   
URBAN ENVIRON: WEST PHIL,ENVS-404,/coursehistories/1830,Prerequisite(s): LATN 203 or equivalent (such as placement score of 600). Continuous reading of several Latin authors in poetry (e.g.| Ovid| Virgil| Horace) as well as some more complex prose| in combination with ongoing review of Latin grammar. By the end of the course students will have thorough familiarity with the grammar| vocabulary| and style and style of the selected authors| will be able to tackle previously unseen unseen passages by them| and will be able to discuss language and and interpretation. Note: Completion of Latin 204 with C- or higher fulfills Penn's Foreign Language Requirement.   
