NAME,ALIAS,PATH,DESCRIPTION
INTRO ELEC/COMP/SYS ENG,ESE-111,/coursehistories/2543,An introduction to the reading of classical Rabbinic literature. Focus will be on the Mishnah and Babylonian Talmud with parallel readings from Tosefta| Midreshei Halkhah| and the Palestinian Talmud. While traditional Rabbinic commentators will be utilized| the class will be introduced to modern methodologies of Talmudic textual research. Spring 2005: We will attempt to acquire a method or methods of reading rabbinic stories in depth. To understand what rabbinic stories are| we will compare these stories to other story collections in the Ancient Near East-biblical stories| stories composed by Jews in the second temple period| and stories written in contemporaneous Christian and Greco-Roman societies. In addition to this comparative analysis| we will categorize rabbinic stories into different types of narratives| and make observations about the choice of characters in this literature-what the function of wonder workers| Gentiles| women| et al is in rabbinic narrative. Perhaps most importantly in examining the work of scholars who have written on rabbinic stories| we will highlight specific theories of literature that separate and distinguish different methods of reading rabbinic stories from one another.   
INTRO TO PROGRAMMING,ESE-115,/coursehistories/2544,
PRIN OF DIGITAL DESIGN,ESE-200,/coursehistories/2545,
INTRO TO DYNAMIC SYSTEMS,ESE-210,/coursehistories/2546,This is an intermediate language class presuming basic fluency in speaking and listening and focusing on reading and writing abilities. By the end of the year| students are expected to have mastered the 1200 most commonly used characters and to have the ability to read basic Chinese texts. Students will be prepared for Advanced Modern Chinese or the commercial track.   
ELEC CIRCUITS & SYS I,ESE-215,/coursehistories/2547,This is an intermediate language course offered in two semesters. It aims to evelop students' overall linguistic skills in listening| speaking| reading| and writing Chinese. The speciall designed textbook gives introduction to various topics on Chinese culture. Students can expect to gain knowledge about China while they are learning the language. By completion of the course| students are expected to be able to master 1200 most frequently used characters in common reading materials| and to communicate with Chinese on basic social topics.   
ENGINEERING PROBABILITY,ESE-301,/coursehistories/2548,
ENGR APPLIC OF STATISTIC,ESE-302,/coursehistories/2549,This course begins by exploring the causes and consequences of the rise of industrial Asia| paying particular attention to the role played by political institutions. It then examines the political economic challenges faced in recenyears by many countries in this region. What explanations may be given for the rapid growth experienced in the region? And| how can we reconcile the success of the past with the difficulties experienced in more recent years? The role of national financial systems in supporting or undermining growth and the politics of financial crisis management and financial system reform will be explored in depth.   
STOCH SYS ANALYSIS SIMUL,ESE-303,/coursehistories/2550,A consideration of Japanese literature from its beginnings in the eighth century to around the nineteenth century| covering the mythology| fictional literature| the "Golden Age" of Japanese literature when The Tale of Genji appears| warrior| epics| and the dramatic forms of No and Kabuki. Special emphasis is placed on Heian-period poetry| linked verse| and haiku.   
OPTIMIZATION OF SYSTEMS,ESE-304,/coursehistories/2551,
ELECRIC & MAGNETIC FLDS,ESE-310,/coursehistories/2552,Survey of Chinese buildings and building technology from the formative period in the second millennium B.C. through the twentieth century. The course will deal with well-known monuments such as the Buddhist monasteries of Wutai| imperial palaces in Chang'an and Beijing| the Ming tombs and the Temple of Heaven| and less frequently studied buildings. Also covered will be the theory and principles of Chinese construction.   
