NAME,ALIAS,PATH,DESCRIPTION
WOMEN IN FILM: WOMEN IN INTERN'L CINEMA,FILM-208,/coursehistories/443,
HOLLYWOOD "CLASSICS",CLST-204,/coursehistories/278,This course will introduce students both to several foundational texts of classical literature and to the study of popular culture. We will accomplish this through a comparison of ancient works with popular film. Students will read a number of well-known texts from antiquity| one or two 20th-century works| and view 8-12 (mostly) recent popular films that in some way "translate" classical themes| ideas| or methods of narration. We will examine the texts and films first within their cultural contexts and then against one another. This comparative approach will allow us to address a number of different themes| issues| and reading strategies. Topics and films may change slightly from year to year| but some likely themes include: Homer's Odyssey| Sophocles' Oedipus Rex| Apuleius' Golden Ass| Euripides' Hippolytus| Raymond Chandler's The Big Sleep| and a number of critical essays. Probable films include: Die Hard| Aliens| Angel Heart| and Mighty Aphrodite. Students should plan to attend weekly screenings in addition to the regularly scheduled course meetings.   
IMAGINING THE ORIENT,CLST-508,/coursehistories/283,The critical theorist Edward Said has written| "The Orient had been since antiquity a place of romance| exotic beings| haunting memories and landscapes| remarkable experiences." In this course| we will explore the west's visualization of "The Orient" by focusing upon three specific locations: the mid-east as antiquity's "original orient" and south-east Asia and India/Tibet as the contemporary west's locations for war/darkness and peace/enlightenment| respectively. We will use theoretical work| fiction| and travel writing (ancient and modern) to supplement our examination of films such as Apocalypse Now| The Cup| The Man Who Would Be King| Three Seasons| and A Year of Living Dangerously. By working between and among a variety of media| we will be able to attend not only to what "the Orient" is or means but to the process of that imagining process.   
READING FILM: Film and Literature: Reading Film,ENGL-092,/coursehistories/392,This course is an introduction to the analysis of film as both a textual practice and a cultural practice. We will examine a variety of films--from Fritz Lang's M (1931) to Julia Dash's DAUGHTERS OF THE DUST (1991)--in order to demonstrate the tools and skills of "close reading." We will concentrate on those specifically filmic features of the movies| such as mise-en-scene| cinematography| editing and sound strategies| as well as those larger organizational forms| such as narrative and non-narrative structures and movie genres. Because our responses to the movies always extend beyond the film frame| we will additionally look closely at the complex business of film distribution| promotion| and exhibition to show how the less visible machinery of the movie business also shapes our understanding and enjoyment of particular films. Along the way| we will discuss some of the most influential and productive critical schools of thought informing film analysis today| including realism| auteurism| feminism| postmodernism| and others. Screenings are mandatory.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TPS MODERN BRITISH LIT: Contemporary British Cinema,ENGL-261,/coursehistories/413,The course explores an aspect of 20th-century literature intensively; specific course topics will vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
DIRECTOR'S CINEMA,ENGL-292,/coursehistories/424,This course explores an aspect of Film Studies intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
LECTURE,GRMN-256,/coursehistories/553,For centuries the pact with the devil has signified humankind's desire to surpass the limits of human knowledge and power. From the reformation chap book to the rock lyrics of Randy Newman's Faust| from Marlowe and Goethe to key Hollywood films| the legend of the devil's pact continues to be useful for exploring our fascination with forbidden powers.   
ITALIAN HISTORY AND FILM,HIST-322,/coursehistories/600,Modern Italy has added to the traditional belle arti of painting| sculpture and architecture new fields like fashion| industrial design and film. "Made in Italy" has come to stand all over the world for quality workmanship and fine design. Yet this same country has been involved in the last hundred years in two terrible world wars| a brutal fascist dictatorship| violence both political and criminal and a flood of emigration. In this course we will review that history| its triumphs and disasters| by combining film and written texts. Both media are equally important and ought to enrich each other. The weekly film is part of that work and you will be expected to do the assigned reading as well. This course will be open to seniors and juniors| and sophomores (with special permission).   
INTRO. TO ITALIAN CINEMA,ITAL-080,/coursehistories/644,Italian national cinema from the Golden Age of silent film and classics of Neorealism to present| covering work of a dozen major directors. Films discussed in context of history from the Unification| national vs. regional identity| gender roles| contemporary politics. Readings in Italian history| Italian film history| and theory of cinema. Taught in English.   
FILMS FROM LITERATURE,ITAL-280,/coursehistories/654,Topics vary.   
RUSSIAN HISTORY IN FILM: Drama and Fiction,RUSS-225,/coursehistories/999,This course draws on the fictional| drama and cinematic representation of the Russian history based on Russian as well as non Russian sources and interpretations. The analysis targets major modes of imagining| such as narrating| showing and reenacting historical events| personae and epochs justified by different| historically mutating ideological postulates and forms of national self-consciousness. Common stereotypes of picturing Russia from "foreign" perspectives draw special attention. The discussion involves the following themes and outstanding figures: the mighty autocrats Ivan the Terrible| Peter the Great| and Catherine the Great; the tragic ruler Boris Godunov; the brazen rebel and royal impostor Pugachov; the notorious Rasputin| his uncanny powers| sex-appeal| and court machinations; Lenin and the October Revolution; images of war; the times of construction and the times of collapse of the Soviet Colossus.   
INDIAN CINEMA & SOCIETY,SARS-205,/coursehistories/1009,This course will meet for three hours to view and discuss a variety of films/videos in Hindi| Tamil| Bengali| Urdu (with English subtitles)| and English| which bring up issues of social| political| and cultural significance. Readings for the course will include articles in various fields ranging from film studies and communication to sociolinguistics and women's studies. Discussions will focus on cinema as a means of expression and as an instrument for social change| examining the various ways in which films both reflect and influence contemporary culture.   
NARRATIVES IN WORLD FILM: Innovations in Narrative Film: From Vertigo to Run Lola Run,FILM-292,/coursehistories/1296,An examination of the development of anthropological theory from the middle of the nineteenth century to the present| with special attention to the social and cultural factors that shaped it.   
MOD JEWISH LIT IN TRANS: Literary Pluralism-Immigrants Women Arabs & Others,AMES-154,/coursehistories/61,Topic varies semester to semeester. Past topics have included: Film and Literature: Childhood in Times of Peace and War; War and Love: Heroism and Anti-Heroism in Israeli Writings; Jewish Film and Literature: Childhood Memory; Fantasy| Dreams & Madness in Hebrew Literature: Escape or Solution; Voices (of Others) of Israel. Fall 2004: Jewish Film & Literature: History and Memory.   
ASIAN AMERICANS & FILM,ASAM-232,/coursehistories/1229,
MASTERPIECES OF FR CINEM,FREN-230,/coursehistories/1313,A continuing exploration of architectural design. Content and technique in representation and construction are explored through various studio design exercises.   
HORROR CINEMA,FREN-382,/coursehistories/1317,Topic Varies.   
HIST OF LAW & SOCIAL POL,HIST-204,/coursehistories/593,
RUSS AVANT-GARDE: FILMARTTHTR/RUSS REVOL,RUSS-024,/coursehistories/1484,This course is the sequel to EAS 345 and focuses on the planning process for a new technology venture. Like its prerequisite| the course is designed expressly for students of engineering and applied science having a keen interest in technological innovation. Whereas EAS 345 investigates the sequential stages of engineering entrepreneurship from the initial idea through the early growth phase of a startup company| EAS 346 provides hands-on experience in developing a business plan for such a venture. Working in teams| students prepare and present a comprehensive business plan for a high-tech opportunity. The course expands on topics from EAS 345 with more in-depth attention to: industry and marketplace analysis; competitive strategies related to high-tech product/service positioning| marketing| development and operations; and preparation of sound financial plans. Effective written and verbal presentation skills are emphasized throughout the course. Ultimately| each team presents its plan to a distinguished panel of recognized enterepreneurs| investors and advisors from the high-tech industry.   
STUDIES IN SPAN CULTURE: INTRO TO SPAN SCREENWRTG,SPAN-386,/coursehistories/1083,This course covers topics in contemporary Spanish Culture| its specific emphasis varying with the instructor.   
Desiring Heroines: Women in Gothic Fiction and Film,WSTD-201,/coursehistories/1542,As a complex cultural product| television lends itself to a variety of critical approaches that build-on| parallel| or depart from film studies. This introductory course in television studies begins with an overview of the medium's history and explores how technical and industrial changes correspond to developing conventions of genre| programming| and aesthetics. Along the way| we analyze key concepts and theoretical debates that shaped the field. In particular| we will focus on approaches to textual analysis in combination with industry research| and critical engagements with the political| social and cultural dimensions of television as popular culture.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
