NAME,ALIAS,PATH,DESCRIPTION
FILM/VIDEO I,FNAR-061,/coursehistories/444,This course provides students with the introductory skills and concepts needed to create short works using digital video technologies. Students will learn the basics of cinematography and editing through a series of assignments designed to facilitate the use of the medium for artistic inquiry| cultural expression and narrative storytelling.   
FILM/VIDEO II,FNAR-062,/coursehistories/445,Video II offers opportunities to further explore the role of sound| editing and screen aesthetics. Through a series of three video projects and a variety of technical exercises| students will refine their ability to articulate more complex and creative projects in digital cinema. In addition| advanced level production and post-production equipment is introduced in this course.   
DOCUMENTARY VIDEO,FNAR-063,/coursehistories/446,A digital video course stressing concept development and the exploration of contemporary aesthetics of the digital realm| specifically in relation to the documentary form. Building on camera| sound and editing skills acquired in Film/Video I and II| students will produce a portfolio of short videos and one longer project over the course of the semester. Set assignments continue to investigate the formal qualities of image-making| the grammar of the moving image and advanced sound production issues within the documentary context.   
DRAWING I,FNAR-123,/coursehistories/447,This course integrates formal issues| technical skill and content in basic drawing. Investigative work is from observation. Drawing from ideas and the imagination will also be explored using a wide variety of materials (such as graphite| charcoal| conte| ink) and methods (continuous tone| subtraction| etc.) It is appropriate for beginners and those with modest experience.   
DRAWING II,FNAR-124,/coursehistories/448,A continuation of FNAR 123. Drawing II expands upon drawing fundamentals and leads the student into a facility with materials and methods| and into drawing as an objective not solely a means.   
2-D DESIGN,FNAR-141,/coursehistories/449,This class explores 2-dimensional form using various principles of organization. The act of composing is both an intellectual investigation and an intuitive act resulting from a combination of experimentation| analysis and editing.   
3-D DESIGN,FNAR-142,/coursehistories/450,Students will make work that draws from and interacts with the three-dimensional world we live in. Formal strategies will explore principles of organization. Planar construction| modeling and assemblage methods will be used for investigations spanning from bas-relief to environmental art. This is a "learn by doing" process with no prerequisites.   
SCULPTURE I:TECHNIQUES,FNAR-145,/coursehistories/451,Students will develop facility with conceptual and visual 3-dimensional forms by applying plastic media and subtraction| addition and fabrication techniques with hand and power tools.   
SCULPTURE II,FNAR-146,/coursehistories/452,Sculpture II builds on the skills and concepts acquired in Sculpture I and challenges the student with concept directed projects.   
COLOR,FNAR-211,/coursehistories/453,The color class is a one semester exploration of color action and interaction| its history and its contemporary paradigms and applications. Studio work includes both "laboratory" studies and improvisatory exercises and uses colored papers| gouache| light and related materials.   
PAINTING I,FNAR-231,/coursehistories/454,This course is an introduction to painting with emphasis on formal principles| content and expression. The course will explore the technical application of paint as well as the impact of a range of compositional and color strategies. Working from direct observation| members of the course will develop perceptual skills to create convincing relationships of form in space. The studio course assignments will be supported by lectures that introduce both contemporary and historical precedents in painting.   
PAINTING II,FNAR-232,/coursehistories/455,Painting studio presents an ongoing exploration of the techniques| problems| and poetics of painting| the nuances of the painting language| and the development of a personal direction. A wide variety of problems will address such issues as color| composition| and the development of imagery| process| and content. Members of the course will be expected to improve in the technical handling of paints and move towards developing personal modes of seeing| interpreting| and thinking for themselves.   
3D COMP MODLG/SCULP,FNAR-235,/coursehistories/456,Students will develop a facility with fundamental 3-dimensional design concepts through the application of both computer graphics visualization and physical construction. The course will offer students a technical understanding of Polygonal and Spline based modeling| alternative and standard methods of 3-D input/output| and will cover regulations for creating models that will function properly for animation| video games and CMC/laser output.   
FIGURE SCULPTURE I,FNAR-243,/coursehistories/457,An introduction of modeling the human figure in clay. Students will work from the live model| acquainting themselves with issues of basic anatomy| form and function| and clay modeling. No previous experience is required; drawing experience a plus; attendance and effort are mandatory. $12 lab fee.   
PRINTMAKING LEVEL 1,FNAR-251,/coursehistories/458,Students will have the opportunity to explore the idea of reproducibility| process and experimentation. Zinc and Copper etching| as well as non-acid processes will be covered. Demonstrations involve processes as basic as drypoint and line etching to more advanced skills such as spit bite and multiple plate color printing. A good introduction to the arts for students with little or no experience; this course will provide a foundation on which to build| combining direct skills like drawing and painting with conceptualization| visualization| planning and professionalism. Though offering much technical information| the focus of the class will be image making and idea development. Students will be challenged to pursue themes personally important while completing smaller projects designed to master techniques. $40 Studio Fee   
CLAY SCULPTURE HANDBLDNG,FNAR-260,/coursehistories/459,This class is designed to give students a foundation of basic skills needed to express ideas creatively in clay. Assignments will combine learning different approaches to art/sculpture making issue with clay forming and finishing techniques. Coil building| slab construction| pinching and tile making will be learn ed. Students will become familiar with basic glaze and slip surface treatments.The firing process will also be covered. Issues in historical and contemporaryceramics will be discussed. Instruction will center around demonstration| slidepresentations| individual and group critiques.   
CLAY WHEEL THROWING I,FNAR-261,/coursehistories/460,The purpose of this beginning level ceramics class is to learn the skills needed to use the potter's wheel as a tool for object making. Traditional ceramic techniques such as centering the clay| pulling walls and trimming pots will be a focus. A variety of glazing and slip decoration methods will be covered. Slide discussions| field trips and readings will supplement the studio work. $80 Studio fee.   
CLAY WHEEL THROWING II,FNAR-263,/coursehistories/461,Students will continue to develop the technical skills involved in the wheel throwing process. Using the wheel as a tool to make sculptural as well as functional objects will also be explored. Focus will be placed on students' creative and technical development. $80 Studio Fee.   
DIGITAL IMAGING(COMP GR),FNAR-265,/coursehistories/462,FNAR 265 is an introduction to digital imaging and creative problem solving through projects that involve drawing| design and desktop publishing. Graphics software programs used include Adobe PhotoShop and Illustrator| Fractal Painter and QuarkXPress. As well as creation directly on the computer| students will be able to capture and manipulate images through scanners and digital cameras. Output methods| both traditional and alternative| are also explored in this course.   
ADV DIG IMAG: ANIMATION,FNAR-267,/coursehistories/463,Through a series of studio projects| this course will focus on 2D and 3D computer animation. Emphasis is placed on time-based design and storytelling by developing new sensitivities to movement| cinematography| editing| sound| color| and lighting. Compositing software covered in the course will be used to combine 2D graphics| 3D animation| and sound. Recommended materials: Wacom Pen   
ADV DIG IMGNG:MLTI-MEDIA,FNAR-268,/coursehistories/464,This is a research-based design studio that introduces new materials| fabrication| and prototyping techniques to develop a series of design proposals in response to this semester's theme: Cultures of Play. Students will work in an interdisciplinary environment towards building new kinds of visualizations| objects| machines| buildings| or environments that use play as a critical| generative| resistive| and creative strategy. Through design| we will explore the vocabulary of printed electronics| computational materials| liquid disposition| 3-D scanning and prototyping techniques and build proposals that can interface with complex social| cultural and environmental issues. We will expand the studio work with additional perspectives from guest speakers and visitors ranging from artists to toy company representatives. The outcome of the studio will be presented at an international conference/workshop.   
ADV DIG IMAGNG:TYPGRAPHY,FNAR-269,/coursehistories/465,The study and practice of typography spans the history of individual letterforms through the typesetting of full texts. It is a complete immersion into type as an integral part of visual communication. Typesetting conventions and variables including legibility| readability| texture| color and hierarchy will be stressed| as well as a form for organizing information and expressing visual ideas. Studio work will include collecting and analyzing type| designing an original typeface| researching type history and experimenting with typographic forms. $50 lab fee.   
