NAME,ALIAS,PATH,DESCRIPTION
MONETARY ECON,FNCE-011,/coursehistories/477,Economic fluctuations and explanatory theories; econometric analysis of selected real and financial sectors.   
CORPORATION FINANCE,FNCE-012,/coursehistories/478,
CORPORATE FINANCE,FNCE-100,/coursehistories/479,This course provides an introduction to the theory| the methods| and the concerns of corporate finance. The concepts developed in FNCE 100 form the foundation for all elective finance courses. The main topics include: 1) the time value of money and capital budgeting techniques; 2) uncertainty and the trade-off between risk and return; 3) security market efficiency; 4) optimal capital structure| and 5) dividend policy decisions.   
MONETARY ECONOMICS,FNCE-101,/coursehistories/480,This is an intermediate-level course in macroeconomics and the global economy| including topics in monetary and international economics. The goal is to provide a unified framework for understanding macroeconomic events and policy| which govern the global economic environment of business. The course analyzes the determinants and behavior of employment| production| demand and profits; inflation| interest rates| asset prices| and wages; exchange rates and international flows of goods and assets; including the interaction of the real economy with monetary policy and the financial system. The analysis is applied to current events| both in the US and abroad.   
ADVANCED CORP FINANCE,FNCE-203,/coursehistories/481,The objective of this course is to study the major decision-making areas of managerial finance and some selected topics in financial theory. The course reviews the theory and empirical evidence related to the investment and financing policies of the firm and attempts to develop decision-making ability in these areas. This course serves as an extension of FNCE 100. Some areas of financial management not covered in FNCE 100 are covered in FNCE 203. These may include leasing| mergers and acquisitions| corporate reorganizations| financial planning and working capital management| and some other selected topics. Other areas that are covered in FNCE 100 are covered more in depth and more rigorously in FNCE 203. These include investment decision making under uncertainty| cost of capital| capital structure| pricing of selected financial instruments and corporate liabilities| and dividend policy.   
INVESTMENT MANAGEMENT,FNCE-205,/coursehistories/482,This course is designed to acquaint the student with the concepts of portfolio analysis in the general area of institutional investment management. The course discusses principles for managing financial assets. These principles apply| for example| to managing corporate pension funds| bank-administered trusts| and other institutional funds. Students will learn how to establish appropriate investment objectives| develop optimal portfolio strategies| estimate risk-return tradeoffs| and evaluate investment performance. Many of the latest quantitative approaches are discussed.   
SPECULATIVE MARKETS,FNCE-206,/coursehistories/483,The purpose of this course is to provide the student with the necessary skills to value and to employ options| futures| and related financial contracts. In order to provide a useful treatment of these topics in an environment that is changing rather rapidly| it is necessary to stress the fundamentals and to explore the topics at a technical level. The topics that will be covered include the valuation of futures contracts on stock indices| on commodities and Treasury instruments; the valuation of options; empirical evidence; strategies with respect to these assets; dynamic asset allocation strategies| of which portfolio insurance is an example; swaps; and the use (and misuse) of derivatives in the context of corporate applications. One-third of the course will be devoted to futures| a third to options| and a third to their applications. Many of the applications will be sprinkled along with the coverage of futures and options.   
SECURITY ANALYSIS,FNCE-207,/coursehistories/484,The focus of this course is on the valuation of companies. Topics discussed include discounted cash flow techniques and valuation using alternative valuation techniques such as price multiples. Emphasis is on developing the required information for valuation from financial statements and other information sources.   
INTERNATIONAL FINANCE,FNCE-219,/coursehistories/485,This course focuses on international financial markets and exchange rates. Topics include pricing in the foreign currency and Eurocurrency markets| use of forward exchange for hedging| short-term returns and market efficiency in the international money markets| foreign currency options| international capital asset pricing| pricing of foreign currency bonds| currency swaps| Eurocurrency syndicated loans| foreign currency financing and exposure management.   
FUNDING INVESTMENTS,FNCE-238,/coursehistories/486,This course examines the available corporate securities that firms can use to finance investment. The course will focus on:(1) the design of these securities (Why do bonds have embedded options? What is the role of preferred stock?); (2) the issuing process for these securities (What do investment banks do? Is the underwriting process important for the cost of capital?); (3) the pricing of these securities (How are credit risk in bonds and loans priced?) The securities covered include corporate and junk bonds| bank loans| common and preferred equity| commercial paper| securitization| as well as some recent innovations. Other topics include: the role of embedded options in corporate bonds; the role of bank and loan covenants; the function of bond rating agencies; exchange offers; prepackaged bankruptcies; bankruptcy in Chapter 11; workouts; debtor-in-possession financing; and pricing credit risk. The course is desgined to be complementary to Advanced Corporate Finance and Fixed Income Securities.   
