NAME,ALIAS,PATH,DESCRIPTION
Writing about the Material World,FOLK-009,/coursehistories/488,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
AMERICAN FOLKLORE,FOLK-201,/coursehistories/489,This course will examine American expressive culture through an exploration of narrative; music; dance; drama; public events; material arts and architecture; religion; medicine; politics;foodways; ways of speaking; and customs surround and celebrating work| leisure| childhood| family| aging| individually and community. In other words| we will be studying the 99% of American life that often goes unnoticed by other college courses! Special topics featured in 2004; tattooing| piercing| branding and other forms of contemporary body arts; UFO abduction as belief and legend; women's home altars; and the African-based North American religion called "vodou.   
DREAMING THE ISLAND,FOLK-227,/coursehistories/490,This course focuses on the transnational ethnicity of Latino American memoir and literature from the Spanish Caribbean. The landscapes of the islands of Puerto Rico| Cuba| and the Dominican Republic act as tropes for situating history and identity for Caribe-Flo-American authors. The tropicality of the islands serve as a way of situating the present and the past in its contrast tothe urban-American sites of New York| Miami| and New Jersey. Authors explored in the course include among others| Esmeralda Santiago| Christina Garcia| Julia Alvarez and Junot D-Ebaz. Their writings show the bifurcated and flucating nature of Latino Amrican identity in relation to language| religion| and quotidian life. The textualization of an "imagined" history through metaphores of la isla / the island| illustrates the precarious| yet rich nature of "alternate" American narratives in ethnic literature. In assessing how these narratives of home identity and place add to urban American milieus we will point towards processes evident in the construction and experience of current global identities.   
FOLKLORE AND SEXUALITY,FOLK-270,/coursehistories/491,Sexuality is usually thought of as being biological or social| divided into categories of natural and unnatural. Often misssed are its creative and communicative aspects. Examining the constructed social elements of sexuality requires attention be paid to folklore in groups| between individuals and on the larger platform of popular technological media. The most interesting locations for exploration are those places where borderlands or margins| occur between genders| orientations and other cultural categories. A field-based paper will be required that must include documentary research.   
URBAN LEGENDS & SOCIETY,FOLK-290,/coursehistories/492,Focused study of expressive culture in a particular cultural setting. Topics vary each semester and the course may be repeated for credit.   
ISSUES FOLKLORE THEORY,FOLK-503,/coursehistories/493,"Fieldwork" is the term folklorists and scholars in related fields use to describe the process by which they arrive at their discipline's subject matter. This includes everything from the pragmatic issues of collecting and documenting materials to the complex relations involved whken people study people. Readings| short writing assignments| and class discussions will probe this spectrum of concerns comprehensively. Brief exercises are planned to experience different aspects of fieldwork. On this background of theory and practice| students will work toward designing a fieldwork based project and draft a funding proposal.   
RITUAL PROCESS & PERFORM,FOLK-518,/coursehistories/494,This course explores the form and development of America's built landscape -- its houses| farm buildings| churches| factories| and fields -- as a source of information on folk history| vernacular culture| and architectural practice.   
FOLK/UNORTHODOX HEALTH,FOLK-533,/coursehistories/495,Examination of theories concerning the origin and function of folk beliefs| investigation of the expression of folk beliefs in legend| folk art| custom and ritual. Ritual is the focal genre for explanatory purposes| and introduction to the social symbolic approach to analysis and interpretation is primary for exploration and application.   
ACDM WRTG/RSRCH DESIGN,FOLK-541,/coursehistories/496,Have you ever noticed that scholars in different academic disciplines seem to speak different languages? Have you wondered how scholars put together a plan for their research| explain their findings| and organize and write their papers? This class is designed to introduce MLA students and other advanced students to the research and writing conventions used by scholars in the arts and sciences. With attention to disciplines in the humanities| social sciences| and sciences| we will identify and explore some of the theories| sources| language| and qualitative and quantitative methodologies that scholars use as they conduct original research in their fields. Throughout the class| we'll also discuss writing conventions across the arts and sciences| with special attention to the structure of argument; the use of evidence; voice and style in both traditional academic writing and more innovative forms of writing; and documentation conventions. Students will develop an original research project through incremental writing assignments| and will write a formal research proposal (15-20 pages)| which can be used as their Capstone proposal if they wish.   
MOD JEWISH LIT IN TRANS: Literary Pluralism-Immigrants Women Arabs & Others,AMES-154,/coursehistories/61,Topic varies semester to semeester. Past topics have included: Film and Literature: Childhood in Times of Peace and War; War and Love: Heroism and Anti-Heroism in Israeli Writings; Jewish Film and Literature: Childhood Memory; Fantasy| Dreams & Madness in Hebrew Literature: Escape or Solution; Voices (of Others) of Israel. Fall 2004: Jewish Film & Literature: History and Memory.   
MASCUL IN NARR & PERFORM,ANTH-544,/coursehistories/143,Students will learn how to write| shoot edit and upload documentary films over the length of this two semester course. In the first part| students complete a series of hands-on formal training in filmcraft while they simultaneously identify a research subject that they will propose to depict in a documentary film. In the second part of the course students will produce the faculty-approved documentary themselves. The film's final cut must be screened by the end of the second semester. Students should expect to work on their projects outside class time. The school will provide basic filmmaking equipment- video cameras and computers for editing in labs. Students are responsible for all storage (computer drives)| tapes| dvds| and project relatedcosts.   
