NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY FRENCH,FREN-110,/coursehistories/497,For students who have never studied French or who have had very little exposure to the language. Most students with previous French should be in French 121 (elementary French for "false beginners"). All students who have already studied French elsewhere are required to take the placement test. Class work emphasizes the development of speaking and listening comprehension| reinforced by work in reading and writing. Course includes an introduction to French and Francophone culture. Out-of-class homework requires work with workbook| audio materials| in addition to frequent writing practice.   
ELEMENTARY FRENCH,FREN-120,/coursehistories/498,The continuation of French 110.   
INTERMEDIATE FRENCH,FREN-130,/coursehistories/499,The first half of a two-semester intermediate sequence designed to help students attain a level of proficiency that should allow them to function comfortably in a French-speaking environment. Students are expected to have already learned the most basic grammatical structures in elementary French and will review these independently outside of class. This course will build on existing French skills and increase students' confidence and ability to read| write| speak and understand French. The course will additionally introduce students to more complex grammatical structures and more challenging cultural material. Out-of-class homework includes work with online| workbook and audio materials in addition to frequent writing practice.   
INTERMED FREN:ACCELERATD,FREN-134,/coursehistories/500,An intensive two-credit course covering the first and second semester of the intermediate year. See descriptions of French 130 and 140. Students must have departmental permit to register. Also offered in the summer Penn-in-Tours program in France.   
INTERMEDIATE FRENCH,FREN-140,/coursehistories/501,The second half of an intermediate-level sequence designed to develop functional competence in the four skills. Students are expected to have already learned the most basic grammatical structures in elementary French and will review these outside of class. The course focuses on the study and discussion of history and culture of the Francophone world through film| literature and music.   
ADVANCED FRENCH,FREN-202,/coursehistories/502,French 202 is a one-semester third-year level French course. It is designed to prepare students for subsequent study in upper-level courses in French and francophone literature| linguistics| civilization| cinema| etc. It is also the appropriate course for those students who have time for only one more French course and wish to solidify their knowledge of the language by continuing to work on all four skills--speaking| listening| reading and writing. Students' work will be evaluated both in terms of progress in language skills and of ability to handle and engage in the content areas.   The class studies two thematic units dealing with a wide variety of magazine articles| literary texts| historical documents| movies| songs| etc. In the first dossier| students expand their knowledge of French history| with a focus on World War II and the German occupation of France. In the second dossier| students study youth-related issues (such as upbringing and education| television| unemployment| racism| etc.)| along with questions of identity in today's France.   
FR FOR PROFESSIONS I,FREN-211,/coursehistories/503,This content-based language course| taught in French| introduces economic| business and professional terminology through the study of the following topics: financial institutions (banking| stock market and insurance); business practices (business letters and resumes); trade and advertising; the internal structure and legal forms of French companies. The course also emphasizes verbal communication through three components: 1) In-class activities such as problem-solving tasks| discussions and debates. 2)The study of authentic materials such as newspapers and magazines' articles| video clips| and radio shows. 3) A series of students' presentations.   Finally| in order to use and practice the new economic and business terminology studied in this course| and to also further explore the structure| the management| and the operations of the French companies| students will work in pairs on a research project about a major French company of their choice.   One of the other goals of this course is to also prepare the students to take one of the exams offered by the Paris Chamber of Commerce and Industry: the Diplome de Francais Professionnel| Affaires| C1. This exam will be held on campus in April.   
ADV FR GRAM & COMP,FREN-212,/coursehistories/504,Intensive review of grammar integrated into writing practice. A good knowledge of basic French grammar is a prerequisite (French 202 or equivalent is recommended). Conducted entirely in French| the course will study selected grammatical difficulties of the French verbal and nominal systems including colloquial usage. Frequent oral and written assignments with opportunity for rewrites.   Articles from French newspapers and magazines| literary excerpts| and a novel or short stories will be used as supplementary materials in order to prepare students to take content courses in French in disciplines other than French.   
ADV. COMP & CONVERSATION,FREN-214,/coursehistories/505,This course is designed to promote advanced-level speaking and writing skills. It offers extensive practice with varied language structures| styles of expression and textual forms. It will also help students better understand contemporary French culture| thought and modes of expression. Activities include the study| analysis and emulation of model texts| discussion and debate about current events as they are treated in the French news media (television| print| Internet sources). Students will take part in class discussions| do one oral presentation based on research and compile a writing portfolio (journal| essays| blog).   
PERSPCT IN FRENCH LIT,FREN-222,/coursehistories/506,This basic course in literature provides an overview of French literature and acquaints students with major literary trends through the study of representative works from each period. Special emphasis is placed on close reading of texts in order to familiarize students with major authors and their characteristics and with methods of interpretation. Students are expected to take an active part in class discussion in French. French 222 has as its theme the Individual and Society. Majors are required to take either French 221 or 222. They may also take both.   
