NAME,ALIAS,PATH,DESCRIPTION
The Business of Public Investment Banking,GAFL-515,/coursehistories/516,This course examines the field of public finance in theory and in practice. The purpose of the course is to provide a detailed understanding of the many facets of and applications of finance in the public sector with a focus on public finance investment banking. The course will provide students with a broad-based and technical overview of public finance and municipal bonds as well as a thorough understanding of the business of public finance.   
HOW CITY COUNCIL WORKS,GAFL-532,/coursehistories/517,This class explores how city administrators and legislatures have addressed the critical issues facing urban America today| including fighting urban blight and transforming neighborhoods| public school funding| public financing of sports stadiums| reducing the tax burden| public health issues like smoking bans| legislative redistricting| crime and safety issues| campaign finance finance reform| economic development issues like tax increment financing| race relations| welfare reform| public transportation| and how to reverse job and population losses. The goal is to place in context the various ways that elected officials approach complex issues| towards a more realistic understanding of how to influence a proposal as it works its way through the process towards implementation.   
WMN LDRS AND EMRGNG DEMS,GAFL-560,/coursehistories/518,In this course you will explore ways to provide women with practical| 'real world' skills--political and community organizing| communications| fundraising| advocacy and media experience--that will enable them to achieve meaningful political| economic| and civic participation in the life of their countries. Students may also be involved with an international trip with Women's Campaign International. The course is designed to give the theoretical background and tools to put together an insightful international training to politically empower women.   
DEALING WITH THE MEDIA,GAFL-561,/coursehistories/519,This course explores the role of media in politics and discusses strategies for using media resources for greatest effect. The design of the course allows for a flexible workshop format and includes guest lectures by media personalities and politicians as well as a trip to meet with media professionals in Washington. The course also provides regular opportunities for students to implement what they have learned through in-class media trainings| mock editorial board interviews| governing strategy scenarios| campaign strategy scenarios| and political advertisement assessments.   
The Politics of Housing and Community Development,GAFL-569,/coursehistories/520,This course offers an exploration of how legislative action| government policymaking and citizen advocacy influence plans for the investment of public capital in distressed urban downtowns and neighborhoods. A special emphasis this year will be the Obama Administration's response to the foreclosure crisis and the implementation of neighborhood reinvestment strategies by state and local governments.   
POLICY DEVELOPMENT,GAFL-589,/coursehistories/521,This course examines the policy development process including: the interaction of branches of government; policy analysis; information; constituencies; and management of a policy development office. The objective of this course is to provide an understanding of the development of government policy| both at the macro level and from the viewpoint of persons who are in supporting roles to the major actors in the process. The formula employed to achieve this objective consists of a combination of readings| lectures| discussions| and activities that are designed to blend conceptual and practical skills.   
LAW FOR PUBLIC MANAGERS,GAFL-505,/coursehistories/1320,Human experience is shaped by the built environment. This course introduces students to the interrelated fields of architecture| art history| and engineering and explores great architectural monuments from the ancient to the modern period| from India across the Mediterranean and Europe to the US. The focus will be on understanding these works in their structure and function| both as products of individual ingenuity and reflections of Zeitgeist. Questioning these monuments from a present-day perspective across the cultures will be an important ingredient| as will be podium discussions| guest lectures| excursions| and all kinds of visualizations| from digital walk-throughs to practical design exercises. Regularly taught in fall term| this course fulfills Sector IV| Humanities and Social Science| and it satisfies History of Art 100-level course requirements. There is only ONE recitation in this course| attached directly to Friday's class at 2-3 p.m.| in order to provide sufficient time for practica and field trips.   
PENNSYLVANIA POLITICS,GAFL-530,/coursehistories/1321,A survey of sculpture| painting and architecture in the Indian sub-continent from 2300 B.C. to the nineteenth century. An attempt to explore the role of tradition in the broader history of art in India.   
Holding Elected Office:  A Congressional Perspective,GAFL-504,/coursehistories/1863,A hands-on signal and image processing course for non-EE graduate students needing these skills. We will go through all the fundamentals of signal and image processing using computer exercises developed in MATLAB. Examples will be drawn from speech analysis and synthesis| computer vision| and biological modeling.   
Marketing for Non-Profit and Government Organizations,GAFL-528,/coursehistories/1864,Second half of a year-long introduction; continues LING 530. Topics to be surveyed include syllable structure and moraic theory; the prosodic hierarchy; the properties and representation of geminates; templatic and prosodic morphology; reduplication and emergence of the unmarked; and metrical phonology (properties of stress| foot typology| and issues of constituency). Emphasizes hands-on analysis of a wide range of data.   
