NAME,ALIAS,PATH,DESCRIPTION
OUR PLANET EARTH,GEOL-001,/coursehistories/524,An introduction to geology for non-science majors and those who are particularly curious about the nature of our planet and the scientific controversies about its past and its future.   
EARTH THROUGH TIME,GEOL-125,/coursehistories/525,Origin of Earth| continents| and life. Continental movements| changing climates| and evolving life.   
OCEANOGRAPHY,GEOL-130,/coursehistories/526,The oceans cover over 2/3 of the Earth's surface. This course introduces basic oceanographic concepts such as plate tectonics| marine sediments| physical and chemical properties of seawater| ocean circulation| air-sea interactions| waves| tides| nutrient cycles in the ocean| biology of the oceans| and environmental issues related to the marine environment.   
MINERALOGY,GEOL-201,/coursehistories/527,Crystallography| representative minerals| their chemical and physical properties. Use of petrographic microscope in identifying common rock-forming minerals in thin section.   
STRATIGRAPHY,GEOL-206,/coursehistories/528,Introductory sedimentary concepts| stratigraphic principles| depositional environments| and interpretation of the rock record in a paleoecological setting.   
ENVIRONMENTAL GEOLOGY,GEOL-401,/coursehistories/529,The purpose of this course is to better understand the interactions of humans and the environment through an examination of geologic processes and features as they influence| and are influenced| by human activities. the ultimate goal of such study is to make better land use decisions. Following a review of some basic geologic concepts| we will study hazardous geologic processes including; volcanic eruptions| earthquakes| river flooding|coastal flooding and erosion| landslides| and subsidence. Next| we will discuss environmental impacts associated with the use of fossil fuels| water| and soils. The course will conclude with student presentations of selected topics in environmental geology.   
GEOCHEMISTRY,GEOL-418,/coursehistories/530,This course provides a comprehensive introduction to theory and applications of chemistry in the earth and environmental sciences. Theory covered will include nucleosynthesis| atomic structure| acid-base equilibrium| thermodynamics| oxidation-reduction reactions. Applications will emphasize oceanography| atmospheric sciences and environmental chemistry| as well as other topics depending on the interests of the class. Although we will review the basics| this course is intended to supplement| rather than to replace| courses offered in the department of Chemistry. It is appropriate for advanced undergraduate as well as graduate students in Geology| Environmental Science| Chemistry and other sciences| who wish to have a better understanding of these important chemical processes   
GEOLOGY OF SOILS,GEOL-511,/coursehistories/531,Nature| properties| genesis| and classification of soils; soils of the United States.   
EVOL OF LAND ECOSYSTEMS,GEOL-515,/coursehistories/532,Origin and diversification of land ecosystems. Interaction between plants and animals. Effects of past climatic change and other external factors. The importance of past changes in land ecosystems to our understanding of current global change.   
HYDROGEOLOGY,GEOL-530,/coursehistories/533,
STRUCTURAL GEOLOGY,GEOL-208,/coursehistories/1323,This course is designed to give the student an overview of the cultures of the Aegean Bronze Age. The art and architecture of Crete| the Cyclades and the Mainland of Greece will be examined in chronological order| with an emphasis on materials and techniques. In addition| larger issues such as the development of social complexity and stratification| and the changing balance of power during the Aegean Bronze Age will be examined. There are two texts for the course: Sinclair Hood's The Arts in Prehistoric Greece and Donald Preziosi and Louise Hitchcock's Aegean Art and the Architecture.   
INTRO TO GEOPHYSICS,GEOL-420,/coursehistories/1324,An introductory survey| this course investigates painting| sculpture| and the "minor arts" of the Middle Ages. Students will become familiar with selected major monuments of the Late Antique| Byzantine| Carolingian| Romanesque| and Gothic periods| as well as primary textual sources. Analysis of works emphasizes the cultural context| the thematic content| and the function of objects. Discussions focus especially on several key themes: the aesthetic status of art and the theological role of images; the revival of classical models and visual modes; social rituals such as pilgrimage and crusading; the cult of the Virgin and the status of women in art; and| more generally| the ideology of visual culture across the political and urban landscapes.   
Introduction to Vertebrate Paleontology,GEOL-477,/coursehistories/1325,This course will investigate the meaning and function of works of painting| sculpture and architecture in fourteenth and fifteenth century Italy| with particular attention to the context of urban life. The city will be viewed as the site of divergent uses of art by different communities and interest| who employed images as expressions of religious piety| for the display of identity and status| or as strategic means of producing consensus or exploiting social division. We will consider the role of the image in political and religious culture| and in public and private life| bearing in mind the varying interests of those who commissioned works of art and those who encountered them as beholders. Particular attention will be devoted to comparing the circumstances of artistic production in Florence (where we will be considering works by Massaccio| Donatello| Ghiberti| Filippo Lippi and Botticelli) with those operating in the court centers of Northern Italy (where we will look at Mantegna and Piero dell Francesca). From this multiplicity of uses and responses emerged highly varied conceptions of nature of the image and siderhowsuchdiscussionsinfluencedartistic performance| bearing in "deposit of a social relationship" between artists| clients and beholders.   
EVOLU OF PHYSICAL WORLD,GEOL-003,/coursehistories/1866,The second half of a year-long introduction to the formal study of natural language syntax. Topics to be covered include grammatical architecture; derivational versus representational statement of syntactic principles; movement and locality; the interface of syntax and semantics; argument structure; and other topics. The emphasis is on reading primary literature and discussing theoretical approaches| along with detailed case-studies of specific syntactic phenomena in different languages.   
