NAME,ALIAS,PATH,DESCRIPTION
ELEM MODERN GREEK II,GREK-016,/coursehistories/536,Continuation of Elementary Modern Greek I| with increased emphasis on reading and writing.   
ELEM CLASSICAL GREEK II,GREK-102,/coursehistories/537,Students complete their study of the morphology and syntax of Classical Greek. We begin the semester with continuing exercises in grammar and translation| then gradually shift emphasis to reading unadapted Greek texts.   
INTERMED GREEK: POETRY,GREK-204,/coursehistories/538,This course is an introduction to reading Greek poetry| with an emphasis on the characteristics that differentiate the grammar| diction| and sentence structure of poetry from that of prose. The readings are primarily from Homer.   
TOPICS: GREEK LITERATURE: GENDER IN 4TH C. PROSE,GREK-309,/coursehistories/539,TBA   
GREEK PROSE COMPOSITION,GREK-430,/coursehistories/540,This course will look intensively at the structure and characteristics of Greek prose| mainly through composition| but also through translation and reading of selected texts   
INTERMED MODERN GREEK II,GREK-018,/coursehistories/1326,The architecture of Europe and America from the late nineteenth century until the present is the central subject of this course| but some time will also be devoted to Latin American and Asian architecture and to the important issues of modern city planning. Topics to be discussed include the Arts and Crafts movement| Art Nouveau| Expressionism| Art Deco| the International Style| and Post-modernism. The debate over the role of technology in modern life and art| the search for a universal language of architectural communication| and the insistent demand that architecture serve human society are themes that will be traced throughout the course. Among the important figures to be considered are Frank Lloyd Wright| Walter Gropius| Le Corbusier| Louis Kahn| Rovert Venturi| and Denise Scott Brown. The course includes weekly discussion sessions and several excursions to view architecture in Philadelphia.   
INTENSIVE ELEM GREEK,GREK-112,/coursehistories/1558,This workshop is especially valuable for creative writing concentrators in poetry within the English Major| for those who are working on longer works| or for those who wish to work on a series of poems connected by style and subject matter.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTERMED MODERN GREEK I,GREK-017,/coursehistories/1872,Brief review of High School calculus| applications of integrals| transcendental functions| methods of integration| infinite series| Taylor's theorem. Use of symbolic manipulation and graphics software in calculus.   
ELEM CLASSICAL GREEK I,GREK-101,/coursehistories/1873,Functions of several variables| vector-valued functions| partial derivatives and applications| double and triple integrals| conic sections| polar coordinates| vectors and analytic geometry| first and second order ordinary differential equations. Applications to physical sciences. Use of symbolic manipulation and graphics software in calculus.   
INTERMED GREEK: PROSE,GREK-203,/coursehistories/1874,Functions of several variables| partial derivatives| multiple integrals| differential equations; introduction to linear algebra and matrices with applications to linear programming and Markov processes. Elements of probability and statistics. Applications to social and biological sciences. Use of symbolic manipulation and graphics software in calculus.   
ELEM MODERN GREEK I,GREK-015,/coursehistories/2296,This course provides an introduction to environmental programs| the environmental impact assessment process| and technical| policy and legal implications. Emphasis will be placed on identification and evaluation of impacts| and attaining a sustainable future. Guest lecturers who are experts in related fields participate in the course.   
Greek for Heritage Speakers:  Part I,GREK-115,/coursehistories/2297,This course covers the basics of digital communications over computer and telephone networks. Introduction to communication architectures: services| protocols| and hierarchical layering| OSI and TCP/IP architectures. The physical layer of communications: physical media| signals| time and frequency| Fourier representations and bandwidth| capacity| modems| and data transmission schemes. The data link layer of communications: error detection and correction| data compression| ARQ protocols| synchronization and framing| HDLC protocol.   
