NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY GERMAN I,GRMN-101,/coursehistories/541,Designed for the beginning student with no previous knowledge of German. German 101| as the first course in the first-year series| focuses on the development of language competence in listening| speaking| reading| and writing. By the end of the semester| students will be able to engage in simple conversations about familiar things| know greetings and everyday expressions| they will be ble to count and tell time| and negate sentences in day-to-day contexts. Furthermore| students will be able to speak about events that happened in the immediate past and express plans for the future. In addition| students will have developed reading strategies that allow them to glean information from simple newspaper and magazine articles and short literary texts. Because cultural knowledge is one of the foci of German 101| students will learn much about practical life in Germany and will explore German-speaking cultures on the Internet.   
ELEMENTARY GERMAN II,GRMN-102,/coursehistories/542,This course is a continuation of GRMN 101 and is designed to strengthen and expand students' listening| speaking| reading| and writing competence and to deepen an understanding of German-speaking cultures. By the end of the course| students will be able to handle a variety of day-to-day needs in a German-speaking setting and engage in simple conversations about personally significant topics. Students can expect to be able to order food and beverages| purchase things| and to be familiar with the German university system| the Artsmedia| and current social topics. Students will begin to be able to talk aboutthe past and the future| make comparisons| describe people and things in increasing detail| make travel plans that include other European countries| and make reservations in hotels and youth hostels. By the end of the course students will be able to talk about their studies and about their dreams for the future. In In addition| students will develop reading strategies that should allow them tounderstand the general meaning of articles| and short literary texts.   Furthermore| students will feel more able to understand information when hearing German speakers talking about familiar topics. Cultural knowledge remains among one of the foci of German 102| and students will continue to be exposed to authentic materials.   
INTERMEDIATE GERMAN I,GRMN-103,/coursehistories/543,This course is designed to improve students writing and speaking competence| to increase vocabulary| to deepen grammar usage| and to help develop effective reading and listening strategies in German across literary genres and media as students interpret and analyze cultural| political| and historical moments in German-speaking countries and compare them with their own cultural practices. This course is organized around content-based modules and prepares students well for GRMN 104 and a minor or major in German.   
INTERMEDIATE GERMAN II,GRMN-104,/coursehistories/544,A continuation of GRMN 103. Expands students writing and speaking competence in German| increases vocabulary and helps students practice effective reading and listening strategies. Our in-class discussions are based on weekly readings of literary and non-literary texts to facilitate exchange of information| ideas| reactions| and opinions. In addition| the readings provide cultural and historical background information. The review of grammar will not be the primary focus of the course. Students will| however| expand and deepen their knowledge of grammar through specific grammar exercises. Students will conclude the basic-language program at PENN by reading an authentic literary text: Thomas Brussig Am k?rzeren Ende der Sonnenallee offering the opportunity to practice and deepen reading knowledge and to sensitize cultural and historical awareness of German-speaking countries.   
GERMAN IN RESIDENCE,GRMN-180,/coursehistories/545,The German House is a half-credit course with concentrations in German conversation| film| and culture. Though many students enroll for credit| others often come to select events. All interested parties are invited| and you do not have to actually live in the house to enroll for credit. Students from all different levels of language proficiency are welcome. Beginners learn from more advanced students| and all enjoy a relaxed environment for maintaining or improving their German language skills.   
CONVERSATION AND COMPOSI,GRMN-215,/coursehistories/546,Offers students the opportunity to improve significantly written and spoken discourse strategies and to raise language competence to an academic register. In addition| the course familiarizes students with several reading strategies. Students write several essays| weekly reaction pieces| lead discussions| and create short in-class presentations. During the second half of the semester| students create a common course web site in connection with their readings of an authentic literary text. In collaborative group work| students create the contents for different components: biography| text analyses| historical background| geography and didactizations emphasizing integrated skills and discourse competence. Their work is posted to a web site| which in turn| is incorporated in the 4th-semester syllabus| where students use the peer-generated information and comprehension checks for their understanding of an abridged version of the authentic literary text.   
INTRO TO LITERATURE,GRMN-216,/coursehistories/547,Develops students' basic skills of literary interpretation. Exposure to various reading techniques (e.g. close reading| reading for plot| etc.) and to literary terminology and its application. Readings will include selections from prose| drama and lyric poetry.   Why a course on German literature for the student learning language? Literature is where language is at its most versatile| inventive| and entertaining. Literature knows no shame in putting the fantasies| hopes| fears| and desires of a culture on display. This is a course for students intent on further developing their abilities in language and their knowledge of German culture. Ranging widely across the literary genres--from the fable| the aphorism and the joke to poems| songs| stories| and plays--students will discover what language and literature can do. Focus on speaking and writing.   
GRMN BUSINESS WORLD II,GRMN-220,/coursehistories/548,This course is designed to enhance your speaking| reading and writing skills| in addition to helping you build a strong foundation in business vocabulary. Course objectives include acquiring skills in cross cultural communication| teamwork| business management| and creating a business plan. German grammar will be covered on a need be basis. This course will prepare you to perform and contribute while in a German-speaking business environment.   
ADV GRAMMAR & STYLISTICS,GRMN-221,/coursehistories/549,This course is designed to help the student develop a more sophisticated writing style in German. This is achieved by means of the study and discussion of the fine points of German syntax (e.g. correct usage of tenses| punctuation| experimentation with word order| etc.)| by a variety of exercises in finding synonyms| similes| analogies| and rhetorical strategies| and by exposure to numerous idioms. Emphasis is also placed on determining the appropriate usage of language in a specific situation. The ultimate objective of this course is therefore to encourage an active and imaginative use of the German language. Students should be prepared to undertake an active role in critiquing one another's writing.   
GRMN FOR PROFESSIONS,GRMN-227,/coursehistories/550,This course is designed to facilitate the acquisition of an extensive business vocabulary together with the communicative skills needed to function daily in a professional setting. Emphasis is placed on the development of oral proficiency. A series of topics depicting a variety of situations in and around the workplace provide the basis for an emphasis on practical applications. Beyond helping students build a vocabulary useful in the professional world| this course also seeks to reveal differences between Germans and Americans. Such factual and cultural knowledge should prove most beneficial to anyone contemplating an internship or work in Germany.   The course material offers a wide range of topics| including: looking for a position and the situation of the job interview; introducing oneself and others; presenting the company and its structure; rules and responsibilities at the workplace; making smalltalk; giving directions; carrying out a conversation on the phone in all aspects; presenting a product and explaining how it functions.   
Literary Responses to the Holocaust,GRMN-251,/coursehistories/551,This course will discuss some of the major literary and cinematic responses to the Holocaust. Much has already been written on this subject and therefore this course will specifically focus on such problems as: how can the Holocaust be translated into literature? Does our notion of literature change once the Holocaust has become its topic? Are fiction and testimony compatible with each other? Can the Holocaust be a topic even if it is not mentioned at all in the text? How do comedy and the Holocaust topic relate to each other? Can history and philosophy be part of a literary treatment of the Holocaust? Influential texts and films from major literatures and cultures in the world will be our starting point.   
MANN HESSE KAFKA,GRMN-255,/coursehistories/552,Based on considerations of the cultural tradition and the intellectual currents of the twentieth century| the course presents a survey of the achievements of Mann| Hesse| and Kafka. The extensive study of representative works focuses on the problems of the artist in the modern age.   
LECTURE,GRMN-256,/coursehistories/553,For centuries the pact with the devil has signified humankind's desire to surpass the limits of human knowledge and power. From the reformation chap book to the rock lyrics of Randy Newman's Faust| from Marlowe and Goethe to key Hollywood films| the legend of the devil's pact continues to be useful for exploring our fascination with forbidden powers.   
WOMEN IN JEWISH LIT,GRMN-262,/coursehistories/554,This course introduces students of literature| women's studies| and Jewish studies to the long tradition of women as readers| writers| and subjects in Jewish literature. All texts will be in translation from Yiddish and Hebrew| or in English. Through a variety of genres--devotional literature| memoir| fiction| and poetry -- we will study women's roles and selves| the relation of women and men| and the interaction between Jewish texts and women's lives. The legacy of women in Yiddish devotional literature will serve as background for our reading of modern Jewish fiction & poetry from the past century. The course is devided into five segments. The first presents a case study of the Matriarchs Rachel and Leah| as they are portrayed in the Hebrew Bible| in rabbinic commentary| in pre-modern prayers| and in modern poems. We then examine a modern novel that recasts the story of Dinah| Leah's daughter. Next we turn to the seventeenth century Glikl of Hamel| the first Jewish woman memoirist. The third segment focuses on devotional literature for and by women. In the fourth segment| we read modern women poets in Yiddish| Hebrew| and English. The course concludes with a fifth segment on fiction and a memoir written by women in Yiddish| Hebrew| and English.   "Jewish woman| who knows your life? In darkness you have come| in darkness do you go." J. L. Gordon (1890)   
MANN? OH MANN!,GRMN-351,/coursehistories/555,Decadence| eroticism| disease| sexuality| the decline of the merchant class| vacationing in Italy| the difficulties getting in step for the next dance (or the "dance of life" as opposed to the "dance of death")| living in sanatorium for several years up in the Swiss Alps. If any of these things sound like interesting topics to you| think about Mann? Oh| Mann! We will be reading two major novels of Thomas Mann (Buddenbrooks and Zauberberg) as well as a number of short stories by the same author. We'll discuss the above topics as well as things like the role of the art in society and the role of music in our lives. We will of course also discuss the philosophies underlying the works of Thomas Mann| including especially Nietzsche and Shopenhauer| as well as the role of the works of Richard Wagner in Mann's works.   
FROM BAYREUTH TO TECHNO: Culture and Culture Politics in Germany,GRMN-376,/coursehistories/556,This course surveys a number of different cultural events like the music festival in Bayreuth and the Love Parade in Berlin as well as controversies in the cultural arena such as the wrapping of the Reichstag| the Holocaust Memorial| and the Walser-Bubis-Debate in the 1990s. Based on these examples as well as the Olympic Games in Munich 1972| the Culture City of Europe Weimar 1999| and the World Exposition Expo 2000 in Hanover| we will discuss political (national identity| foreign policy| crisis prevention) and economic (boosterism) aspects of cultural events. Differences in art and culture between the U.S. and Germany will be addressed.   
