NAME,ALIAS,PATH,DESCRIPTION
WTCHRFT & GNDR EARLY MOD,GSOC-420,/coursehistories/3798,Topic varies.   
HUMAN REPROD & SEX DIFS,BIOL-008,/coursehistories/1702,Crystallography| representative minerals| their chemical and physical properties. Use of petrographic microscope in identifying common rock-forming minerals in thin section.   
ADULTERY NOVEL,RUSS-125,/coursehistories/1485,
GENDER & SOCIETY,GSOC-002,/coursehistories/3884,Continuation of CHEM 241.   
WRITING SEMINAR IN WSTD: GENDER IN CONTEM AMERICA,GSOC-009,/coursehistories/3885,A basic laboratory course in which both the theoretical and practical aspects of a variety of organic reactions and multistep syntheses are emphasized. Modern chromatographic| instrumental| and spectroscopic techniques are applied to experimental organic chemistry. Course should be taken concurrently with CHEM 242 or in the semester immediately following. For safety reasons students will not be permitted to wear contact lenses in the laboratory.   PLEASE NOTE THE FOLLOWING: For the Summer and LPS offering of CHEM 245| it is a 2-semester course. Part 1 is taken in the first term for 0.0 CU and then Part 2 is taken in the second term immediately following the first for 1.0 CU.   
WMN GENDR SEX & LAW: Women Gender Sexuality and the Law,GSOC-149,/coursehistories/3886,Advanced laboratory work on the synthesis| structure| and properties of organiccompounds. Infrared| ultraviolet| and nuclear magnetic resonance spectroscopy. Lectures cover the theoretical basis and applications of modern spectroscopic methods. For safety reasons students will not be permitted to wear contact lenses in the laboratory.   
SENIOR THESIS,GSOC-400,/coursehistories/3887,Fundamentals of biological chemistry| including the structure of biological macromolecules and their mechanism of action| intermediary metabolism| and the chemical basis of information transfer.   
OUT/SIDE BLACKNESS,AFRC-220,/coursehistories/3814,This course investigates the application of statics and dynamics to simple force analyses of the musculoskeletal system| introduces the fundamentals of the mechanics of materials| and introduces the biomechanics of soft and hard tissues (e.g| microstructure and mechanical properties). The first portion of the course will present fundamental concepts of force and mechanics of rigid and deformable bodies. The remainder of the course will consist of an introduction of materials science and engineering| including the classification and bulk properties of implantable materials.   
PUBLIC INTEREST WORKSHOP,ANTH-516,/coursehistories/3278,From the mid-eighteenth to the mid-nineteenth centuries.   
TOPICS IN LITERATURE: The Ancients and Shakespeare on Justice and Happiness,ENGL-016,/coursehistories/378,Freshman Seminars under the title "Topics in Literature" will afford entering students who are considering literary study as their major the opportunity to explore a particular and limited subject with a professor whose current work lies in that area. Topics may range from the lyric poems of Shakespeare's period to the ethnic fiction of contemporary America. Small class-size will insure all students the opportunity to participate in lively discussions. Students may expect frequent and extensive writing assignments| but these seminars are not writing courses; rather| they are intensive introductions to the serious study of literature. One of them may be counted toward the English major and may be applied to a period| genre| or thematic requirement within the major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
19TH CENTURY BRIT NOVEL: 19th Century British Novel:  The Gothic,ENGL-055,/coursehistories/382,During the nineteenth century the novel became the dominant literary form of its day| supplanting poetry and drama on both sides of the Atlantic. In this introduction to the novelists of the period| we will read the writers who secured the novel's cultural respectability and economic prominence. Likely authors will include Austen| the Brontes| Collins| Dickens| Eliot| Hardy| Hawthorne| Melville| Poe| Thackeray| Scott| and Stowe. The course will explore the themes| techniques| and styles of the nineteeth-century novel. It will focus not only on the large structural and thematic patterns and problems within each novel but also on the act of reading as a historically specific cultural ritual in itself.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WOMEN & LIT,ENGL-090,/coursehistories/391,This course will focus on questions of gender difference and of sexual desire in a range of literary works| paying special attention to works by women and treatments of same-sex desire. More fundamentally| the course will introduce students to questions about the relation between identity and representation. We will attend in particular to intersections between gender| sexuality| race| class| and nation| and will choose from a rich vein of authors: Mary Wollstonecraft| Jane Austen| Mary Shelley| Lord Byron| the Brontes| Christina Rossetti| George Eliot| Oscar Wilde| Henry James| Gertrude Stein| Zora Neale Hurston| E. M. Forster| Virginia Woolf| Nella Larsen| Radclyffe Hall| Willa Cather| Elizabeth Bishop| Jean Rhys| James Baldwin| Sylvia Plath| Bessie Head| Audre Lorde| Adrienne Rich| Cherr?e Moraga| Toni Morrison| Michael Cunningham| Dorothy Allison| Jeanette Winterson| and Leslie Feinberg.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
THEORIES GENDR/SEXUALITY,ENGL-096,/coursehistories/2533,An introduction to the literary and legal sources of Jewish law within an historical framework. Emphasis will be placed upon the development and dynamics of Jewish jurisprudence| and the relationship between Jewish law and social ethics.   
TOPICS IN LIT. & SOCIETY: COPYRIGHT AND CULTURE,ENGL-105,/coursehistories/3361,In this class| we will engage in a close reading of Wittgenstein's major writings: the Tractatus Logico-Philosophicus and the Philosophical Investigations. Some of the main topics to be considered include: how languagerelates to the world; what philosophy is and what it can accomplish; the nature of understanding; what is involved in following a rule; and the phenomenon of seeing-as.   A distinctive feature of Wittgenstein's approach to philosoph is his commitment to philosophy as an activity rather than a set of doctrines. In keeping with this| the main goal of this class is for you to learn to do philosophy: to read closely| to grapple with foundational questions| and to talk seriously with others. This class is very much a seminar| and I will avoid lecturing as much as possible.   
TOPICS - ROMANCE: CHIVALRY AND ROMANCE,ENGL-222,/coursehistories/3871,Process synthesis| steady-state simulation| second-law analysis heat integration| cost estimation and profitability analysis| plant-wide controllability assessment.   
TPCS MDRN AMERICAN LIT: Southern Women Writers:  Gendered Bodies Racial Subjects,ENGL-264,/coursehistories/3872,Experimental studies in heat and mass transfer| separations and chemical reactors to verify theoretical concepts and learn laboratory techniques. Methods for analyzing and presenting data. Report preparation and the presentation of an oral technical report.   
FEMINIST FAIRY TALES,ENGL-290,/coursehistories/423,The advanced women's studies course in the department| focusing on a particularaspect of literature by and about women. Topics might include: "Victorian Literary Women"; "Women| Politics| and Literature"; "Feminist Literary Theory";and similar foci.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
PREMODERN WOMEN,ENGL-553,/coursehistories/2790,
FREUD,GRMN-253,/coursehistories/2833,This course introduces students to advanced study in econometrics| with an emphasis on methods used in microeconomic applications and in evaluating the effects of social interventions. The course begins with an overview of topics in linear algebra| with a review of important concepts in statistics| and with a review of the assumptions of the classical linear model and of ways of dealing with standard violations of these assumptions. After this review| we cover methods for handling limited dependent variables| which often arise in practical situations such as in forecasting the demand for a new good or modeling labor supply. In addition| we will cover maximum likelihood estimators| and flexible semiparametric and nonparametric estimation methods.   The second part of the course will focus on applications of econometrics to the field of program evaluation. Students will learn about randomized and nonexperimental methods of estimating treatment effects. These methods are broadly applicable to many fields| such as in economics| biology| medicine| and education. Students will learn to distinguish different kinds of treatment effects| to identify potential sources of biases and to understand the assumptions that underlie different estimation approaches. We will discuss regression-based estimators| matching estimators| model-based estimators| and local treatment effect estimators. We will also cover dummy endogenous variable models and switching regression models.   
THE AMERICAN SOUTH,HIST-170,/coursehistories/3116,
GENDER IN LATIN AMERICA,HIST-307,/coursehistories/3405,This course explores the emerging politics of global ecological decay and restoration occurring at the individual| local| nation-state| and international levels.   
HIST OF SEXUALITY IN US,HIST-349,/coursehistories/2317,This course is an introduction to major forces that shape urban life in the United States from the eighteenth century to the present| with a focus on Philadelphia. Through weekly assignments and discussions| students will examine the physical formation and historical development of cities and learn to "read" the sociological and geographic organization of the contemporary city. Prominent themes include urban growth| decline| and restructuring; the ecological bases of urban life; race| class| and gender relations in urban space; and the formation and re-formation of neighborhoods| downtowns| and suburbs.   
TOPICS IN DANCE HISTORY: 19TH C ROMANTIC BALLET,HIST-491,/coursehistories/3895,Applications of frontier molecular orbital theory to the study of the structure| bonding and reactivity of organic compounds. Topics discussed will include thermochemistry| symmetry| pi electron theory| aromaticity| pericyclic reactions and fragment molecular orbital theory.   
POLITICS OF SEX & SCIENC,HSOC-008,/coursehistories/3896,The first half of the course covers the principles and techniques of macro- molecular structure determination using X-ray crystallography. The second half of the course covers extracting biological information from X-ray crystal structures with special emphasis on using structures reported in the recent literature and presented by the students.   
GENDER AND SCIENCE,HSSC-528,/coursehistories/3899,The course covers selected topics in bioinorganic chemistry; special emphasis is placed on dioxygen chemistry and electron transfer processes. Course topics include: (i) oxygen uptake and utilization; (ii) diatomic oxygen trans port; (iii) diatomic and monoatomic oxygen incorporation into substrates; (iv) metalloenzyme-catalyzed C-C bond formation; (v) the metallobiochemistry of DNA; (vi) metal-sulfide proteins; (vii) manganese-containing metalloproteins; (viii) Photosystem II: light-driven electron transfer and the biological water-splitting reaction; (ix) biological electron transfer; (x) electron transfer theory; (xi) mechanisms of energy storage and release; and (xii) long-distance electron transfer reactions.   
IRAN CINEMA:GEND/POL/REL,NELC-118,/coursehistories/3463,Selected topics in Christian mystical writings. Authors will be read in English translation. Knowledge of medieval languages is helpful| but not required.   
RACE GENDER CLASS AND THE HISTORY OF AMERICAN HEALTH CARE,NURS-318,/coursehistories/3473,This course draws on the fictional| drama and cinematic representation of the Russian history based on Russian as well as non Russian sources and interpretations. The analysis targets major modes of imagining| such as narrating| showing and reenacting historical events| personae and epochs justified by different| historically mutating ideological postulates and forms of national self-consciousness. Common stereotypes of picturing Russia from "foreign" perspectives draw special attention. The discussion involves the following themes and outstanding figures: the mighty autocrats Ivan the Terrible| Peter the Great| and Catherine the Great; the tragic ruler Boris Godunov; the brazen rebel and royal impostor Pugachov; the notorious Rasputin| his uncanny powers| sex-appeal| and court machinations; Lenin and the October Revolution; images of war; the times of construction and the times of collapse of the Soviet Colossus.   
FEMINIST POL. THOUGHT,PSCI-280,/coursehistories/2660,Independent research projects in the laboratories of individual faculty members. A list of possible research supervisors is available in the Biochemistry office (357 Chemistry). In addition to their laboratory projects| students will attend a weekly seminar in which their own and related work will be discussed.   
INDIAN CINEMA & SOCIETY,SAST-213,/coursehistories/3942,Live broadcasts of historic events - contests| conquests| and coronations - constitute a new form of ceremonial politics whereby television joins the establishment and audience to declare a holiday. The course will analyze this genre - its diffusion| politics| aesthetics| ethnography| and effects.   
WOMEN & HEALTH IN S.ASIA,SAST-286,/coursehistories/3943,This seminar focuses on the study of public opinion and elections with a focus on (1) how to understand and analyze public opinion data; and (2) how the media uses public opinion to help explain the story of American democracy. The course offers some amazing opportunities| including a hands on exercise of crafting an original public opinion survey; as well as a trip to NBC News in NYC to see an example of how the news is crafted. Professor Lapinski is the instructor of the course. He is an Associate Professor of Politic al Science at Penn as well as a Senior Fellow in the Fox Leadership Program and a Distinguished Fellow in the Annenberg Public Policy Center. He is also the Director of Elections at NBC News.   
THE FAMILY,SOCI-004,/coursehistories/1035,This introduction to the sociology of the family explores historical| economic| and cultural changes that have shaped the past and present form of the American kinship system. It will also compare demographic and social trends and consequences of the family patterns across societies| providing perspective on differences and similarities between the U.S. family system and other nations. Students will have an opportunity to engage in research on topics of special interest.   
SOCIOLOGY OF GENDER,SOCI-122,/coursehistories/1045,Gender is an organizing principle of society| shaping social structures| cultural understandings| processes of interaction| and identities in ways that have profound consequences. It affects every aspect of people's lives| from their intimate relationships to their participation in work| family| government| and other social institutions and their place in the stratification system| Yet gender is such a taken for granted basis for differences among people that it can be hard to see the underlying social structures and cultural forces that reinforce or weaken the social boundaries that define gender. Differences in behavior| power|and experience are often seen as the result of biological imperatives or of individual choice. A sociological view of gender| in contrast| emphasizes how gender is socially constructed and how structural constraints limit choice. This course examines how differences based on gender are created and sustained| with particular attention to how other important bases of personal identity and social inequality--race and class-interact with patterns of gender relations. We will also seek to understand how social change happens and how gender inequality might be reduced.   
STUDIES IN SPAN CULTURE: INTRO TO SPAN SCREENWRTG,SPAN-386,/coursehistories/1083,This course covers topics in contemporary Spanish Culture| its specific emphasis varying with the instructor.   
STUDIES IN SPAN AM CULT.: MONSTRUOS Y MAQUINAS,SPAN-396,/coursehistories/1087,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SCI OF SEX & SEXUALITY,GSOC-242,/coursehistories/4048,The writing of individually selected projects (a novel| a group of short stories) with reading assignments and discussion of student works-in-progress.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
CONTEMP FEMINIST THOUGHT,GSOC-320,/coursehistories/4049,This course will look at the screenplay as both a literary text and a blue print for production. Several classic screenplay texts will be critically analyzed (REBEL WITHOUT A CAUSE| DOCTOR STRANGELOVE| PSYCHO| etc.) Students will then embark on writing their own scripts. We will intensively focus on: character enhancement| creating "believable" cinematic dialogue| plot development and story structure| conflict| pacing| dramatic foreshadowing| the element of surprise| text and subtext and visual story-telling. Class attendance is mandatory. Students will submit their works-in-progress to the workshop for discussion.   See English Department's website at www.english.upenn.edu for a description of the current offerings.   
