NAME,ALIAS,PATH,DESCRIPTION
GENDER & SOCIETY,GSWS-002,/coursehistories/5223,The readings for this course expose the student to a wide range of American fiction and poetry since World War II| giving considerable attention to recent work. Works may include All The King's Men by Robert Penn Warren| Herzog by Saul Bellow| On The Road by Jack Kerouac| V by Thomas Pynchon| Of Love and Dust by Ernest J.Gaines| A Flag For Sunrise by Robert Stone| The Killing Groundby Mary Lee Settle| and selected poems by Ginsberg| Plath| and Walcott. Readings vary from term to term.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
LAW SOC POL SEX REPRO: Women Gender Sexuality and the Law,GSWS-149,/coursehistories/5224,From vaudeville comedy to modernist poetry| from Tin Pan Alley to the postwar novel| from Yiddish theater to midrashic approaches to literary interpretation| Jewish American literature and thought have been central to| and on the cutting edge of| the fabric of American culture -- high| low| and| especially| in between. This course will examine the many facets of Jewish American literature| both secular and observant| assimilationist and particularist -- from films such as The Jazz Singer (1927) to the fiction of Roth and Bellow to the poetry of Bob Dylan and Adrienne Rich. While we will focus on significant works of fiction and poetry| we also will read within the wider world of philosophy| criticism| radio| film| theater| and television that surround them.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
SENIOR THESIS,GSWS-400,/coursehistories/5225,An introduction to African-American literature| typically ranging across a wide specturm of moments| methodologies| and ideological postures| from Reconstruction and the Harlem Reanaissance to the Civil Rights Movement. Most versions of this course will begin in the 19th century; some versions of the course will concentrate only on the modern period.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
SEX & HUMAN NATURE,ANTH-104,/coursehistories/3817,BE 309 is the first half of the third year continuation of BE 209 and BE 210. It is required for BSE majors and may be taken as an elective by BAS majors.   
BLACK QUEER STUDIES: BLACK QUEER STUDIES: A Diasporic Approach,ANTH-150,/coursehistories/5175,Systematic and critical review of the present economic literature on the health care "industry". Topics include the demography and determinants of illness| the demand for curative and preventive care and determinants of recent health cost inflation| the efficacy of markets| and the role of government.   
FEMINIST ETHNOGRAPHY,ANTH-334,/coursehistories/5177,The course will cover the development and operation of the Soviet centrally planned economy--one of the grandest social experiments of the 20th century. We will review the mechanisms of plan creation| the push for the collectivization and further development of Soviet agriculture| the role of the Soviet educational system and the performance of labor markets (including forced labor camps--GULags). We will discuss the strengths and weaknesses of the Soviet system and the causes of its collapse. Privatization| called by some "piratization|" will be one of the central issues in our consideration of the transition from central planning to a market economy in the early 1990s. Even though our main focus will be on the Soviet economy and post-Soviet transition| we will occasionally look back in time to the tsarist era and even further back to find evidence to help explain Soviet/Russian economic development.   
PUBLIC INTEREST WORKSHOP,ANTH-516,/coursehistories/3278,From the mid-eighteenth to the mid-nineteenth centuries.   
HIGH RENAISSANCE: Benvenuto Cellini & Artistic Self-Fashioning From the Ren to the Modern Era,ARTH-552,/coursehistories/170,Topic Varies.   
GENDER/SEXUALITY E.ASIA,EALC-206,/coursehistories/5205,This course will introduce students to key works of English literature written before 1660. It will explore the major literary genres of this period| as well as the social and cultural contexts in which they were produced. The course will examine how literature texts articulate changes in language and form| as well as in concepts of family| nation| and community during the medieval and early modern periods.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
CONTEMPOR FICT/FILM-JPAN: Contemporary Fiction & Film in Japan,EALC-257,/coursehistories/3347,This course is taught with the more descriptive title of "Scripting for Business Analytics." "Business Analytics" refers to modeling and analysis undertaken for purposes of management and supporting decision making. The varieties of techniques and methods are numerous and growing| including simple equational models| constrained optimization models| probabilistic models| visualization| data analysis| and much more. Elementary modeling of this sort can be undertaken in Excel and other spreadsheet programs| but "industrial strength" applications typically use more sophisticated tools| based on scripting languages. Scripting languages are programming languages that are designed to be learned easily and to be used for special purposes| rather than for large-scale application programming. This course focuses on the special purposes associated with business analytics and teaches MATLAB and Python in this context. MATLAB and Python are widely used in practice (both in management and in engineering)| as are the business analytic methods covered in the course. Prior programming experience is useful| but not required or presumed for this course.   
