NAME,ALIAS,PATH,DESCRIPTION
HEALTH CARE SYSTEMS,HCMG-101,/coursehistories/560,This introductory course takes a policy and politics angle to health care's three persistent issues - access| cost and quality. The roles of patients| physicians| hospitals| insurers| and pharmaceutical companies will be established. The interaction between the government and these different groups will also be covered. Current national health care policy initiatives and the interests of class members will steer the specific topics covered in The course aims to provide skills for critical and analytical thought about the U.S. health care system and the people in it.   
CLIN ISS IN HLTH CR MGMT,HCMG-203,/coursehistories/561,This course will explore the effects of the changing health care environment on the physician| patient and health care manager. It is intended for any undergraduate with an interest in how 1/7th of the American economy is organized as well as those planning careers as health care providers and managers. The course complements other health care courses (that take a societal perspective) by focusing on the individuals who participate in the health care enterprise. There are no prerequisites| as the course will stand on its own content. The course will be divided into modules that focus on the participants of the health care process and the process itself. We will analyze the patient| the doctor| and manager in light of the patient-doctor interaction| the turbulent health care marketplace| expensive new technologies|resource allocation| and ethics.   
MGMT&ECONOFPHARMABIOTEC,HCMG-215,/coursehistories/562,This course provides an overview of the management| economic and policy issues facing the pharmaceutical| biotechnology| and medical device industries. The course perspective is global| but with emphasis on the U.S. as the largest and and most profitable market. Critical issues we will examine include: R&D intensive cost structure and rapid technological change; biotechnology and genomics startups and alliances with the pharma industry; a complex global marketplace in which prices are regulated in most countries and customers include governments and insurers| as well as physicians| pharmacists and consumers; intense and evolving M&A| including mergers| joint ventures| and complex alliances; government regulation of every business function| including R&D| pricing and promotion; and global products and multinational firms. We use Wharton and industry experts from various disciplines to address these issues.   
MEDICAL ECONOMICS,ECON-039,/coursehistories/338,Systematic and critical review of the present economic literature on the health care "industry". Topics include the demography and determinants of illness| the demand for curative and preventive care and determinants of recent health cost inflation| the efficacy of markets| and the role of government.   
ECON & FIN HLTH CARE DEL,HCMG-302,/coursehistories/3101,From the sixteenth century| when Native American populations flourished on the North American continent| to the Civil War| when North and South collided over the question of slavery| women have played a critical role in American society. This course traces the history of women and gender in America during this period with special emphasis on the importance of women's reproductive and economic roles to the emergence of ethnic| racial| regional| and socio-economic categories in the United States. Slides| lectures| and readings drawn from primary documents introduce students to the conditions of women's lives during the colonial and revolutionary periods and to the rise of women's activism in the nineteenth century. In addition| we will consider how dramatic changes in housework| wage labor| female access to public forms of power| and ideas about female sexuality make it difficult to generalize about what is commonly thought of as women's "traditional" or "natural" role.   
ECON & FINCING-HLTHCR DL,HCMG-202,/coursehistories/3396,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at http://writing.upenn.edu/critical.   
HC MGMT&STRAT,HCMG-213,/coursehistories/3397,See department for course description.   
HC QUALITY & OUTCOMES,HCMG-212,/coursehistories/3650,African art is a rich and varied field of study encompassing visual arts and architecture of ancient cultures| regional artistic traditions of diverse peoples in more recent precolonial and colonial times| and contemporary artists| both self-taught and formally trained. The principal goals of this course are to help students to appreciate the scope of this field while also gaining in-depth understanding of particular African artistic traditions| artists| and artworks within specific historical and cultural contexts. Topics to be considered include persistent misconceptions about African art; indigenous African aesthetics; semiotics of African visual signs and sign systems; roles of "traditional artists" in African societies; gender issues in art production| representation| and performance; historical contacts and cultural interaction; spiritual| therapeutic| and political uses of art; and interrelations of visual art with verbal and kinesthetic expression.   
MEDICAL ECONOMICS,ECON-236,/coursehistories/3623,
MANAGED CARE AND INDUSTRIAL ORGANIZATION OF HEALTH CARE,HCMG-845,/coursehistories/4273,The meteoric rise of Hitler's NSDAP in Germany| the nature of Nazi rule| and the final collapse of the Third Reich. The first half of the semester analyzes the appeal of the NSDAP- who joined the party| who voted for it| and why. Nazi mobilization tactics| campaign strategy| and grass-roots techniques| the content of the party's social appeals. The second half of the course concentrates on the Nazis in power| their use of terror and propaganda| their ideological objective| everyday life in the Third Reich| the possibilities of resistance to the regime. Special attention will be devoted to Nazi Jewish policy and the step that led to the "Final Solution" and the Holocaust.   
