NAME,ALIAS,PATH,DESCRIPTION
ELEM MODERN HEBREW I,HEBR-051,/coursehistories/3102,This class will focus on America's expansion into the Pacific around the turn of the century with the acquisition of Hawaii and the Phillipines. It can deal with various issues| including the meaning of "frontier|" colonialism| development of capitalist economies in the region| diplomacy| racism| migration| an American brand of Orientalism in encountering the "natives" and "heathens|"and histories of the West and the Pacific Islands in general.   
ELEM MODERN HEBREW II,HEBR-052,/coursehistories/3103,Before there were movies and radio and television| books were mass media. Over the course of American history| some of them reached extraordinary audiences and achieved extraordinary influence. We will consider a number of those books| from Benjamin Franklin's Way to Wealth to Stephen King's Carrie in an effort to assess continuity and change in the character and concept of America.   
INTR MODERN HEBREW III,HEBR-053,/coursehistories/3104,This course examines the political| cultural| and intellectual history of America between 1954 and 1974. It considers the civil rights movement| the New Frontier and Great Society| the Supreme Court and right politics| the rise of the New Right| the debate over Vietnam| student radicalism| sexual liberation movements| black power| the counterculture| the urban crisis| and white backlash. The course emphasizes the transformation of liberalism and the revitalization of conservatism| and the tensions between integration and separatism| between libertarianism and communitarianism that shaped the social movements of the sixties.   
INTR MODERN HEBREW IV,HEBR-054,/coursehistories/3105,A THOROUGH HISTORICAL| MILITARY| AND SOCIAL HISTORY OF THE VIETNAM WAR| WHICH LASTED IN ONE FORM OR ANOTHER FROM THE END OF WWII IN 1945 TO 1975| IN WHICH OCCURRED THE LONGEST AND MOST HUMILIATING DEFEAT IN OUR HISTORY. SINCE THAT TIME THE VIETNAMESE HAVE PUBLISHED HUNDREDS OF DOCUMENTS| SOME IN ENGLISH| THAT PROVIDE AN ENTIRELY NEW PERSPECTIVE ON WHAT WE BELIEVED DURING THE WAR. THESE| SUPPLEMENTED BY OTHER PRIMARY AND SECONDARY MATERIALS| AS MUCH AS POSSIBLE WRITTEN BY VIETNAMESE OR BY AMERICANS HAVING FIRST-HAND KNOWLEDGE| WILL FORM THE BACKBONE OF THE COURSE. THE VARIOUS AMERICAN AND VIETNAMESE STRATEGIES WILL BE SCRUTINIZED CAREFULLY| AND A GOOD DEAL SAID ABOUT THE HOME FRONT IN AMERICA. THE ACTUAL FIGHTING| THAT DETERMINED THE OUTCOME| WILL NOT BE SLIGHTED. WE EXPECT AT LEAST SOME GUEST SPEAKERS HAVING LONG DIPLOMATIC OR MILIARY EXPERIENCE IN VIETNAM. THE PRESENT WILL BE OUR CONCLUSION. LECTURES TTH 12-1:30; MIDTERM IN CLASS| SHORT PAPER| AND REGULAR FINAL. IF YOU WANT TO UNDERSTAND THE WORLD YOU NOW LIVE IN| THIS COURSE IS A GOOD PLACE TO START.   
INTRO MODERN HEBREW LIT,HEBR-059,/coursehistories/3106,This course will survey the history of relations among the great powers in East Asia from 1600 to the present. Special emphasis will be played upon the peculiarities of cross-national exchange in Asia (as compared to Europe)| particularly the difficulties of relations among states possessing fundamentally different cultural traditions. We will explore the many informal| as well as formal| means of diplomacy in Asia over the past 400 years.   
INTERMED BIBL HEBREW II,HEBR-154,/coursehistories/3107,Open to senior honors candidates in history who will begin writing their honors thesis during this seminar.   
MIDRASH HALAKHA,HEBR-257,/coursehistories/3108,This course will explore ideologies of masculinity and femininity in Latin America from the colonial period to the present. Themes include Mestizaje and the conquest| slavery and the culture of honor| organizing by working-class women| and the political activism of mothers facing authoritatrian governments. Readings are chosen for methodological innovation and the authors' contributions to theorizing gender relations as well as for their substantive treatment of women's and men's interaction in specific countries.   
SEM MODERN HEBREW LIT: Rebel Children: The Statehood Generation in Hebrew Literature,HEBR-359,/coursehistories/3109,A survey based soley on primary sources of the main currents of seventeenth-century European thought: the criticism of inherited systems and of the authority of the past; skepticism| rationalism; empiricism; and the rise of the new natural philosophy. We will study deep conceptual change as an historical phenomenon| examining works that were both profoundly influential in the seventeehtn-century and that are of enduring historical significance. There are no prerequisites| and one of the goals of the course is to make seventeenth-century thought accessible in its context to the twenty-first century student.   
BOOK OF THE BIBLE: Deuteronomy,HEBR-550,/coursehistories/3110,This course will examine the international politics of Europe in the 18th and 19th centuries| up to the outbreak of World War I. During these centuries| the European great powers experienced significant internal transformations and also a revolution in their relations| both of which reinforced and accelerated each other. In the process| Europe asserted a dominant position in world politics| but also sowed the seed for the terrible castrophes of the 20th Century. The course will address this transformation of European diplomacy with special attention to the rivalries between the great powers| the impact of nationalism and emerging mass politics| the interplay between military and economic power| and the relationship between the European powers and the rest of the world.   
RABBINIC WRITERS CULTURE,RELS-426,/coursehistories/3236,This course focuses on the creation of competitive advantage in the multinational firm. It examines the nature of global competition by exploring the characteristics of global versus non-global industries and firms. We also explore different types of international strategy and structure and examine the specific challenges of managing in multiple countries and markets. Finally| we consider the strategic allocation of resources along the value chain and the role of strategic alliances as a crucial element of an effective global strategy.   
