NAME,ALIAS,PATH,DESCRIPTION
EUR WIDER WORLD,HIST-001,/coursehistories/563,How did the world we now live in come to be? Is globalization a recent development or does it have a history of its own? At what point can we say that a world economy emerged and what sort of relations of production and distribution linked it together? When did people start thinking and acting as citizens of nations rather than as subjects of rulers or members of religious or ethnic communities| and what were the consequences? How should we conceptualize the great revolutions (French| American| Russian| Chinese) that would determine the landscapes of modern global politics? This course is designed to help us think about the "making of the modern|" not by means of an exhaustive survey but by exploring a range of topics from unusual perspectives: piracy| patriotism| prophecy; global struggles for political and human rights|drivers of war and peace| capitalism| nationalism| socialism| fascism| fundamentalism; communication and culture.   
LECTURE,HIST-002,/coursehistories/564,An examination of European social| economic| political and cultural development from 1500 to the present| with attention to Europe's impact on the rest of the world.   
MEDICINE AND MAN,HIST-009,/coursehistories/565,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
LECTURE,HIST-011,/coursehistories/566,This course examines American history from the first contacts of the indigenous peoples of North America with European settlers to our own times by focusing on a few telling moments in this history. The course treats twelve of these moments. Each unit begins with a specific primary document| historical figure| image| location| year| or cultural artifact to commence the delving into the American past. Some of these icons are familiar| but the ensuing deciphering will render them as more complicated; some are unfamiliar| but they will emerge as absolutely telling. The course meets each week for two 50-minute team-taught lectures and once recitation session. Course requirements include: in-class midterm and final exams; three short paper assignments; and punctual attendance and participation in recitations.   
HIST OF US TO 1865,HIST-020,/coursehistories/567,An analysis of American society from the founding of the Colonies to the outbreak of Civil War. Topics to be emphasized include: the interaction among European| Indian and African cultures in the New World; the shaping of the distinctive American character; the creation of an independent nation-state; and the crisis of the Union. Special attention will be given to biographical profiles of the men and women who helped shape American history during this period.   
LECTURE,HIST-021,/coursehistories/568,This course covers the social| political| and economic history of the United States from the end of the Civil War to the present. Topics to be discussed include Reconstruction| politics in the Gilded Age| late nineteenth-century urbanization and immigration| Populism| Progressivism| the rise of the United States to world power| the culture and politics of the twenties| the New Deal| the Cold War| post-World War II America| the turbulence of the sixties| the conservative resurgence| and the move toward a more pluralistic society.   
EARLY MOD EUR 1450-1750,HIST-040,/coursehistories/569,This course examines those European developments which contributed to the world we understand as modern. Special emphasis will be placed on the transformation of Europe through the advent of new technologies| the creation of a global economy| the consolidation of territorial states| the rise of effective| central governments| the dissolution of religious unity| and the dialect between modern and traditional world views.   
RUSSIA IN THE 20TH CENT,HIST-049,/coursehistories/570,Out of an obscure| backward empire| the Soviet Union emerged to become the great political laboratory of the twentieth century. This course will trace the roots of the world's first socialist society and its attempts to recast human relations and human nature itself. Topics include the origins of the Revolution of 1917| the role of ideology in state policy and everyday life| the Soviet Union as the center of world communism| the challenge of ethnic diversity| and the reasons for the USSR's sudden implosion at the end of the century.Focusing on politics| society| culture| and their interaction| we will examine the rulers (from Lenin to Gorbachev) as well as the ruled (peasants| workers| and intellectuals; Russians and non-Russians). The course will feature discussions of selected texts| including primary sources in translation.   
ENGLAND & BRIT ISLES: BRITISH HISTORY TO 1688,HIST-050,/coursehistories/571,The subject of this course is the history of the British Isles from the Roman Conquest in 43AD to the creation of the United Kingdom in 1707. Between these two dates the various societies and cultures in the British Isles were brought into the orbit of the Roman Empire| converted to latin Christianity| and developed distinctive cultures and strong ties with the Continent. From the twelfth century on| the kingdom of England began to exert its power over Wales| Ireland| and Scotland| although English power waxed and waned in these areas between the twelfth and the seventeenth centuries. The Anglo-Norman continental empire of the Plantagenet dynasty also played a large part in shaping the English monarchy| as did the playing out of the Hundred Years War| the internal divisions in fifteenth-century English society| and the rise of the Tudor-Stuart dynasty.   
LECTURE,HIST-071,/coursehistories/572,Surveys Latin American and Caribbean history from the Haitian Revolution of 1791 to the present. We will examine the legacy of Spanish colonialism and slavery| movements for national and cultural independence| twentieth-century radicalism| and the politics of race in contemporary Latin America. Readings include fictional as well as analytical representations| and a film series will accompany the course.   
