NAME,ALIAS,PATH,DESCRIPTION
INTRO SOCI RESEARCH,HSOC-100,/coursehistories/620,This course surveys the different sociological methods| including: survey| content analysis| historical-comparative| participant observation and ethnographic perspectives. It reviews research design| experimental design| evaluation methods| research ethics and the uses of research. Students explore these methods and perspectives in class assignments and exercices. A brief introduction to SPSS (statistical package for the social sciences) is also provided.   
HEALTH & DIS DEVEL WORLD,HSOC-206,/coursehistories/621,This course will explore the current context of health policy| health reform| and health service delivery in the developing world. After examining global economic and political context of health care| students will analyze the role that economic development plays in promoting or undermining health. Students will examine key disease challenges such as tuberculosis| malnutrition| and HIV/AIDS.   
WOMEN AND HEALTH,HSOC-216,/coursehistories/622,This course explores the ways in which the production of medical knowledge| theprovision of health care| and the experiences of health| illness| and bodily changes are gendered and will consider how and why they are gendered in different ways in different parts of the world. The course begins with an introduction to relevant theoretical materials from feminist studies| anthropology| sociology and political economy| on sexuality| the body| and reproduction. Students will then read ethnographic material that analyzes experiences such as sexual maturation| reproduction| eating disorders| aging| and sex work - as well as ordinary encounters with medical systems - as experienced through and with the gendered body in a variety of contexts around the world. Students will have the chance to conduct ethnographic interviews| and will write final research papers that integrate this ethnographic material| along with library material| in the study of a particular gendered medical experience in the U.S. or another region of the world. Note: both men's and women's health issues will be addressed.   
PUBLIC HEALTH IN AMER,HSOC-317,/coursehistories/623,This seminar asks the question: What is public health in the United States? It will examine this question from three vantage points| history| contemporary policy and community service. This mixture of teaching approaches is especially well suited to the complex multiparty negotiations that have characterized public health in the United States since the nineteenth century. The web of highly charged socioeconomic and political relationships that encases public health decision-making involves several professions| various levels of government and a shifting array of community groups and private citizens. By placing these relationships in both historical and contemporary context this course allows students a deeper understanding of the social interactions that are - and have been -- at the heart of American public health work.   
MED ANTH OF ALCOHOL USE,ANTH-154,/coursehistories/124,The morality| rights| and responsibilities of alcohol use are hotly debated in the United States. The rhetoric of appropriate use ranges from Puritan-inspired abstinence campaigns| through health-promoting moderation arguments| to discourses legitimizing hedonism. The result of a lack of clear cultural paradigms for intoxicant use is clearly seen on college campuses| where movements for zero-tolerance alcohol bans coexist with social rituals that include binge drinking. This course will utilize medical anthropology theory to: 1) contextualize the phenomenon historically and cross-culturally; 2) encourage students to critically analyze existing paradigms which determine acceptable usage and treatment modalities; 3) use the University of Pennsylvania campus as a local case study/field site to investigate alcohol use. Students will move from theory to action through creation of a feasible proposal addressing alcohol-use education on Penn's campus| or will participate in the modification and implementation of existing proposals to promote rational and low-risk use of alcohol in the college community.   
COMPARATIVE MEDICINE,HSSC-145,/coursehistories/629,This course focuses on health and healing in the colonial and post-colonial world. We give special attention to local healing under condition of domination| to definitions of the body and the person in biomedicine and in non-European healing traditions| and to the political and cultural place of medicine in regions which have experienced colonial rule.   
MEDICAL SOCIOLOGY,SOCI-275,/coursehistories/1057,This course will give the student an introduction to the sociological study of medicine. Medical sociology is a broad field| covering topics as diverse as the institution and profession of medicine| the practice of medical care| and the social factors that contribute to sickness and well-being. Although we will not explore everything| we will attempt to cover as much of the field as possible through four thematic units: (1) the organization and development of the profession of medicine| (2) the delivery of health-care| especially doctor-patient interaction| (3) the social and cultural factors that affect how illness is defined| and (4) the social causes of illness. The class will emphasize empirical research especially but not only quantitative research.   
LAW AND MEDICINE,HSOC-125,/coursehistories/1356,The course is intended as an introduction to continuum mechanics in both solid and fluid media| with special emphasis on the application to biomedical engineering. Once basic principles are established| the course will cover more advanced concepts in biosolid mechanics that include computational mechanics and bio-constitutive theory. Applications of these advanced concepts to current research problems will be emphasized.   
FUNDMTLS OF EPIDEMIOLOGY,HSOC-230,/coursehistories/1357,This is a practically-oriented course in the analysis of biomedical signals focusing on medically significant applications. The specific applications will vary from year to year| but lectures will include the nature of major signals of biomedical importance| diginal signal processing including convolution| digital filtering| wavelet analysis. The course will include student experiments using Matlab and independent projects.   
DISEASE & SOCIETY,HSOC-430,/coursehistories/1358,This course provides a comprehensive background in biomaterials. It covers surface properties| mechanical behavior and tissue response of ceramics| polymers and metals used in the body. It also builds on this knowledge to address aspects of tissue engineering| particularly the substrate component of engineering tissue and organs.   
