NAME,ALIAS,PATH,DESCRIPTION
TECH & AMER CITIES,HSSC-013,/coursehistories/624,This course will show how new urban technologies| such as transport| sanitary systems| electrical grids| and highways facilitated the growth of the decentralized city| and how they shape the values and attitudes of urban dwellers.   
SCI MAGIC & RELIGION,HSSC-025,/coursehistories/625,Throughout human history| the relationships of science and religion| as well as of science and magic| have been complex and often surprising. This course will cover topics ranging from the links between magic and science in the seventeenth century to contemporary anti-science movements.   
SCIENCE & LITERATURE,HSSC-110,/coursehistories/626,HSSC 110 will explore the emergence of modern science fiction| the ways it has reflected our evolving conceptions of the universe| and its role as the mythology of modern technological civilization. Topics include: "Science & Utopia|" "The Discovery of the Future|" "Imagining Mars|"| "SF| Robots| & the Class Struggle|" "Superman & the ubermensch|" "The American Hero|" "The Golden Age|" "Cold War SF" and "Gods| Aliens & Destiny."   
COMPUTER LEARN ARTS SCI,HSSC-120,/coursehistories/627,
SCIENCE AND THE BODY,HSSC-130,/coursehistories/628,This course will explore how scientific interpretations of the body have reflected culture. Topics include biology of sex| 1700 to present| racialized bodies| craniometry| eugenics and the social meaning of DNA.   
COMPARATIVE MEDICINE,HSSC-145,/coursehistories/629,This course focuses on health and healing in the colonial and post-colonial world. We give special attention to local healing under condition of domination| to definitions of the body and the person in biomedicine and in non-European healing traditions| and to the political and cultural place of medicine in regions which have experienced colonial rule.   
SCI TECH & WAR,HSSC-212,/coursehistories/630,In this survey we explore the relationships between technical knowledge and war in the nineteenth and twentieth centuries. We attend particularly to the centrality of bodily injury in the history of war. Topics include changing interpretations of the machine gun as inhumane or acceptable; the cult of the battleship; banned weaponry; submarines and masculinity; industrialized war and total war; trench warfare and mental breakdown; the atomic bomb and Cold War; chemical warfare in Viet Nam; and "television war" in the 1990s.   
Cyberculture,HSSC-213,/coursehistories/631,Free speech| free software| MOOS| MUDs| anime and cyberpunk. All of these are elements of a braod set of social| technical and political phenomena generally associated with the emergence of a nascent "cyberculture".In this seminar we explore the ways in which recent developments in information technology -- the computer and the Internet in particular -- related to changing contemporary notions of community| identity| property and gender. By looking at an eclectic collection of popular and scholarsly resources including film| fiction and the World Wide Web| we will situate the development of cyberculture in the larger history of the complex relationship between technology and Western society.   
COMPUTERSETHICS SOC VAL,HSSC-215,/coursehistories/632,This course will explore the various social implication of information technology: social| cultural| political and economic. Topics will include technology policy| organizational change| globalism and the digital divide| intellectual property rights| Linux and the free software movement| cyber libertarianims| and the rise and fallof the dot.com economy.   
TECH IN AMERICAN HISTORY,HSSC-221,/coursehistories/633,This course explores technology in the United States from the late 19th century to the present day. Specific topics are chosen to reflect the diversity of American technological environments| artifacts and participants. From factory floor to suburban kitchen| eccentric inventors to student demonstrators| Model Ts to Macs| the emphasis is not simply on the machines themselves| but on the connections between technologies and the societies and cultures that create them.   
ENVIRONMENTAL HISTORY,HSSC-265,/coursehistories/634,The focus of this course will be on interactions between human and natural agencies in migrations agricultural and technological systems and the use of natural resources.   
KNOW & SOC STRUC,HSSC-270,/coursehistories/635,Throughout human history| the relationships of science and religion| as well as of science and magic| been omplex and often surprising. This course we cover topis ranging from the links between magic and science in the seventeenth century to contemporary anti-science movements.   
GENDER AND SCIENCE,HSSC-330,/coursehistories/636,This course explores the gendered nature of science as social endeavor| intellectual construct and political resource. We consider the rise of gentlemanly science| masculinity and the arms race| the notion of a "Successor science" grounded in feminist theory| and the historical role of gender in defining who can do science and what counts as scientific data. We also explore how science has interpreted male-female differences. Our goal is to understand the profound impact of social place in the history of science| and thereby to understand the social nature of scientific knowledge.   
WHO OWNS THE PAST,HSSC-438,/coursehistories/637,The recent controversies over the Enola Gay exhibit and the teaching of U.S. history to school children have made exceptionally visible the degree to which history may be used to define national identity. Scientific achievements may play central roles in partisan accounts--both as testimonials to national virtue and as the means to resolve various sorts of disputes. This course will discuss the uses of history in contemporary and past situations| drawing examples from the U.S.| Europe| the Middle East| and Africa.   
READING SEM HIST MED,HSSC-507,/coursehistories/638,
ENVIRONMENTAL HISTORY,HSSC-565,/coursehistories/639,A reading seminar in recent environmental or ecological history. Topics include epidemics and history| the Columbian exchange| the ecology of land-use and settlement| cultural perceptions of nature| cities and their regions| and ecology and environmentalism.   
HEALTH & DIS DEVEL WORLD,HSOC-206,/coursehistories/621,This course will explore the current context of health policy| health reform| and health service delivery in the developing world. After examining global economic and political context of health care| students will analyze the role that economic development plays in promoting or undermining health. Students will examine key disease challenges such as tuberculosis| malnutrition| and HIV/AIDS.   
WOMEN AND HEALTH,HSOC-216,/coursehistories/622,This course explores the ways in which the production of medical knowledge| theprovision of health care| and the experiences of health| illness| and bodily changes are gendered and will consider how and why they are gendered in different ways in different parts of the world. The course begins with an introduction to relevant theoretical materials from feminist studies| anthropology| sociology and political economy| on sexuality| the body| and reproduction. Students will then read ethnographic material that analyzes experiences such as sexual maturation| reproduction| eating disorders| aging| and sex work - as well as ordinary encounters with medical systems - as experienced through and with the gendered body in a variety of contexts around the world. Students will have the chance to conduct ethnographic interviews| and will write final research papers that integrate this ethnographic material| along with library material| in the study of a particular gendered medical experience in the U.S. or another region of the world. Note: both men's and women's health issues will be addressed.   
PUBLIC HEALTH IN AMER,HSOC-317,/coursehistories/623,This seminar asks the question: What is public health in the United States? It will examine this question from three vantage points| history| contemporary policy and community service. This mixture of teaching approaches is especially well suited to the complex multiparty negotiations that have characterized public health in the United States since the nineteenth century. The web of highly charged socioeconomic and political relationships that encases public health decision-making involves several professions| various levels of government and a shifting array of community groups and private citizens. By placing these relationships in both historical and contemporary context this course allows students a deeper understanding of the social interactions that are - and have been -- at the heart of American public health work.   
