NAME,ALIAS,PATH,DESCRIPTION
COMP CAPITALIST SYSTEMS,INTS-732,/coursehistories/4294,This course explores technology in the United States from the late 19th century to the present day. Specific topics are chosen to reflect the diversity of American technological environments| artifacts and participants. From factory floor to suburban kitchen| eccentric inventors to student demonstrators| Model Ts to Macs| the emphasis is not simply on the machines themselves| but on the connections between technologies and the societies and cultures that create them.   
EAST ASIAN AREA SURVEY,INTS-711,/coursehistories/4869,A continuation of AMES 070| modern spoken Mandarin| especially designed for the development of oral proficiency.   
INTL POL ECON BUS ENVIRN,INTS-721,/coursehistories/5131,This course examines children's relationship to media in its historic| economic| political and social contexts. The class begins with an exploration of the ways in which "childhood" is created and understood as a time of life that is qualitatively unique and socially constructed over time. It continues with a review of various theories of child development as they inform children's relationship with and understanding of television and other household media. It next reviews public policies designed to empower parents and limit children's exposure to potentially problematic media content and simultaneously considers the economic forces that shape what children see and buy. Children and Media concludes with a critical examination of research on the impact of media on children's physical| cognitive| social and psychological development.   
LAT AMERICA AREA SURVEY,INTS-712,/coursehistories/5287,Development of a rational approach to the design of structural members subjected to various load conditions. Although basic principles applicable to any material are considered| emphasis is on the design of steel in accordance with the relevant building codes and specifications.   
EUROPEAN AREA HST SURVEY,INTS-713,/coursehistories/5492,This course is the usual entry point in the actuarial science program. It is required for students who plan to concentrate or minor in actuarial science. It can also be taken by others interested in the mathematics of personal finance and the use of mortality tables. For future actuaries| it provides the necessary knowledge of compound interest and its applications| and basic life contingencies definition to be used throughout their studies. Non-actuaries will be introduced to practical applications of finance mathematics| such as loan amortization and bond pricing| and premium calculation of typical life insurance contracts. Main topics include annuities| loans and bonds; basic principles of life contingencies and determination of annuity and insurance benefits and premiums.   
POLITICS POWER & WEALTH: Politics of Power and Wealth,INTS-692,/coursehistories/5806,Consult department for detailed descriptions. More than one course may be taken in a given semester. Recent titles have included: Race Development and American International Relations| Hegel and Marx| and Logic of the West.   
THE GLOBAL LEADER,INTS-693,/coursehistories/5910,Sociology provides a unique way to look at human behavior and social interaction. Sociology is the systematic study of the groups and societies in which people live. In this introductory course| we analyze how social structures and cultures are created| maintained| and changed| and how they affect lives of individuals. In this course| we will reconsider our taken for granted world and examine what theory and research can tell us about our social world.   
POLITICS POWER & WEALTH,INTS-762,/coursehistories/6045,History| especially ancient history| is often written as the deeds of kings and elite males. But how did the majority of the population| men and women| live in the ancient Middle East? What were the basic family units and where and how did they live? What were their legal rights and religious beliefs? How did institutions such as temples and palaces impact on their lives| and how much freedom did they have? In this class we will work from ancient texts in translation to follow ancient women and men through the course of their lives| from cradle to grave| and explore their experiences of life at work and at home| love| marriage| and divorce| until death and beyond.   
ADV TOPS IN INTL STUDIES,INTS-750,/coursehistories/6169,The single most resilient structure in the vertabrate body is the dentition. Because tooth enamel is over 90% mineral in composition| teeth have a tendency to be preserved in the fossil and archaeological record. This course will explore in detail all aspects of the structure and microstructure of the dentition used in biological anthropology. These topic areas include: demography of ancient populations| fossil studies including the use of the dentition in the construction of evolutionary relationships| the dentition as population health markers| growth and development studies| and the relationship of teeth/masticatory complex to diet. Opportunity exists for independent research on Museum collections (including topics covered within forensic anthropology).   
INT'L ORDER-MAKING: International Order-making,INTS-763,/coursehistories/6170,An ethnography of the Church of Jesus Christ of Latter-day Saints in its role today as an emerging world religion| and in its historical origins as an American revitalization movement. Considers world view| social organization| conversion| acculturation| life-course development| belief and disbelief| and the use of advanced technology in the administrative direction of the Church's culture. A research paper is required (20-25 page limit).   
INTL NORMS GLOBAL GVRNC: International Norms & Global Governance,INTS-510,/coursehistories/6281,Laboratory methods in biochemical and genetic engineering. Molecular cloning techniques. DNA amplification and sequencing techniques. Culture of microbial cells. Recovery and purification of a microbial product enzyme. Measurement of enzyme activity.   
