NAME,ALIAS,PATH,DESCRIPTION
INTRO. TO ITALIAN CINEMA,ITAL-080,/coursehistories/644,Italian national cinema from the Golden Age of silent film and classics of Neorealism to present| covering work of a dozen major directors. Films discussed in context of history from the Unification| national vs. regional identity| gender roles| contemporary politics. Readings in Italian history| Italian film history| and theory of cinema. Taught in English.   
ELEMENTARY ITALIAN,ITAL-110,/coursehistories/645,A first semester elementary language course for students who have never studied Italian or who have had very little exposure to the language. Students who have previously studied Italian are required to take the placement test. Class work emphasizes the development of the oral-aural skills| speaking and listening. Readings on topics in Italian culture as well as frequent writing practice are also included. Out-of-class homework requires work with the Internet| audio and video materials.   
ELEMENTARY ITALIAN-ACCEL,ITAL-112,/coursehistories/646,An intensive two-credit course covering the first and second semester of the elementary year for students who have never studied Italian before but have already fulfilled the language requirement in another modern language| preferably a romance language. Students who have fulfilled the language requirement in a language other than a romance language will be considered on an individual basis. All students must have departmental permission to register.   Class work emphasizes the development of the oral-aural skills| speaking and and listening. Readings on topics in Italian culture as well as frequent writing practice are also included. Out-of-class homework requires work with the Internet| audio and video materials.   
ELEMENTARY ITALIAN,ITAL-120,/coursehistories/647,This course is the continuation of the elementary level sequence designed to develop functional competence in the four skills. Class work emphasizes the further development of the oral-aural skills| speaking and listening. Readings on topics in Italian culture as well as frequent writing practice are also included. Out-of-class homework requires work with the Internet| audio and video materials.   
INTERMEDIATE ITALIAN,ITAL-130,/coursehistories/648,Italian 130 is the first half of a two-semester intermediate sequence designed to help you attain a level of proficiency that will allow you to function comfortably in an Italian-speaking environment. The course will build on your existing skills in Italian| increase your confidence and your ability to read| write| speak and understand the language| and introduce you to more refined lexical items| more complex grammatical structures| and more challenging cultural material. You are expected to have already learned the most basic grammatical structures in elementary Italian and to review these. The course textbook| together with all supplementary materials| will allow you to explore culturally relevant topics and to develop cross-cultural skills through the exploration of similarities and differences between your native culture and the Italian world.   
INTERMEDIATE ITALIAN-ACC,ITAL-134,/coursehistories/649,Italian 134 is the intensive and accelerated course that combines in one semester the intermediate sequence (130 and 140). It will build on your existing skills in Italian| increase your confidence and your ability to read| write| speak and understand the language| and introduce you to more refined lexical items| more complex grammatical structures| and more challenging cultural material. You are expected to have already learned the most basic grammatical structures in elementary Italian and to review these on your own. The course will allow you to explore culturally relevant topics and to develop cross-cultural skills through the exploration of similarities and differences between your native culture and the Italian world.   
INTERMEDIATE ITALIAN,ITAL-140,/coursehistories/650,Italian 140 is the second half of a two-semester intermediate sequence designed to help you attain a level of proficiency that will allow you to function comfortably in an Italian-speaking environment. The course will build on your existing skills in Italian| increase your confidence and your ability to read| write| speak and understand the language| and introduce you to more refined lexical items| more complex grammatical structures| and more challenging cultural material. You are expected to have already learned the most basic grammatical structures in elementary Italian and to review these on your own. The course will allow you to explore culturally relevant topics and to develop cross-cultural skills through the exploration of analogies and differences between your native culture and the Italian world. The course will move beyond stereotypical presentations of Italy and its people to concentrate on specific social issues together with cultural topics.   
ADV GRAM & WRITING SKILL,ITAL-202,/coursehistories/651,In Italian 202 (formerly 205)| students will perfect their communication skills to function in the formal register appropriate for an academic setting| while continuing to explore significant aspects of contemporary Italian culture and history. Students will take futher steps towards being able to understand in depth and to contextualize authentic Italian documents. Texts like films| songs| and a variety of readings| will be used as windows on particular historical periods| cultural movements| political issues| and social customs. They will serve as a tool to investigate the many facets of Italian identity and| at the same time| as a way to prepare those students who will continue their study of Italian literature and culture in higher-level courses.   Students are expected to participate willingly in conversations and all other class activities in order to perfect their oral and written ability to narrate| express opinion| hypothesize| and discuss a variety of topics quite accurately| using rich| appropriate vocabulary and grammar| and organizing paragraphs into well structured discourses| be they oral presentations| weekly compositions (2-2.5 pages) or the final essay (6-7 pages). To reach these goals| speaking| listening| reading and writing activities -- role plays| discussions| oral presentations| journals| grammar reviews -- will be based on audio-visual material and written texts provided by the instructor| and purchased and/or proposed by the students themselves| based on their independent explorations and research.   
ITALIAN PLAY PRODUCTION,ITAL-214,/coursehistories/652,The purpose of this course is to reinforce the students' command of Italian language and to improve their knowledge and understanding of contemporary culture and theater through a play production which will be performed at the end of the semester. Class meetings will analyze a play of a 20th Century Italian writer in lectures| discussions| and demonstrations as well as provide lab time for extended workshops in acting| directing| design and production problems. Students will be asked to attend all the rehearsals. The course will be conducted entirely in Italian.   
INTRO TO ITAL LIT II,ITAL-216,/coursehistories/653,Focusing on the moon and its nocturnal effects as represented in film| opera| literature and art| this course offers a survey of the last four centuries of Italian literature and culture. Man stepped on the Moon on July 20| 1969 and since then Armstrong's footprint has remained in the lunar dust. We know now that the Moon is a vast and deserted landscape where no life is possible. Now that we have succeeded in contaminating the Moon with our presence| is Science Fiction the only possible discourse on the Moon other than the one carried on by astronomers? What is left of the romantic lunar dream? Can those human footprints destroy the image of the kissing faces that romantic painters saw on the lunar disk? Can we still fly on the Moon looking for Orlando's common sense? or imagine our satellite populated by lurid| gesticulating goblins who cause the monstrous metamorphosis of werewolves? Have we finally succeeded in realizing the futuristic scream by Marinetti "Let's kill the moonlight?" These are some of the questions this course will address and discuss by reading or viewing works (in their entirety or in excerpts) by the following authors: Luciano| Ariosto| Tasso| Galileo| Goldoni| Pindemonte| Parini| Leopardi| Bellini| Donizzetti| Salgari| Capuana| D'Annunzio Pirandello| Fellini| Calvino.   
FILMS FROM LITERATURE,ITAL-280,/coursehistories/654,Topics vary.   
DANTE AND BOCCACCIO,ITAL-330,/coursehistories/655,
WOMAN IN POETRY,ITAL-534,/coursehistories/656,
ITALIAN HISTORICAL NOVEL,ITAL-575,/coursehistories/657,Topics for discussion may vary from semester to semester. One possible topic is: "History and Ecstasy: Progression and Suspension of Time in Late 19th- Century Italian Narrative." How will it finish? This is the question which everyone asks when reading a novel. However| in late 19th-century Italian narrative| the ending sometimes awaits us within the story| hidden in its symbolic plot and its pauses. What are the expressive and narrative techniques used by an author to recount time suspended in a structure dominated by a chronological and causal progression? And what are the reasons making the narrative--from Verga to D'Annunzio--open its story and history to that which is beyond them| as a type of "eternal present"?   
ITALIAN HISTORY AND FILM,HIST-322,/coursehistories/600,Modern Italy has added to the traditional belle arti of painting| sculpture and architecture new fields like fashion| industrial design and film. "Made in Italy" has come to stand all over the world for quality workmanship and fine design. Yet this same country has been involved in the last hundred years in two terrible world wars| a brutal fascist dictatorship| violence both political and criminal and a flood of emigration. In this course we will review that history| its triumphs and disasters| by combining film and written texts. Both media are equally important and ought to enrich each other. The weekly film is part of that work and you will be expected to do the assigned reading as well. This course will be open to seniors and juniors| and sophomores (with special permission).   
ITAL CONVER IN RESIDENCE,ITAL-180,/coursehistories/1370,Advanced research in Emergency Medicine.   
SURVEY OF ITAL THEATER,ITAL-217,/coursehistories/1371,This seminar is intended for students who do not plan to take any additional biology courses| but would like to know what "all the excitement" of modern biology is about. We will cover both the basics of molecular biology and how biotechnology effects our lives. Specific topics will include: DNA fingerprinting| environmental and health applications of genetic engineering and the human genome project.   
ADVANCED BUSINESS ITAL,ITAL-308,/coursehistories/1372,Topics in conservation will be discussed.   
THE MEDIEVAL READER,ITAL-310,/coursehistories/1373,Students will be introduced to the art of reading scientific papers. Students will develop critical reading and analytic skills as well as an appreciation for experimental design and hypothesis testing. The course will focus on the mechanism(s) whereby infections may trigger autoimmune diseases such as rheumatic fever| diabetes| and lupus. Relevant techniques in molecular biology will be introduced. No prior knowledge of biochemistry| genetics| or immunology is expected.   
DANTE'S DIVINE COMEDY,ITAL-333,/coursehistories/1374,General principles of biology that have been established by studies of microbes| animals| and plants and the viruses of these organisms will be covered. Emphasis will be on the basic chemistry of life| cell biology| molecular biology| and genetics. The study of developmental pathways and evolutionary trends in life cycles will be explored using plants as model organisms.   Biology Majors and Pre-Medical students should take either BIOL 101 or 121. BIOL 101 is the companion course to BIOL 102| may be taken before or after BIOL 102.   Lab fee $150.   
LINGUA DELLA TELEVISIONE,ITAL-370,/coursehistories/1375,General principles of biology focusing on structure and function of animals| with emphasis on the principles of physiology| development| evolution| ecology| and the diversity of adaptations.   BIOL 102 is the companion course to BIOL 101| may be taken before or after BIOL 101.   Lab fee $150.   
EPIC LOVE: Aristo and Tasso,ITAL-540,/coursehistories/1376,The second semester of an intensive introductory lecture and laboratory course covering developmental biology| anatomy| physiology| and ecology. This course is comparable to Biol 102| but places greater emphasis on molecular mechanisms and experimental approaches. Particular attention will be devoted to the function and manipulation of animal and plant tissues and physiological systems| the pathology of disease| evolutionary processes| population dynamics| and environmental biology.   
NARRATIVA '800-'900,ITAL-572,/coursehistories/1377,An introduction to protein structure| enzyme kinetics| mechanism of enzyme action and allosteric regulation of enzyme activity; introduction to cell structure and function including membrane structure| membrane receptors and signal transduction| motility| and the cell cycle.   
BUSINESS ITALIAN I,ITAL-208,/coursehistories/1946,This course is designed to provide an understanding of the corrosion principles and the engineering methods used to minimize and prevent corrosion. Metals and alloys are emphasized because these are the materials in which corrosion is the most prevalent. Aqueous environments are also emphasized these are the common corrosion conditions.   In the first half of the course| the impact and electrochemical nature of corroare described| and then the corrosion fundamentals (electrochemical reactions| phase (pourbaix) diagrams| aqueous corrosion kinetics| passivity| and high-temperature oxidation) are emphasized. The forms of corrosion (galvanic| pitting and crevice| environmentally induced cracking) and corrosio in the human body (for example| surgical implants and prosthetic devices) and in other selective environments (concrete| seawater| and water solutions conta dissolved salts| sulfur| and bacteria) are also described in the second half. Corrosion in the human body (for example| surgical implants and prosthetic devices) and in othr selective environments (concrete| scawater| and water solutions containing dessolved salts| sulfur| and bacteria) are also described in the second half.   
VIVA VOCE,ITAL-210,/coursehistories/1947,Independent student or team research on the design and construction of an original experimental or theoretical project related to materials science. The results of this project are presented at the end of the year in the form of a thesis and in an oral presentation to peers and faculty.   
INTRO TO LITERATURE,ITAL-215,/coursehistories/1948,The atomic structure of condensed matter is dependent upon temperature| pressure| thermal history and other variables. In this course| the science of such structural transitions is treated. The topics discussed include introduction to statistical mechanics| theory of nucleation and growth kinetics| solidification| diffusionless solid state transformations| and microscopic theory of phase transition.   
PAINTERS AND POETS: Painters and Poets: Language and Vision in the Italian Renaissance,ITAL-241,/coursehistories/1949,The course will focus on the various approaches to make nanostructures including nanotubes| wires| quantum dots| patterned devices. The lab component of the course includes synthesis of nanoparticles and tubes| sintering and mass transport| colloidal stabilization and hybrid tunneling devices and nanolithography. For each case fundamental concepts are presented| lab results are discussed and compared to prevailing theories. Measurement tools utilized are chemical synthesis| chemical vapor deposition| e-ray diffraction| electron microscopy| atomic force microscopy| and electronic transport probes.   
BOCCACCIO'S WOMEN: Boccaccio's Women: Female Identities in the Middle Ages,ITAL-537,/coursehistories/1950,Instruction chamber music performance for music majors and minors only. Students must demonstrate in an audition that they have already attained an intermediate level of musical performance.   
