NAME,ALIAS,PATH,DESCRIPTION
SENIOR RESEARCH SEMINAR,JWST-390,/coursehistories/658,JWST 390 is required of all students majoring in the Interdisciplinary Jewish Studies major| but all majors and minors in the various departmental programs are encouraged to take the seminar. Students will conduct independent research and complete a 20-30 page paper.   
ELEM BIBLICAL HEBREW,AMES-050,/coursehistories/33,An introduction to the grammar of biblical Hebrew with an emphasis on developing language skills in handling Biblical texts.   
ELEM MODERN HEBREW I,AMES-051,/coursehistories/34,An introduction to the skills of reading| writing| and conversing in modern Hebrew. This course assumes no previous knowledge of Hebrew.   
ELEM MODERN HEBREW II,AMES-052,/coursehistories/35,A continuation of AMES 051| First Year Modern Hebrew| which assumes basic skills of reading and speaking and the use of the present tense. Open to all students who have completed one semester of Hebrew at Penn with a grade of B- or above and new students with equivalent competency.   
INTRM MODERN HEBREW III,AMES-053,/coursehistories/36,Development of the skills of reading| writing| and conversing in modern Hebrew on an intermediate level. Open to all students who have completed two semesters of Hebrew at Penn with a grade of B- or above and new students with equivalent competency.   
INTRM MODERN HEBREW IV,AMES-054,/coursehistories/37,This course constitutes the final semester of Intermediate Modern Hebrew. Hence| one of the main goals of the course is to prepare the students for the proficiency exam in Hebrew. Emphasis will be placed on grammar skills and ability to read literary texts. Open to all students who have completed three semesters of Hebrew at Penn with a grade of B- or above and new students with equivalent competency.   
ADV RDG MOD HEBREW TEXTS,AMES-059,/coursehistories/38,Further development of reading| writing| and speaking skills in modern Hebrew. The course is designed for students who have completed the basic language courses and passed the proficiency examination (or passed the Department's placement test at the appropriate level). The readings are based on literary texts and poetry. Special attention is given to the recurrence of biblical themes in modern Hebrew writing.   
GREAT BOOKS OF JUDAISM,AMES-151,/coursehistories/59,The study of four paradigmatic and classic Jewish texts so as to introduce students to the literature of classic Judaism. Each text will be studied historically -- "excavated" for its sources and roots -- and holistically| as a canonical document in Jewish tradition. While each text will inevitably raise its own set of issues| we will deal throughout the semester with two basic questions: What makes a "Jewish" text? And how do these texts represent different aspects of Jewish identity? All readings will be in translation.   
JEWISH LAW & ETHICS,AMES-152,/coursehistories/60,An introduction to the literary and legal sources of Jewish law within an historical framework. Emphasis will be placed upon the development and dynamics of Jewish jurisprudence| and the relationship between Jewish law and social ethics.   
MOD JEWISH LIT IN TRANS: Literary Pluralism-Immigrants Women Arabs & Others,AMES-154,/coursehistories/61,Topic varies semester to semeester. Past topics have included: Film and Literature: Childhood in Times of Peace and War; War and Love: Heroism and Anti-Heroism in Israeli Writings; Jewish Film and Literature: Childhood Memory; Fantasy| Dreams & Madness in Hebrew Literature: Escape or Solution; Voices (of Others) of Israel. Fall 2004: Jewish Film & Literature: History and Memory.   
HIST OF JEWISH CIVIL I,AMES-156,/coursehistories/62,An overview of Jewish history| culture| and society in its Biblical| Hellenistic-Roman| and Rabbinic settings. It will trace the political| social| and intellectual-religious development of Judaism from its beginnings through the SecondTemple period to the formation and evolution of Rabbinic Judaism. Topics to becovered include: Biblical thought and religious practice; varieties of Judaism| Topics to be covered include: Biblical thought and religious practice; varieties of Judaism| the Dead Sea sect and the birth of Christianity; the emergence of the Rabbinic class and institutions; Babylonian Judaism and the composition of the Talmud; the role of the Geonim and the solidification of normative religious practice.   
BIBLE IN TRANSLATION: LEVITICUSNUMBRSDEUTER,AMES-255,/coursehistories/67,Careful textual study of a book of the Hebrew Bible ("Old Testament") as a literary and religious work in the light of modern scholarship| ancient Near Eastern documents| and comparative literature and religion. The book varies from year to year.   
MEDIEVAL BIBLICAL INTERP,AMES-258,/coursehistories/68,This course introduces students to medieval Jewish literature and to the various modern methods and critical approaches--cultural history| literary theory| codicology| the comparative history of religions--that have been developed to study the literature and its cultural meaning. Texts studied will vary from semester to semester| and will include medieval Hebrew poetry| both religious and secular| Biblical exegesis| philosophical and ethical texts| and historiographic works.   
INTRO MOD HEBREW LIT: Poems as Musical Hits Shaping a Nation,AMES-259,/coursehistories/69,This course is especially designed as a first course in Hebrew literature. We will read and discuss Hebrew stories| poems and other texts in Hebrew. The course is open to students who have near-advanced or advanced knowledge of Hebrew| with some reading experience. It will start from the first level| and through contemporary literature| columns from Israeli newspapers and popular culture (films| songs| sketches) bring the students gradually to an advanced level. On the way| we will follow Israeli culture as it deals with complex social| religious| and political issues in Israeli life.   
INTERMED BIBLICAL HEBREW,AMES-350,/coursehistories/78,A continuation of the study of Biblical Hebrew. The spring semester will focus on biblical poetry| its syntax| grammar| specialized vocabulary| and forms. Selections will include various psalms and poems from Jonah| Exodus| and Deuteronomy.   
Literary Responses to the Holocaust,GRMN-251,/coursehistories/551,This course will discuss some of the major literary and cinematic responses to the Holocaust. Much has already been written on this subject and therefore this course will specifically focus on such problems as: how can the Holocaust be translated into literature? Does our notion of literature change once the Holocaust has become its topic? Are fiction and testimony compatible with each other? Can the Holocaust be a topic even if it is not mentioned at all in the text? How do comedy and the Holocaust topic relate to each other? Can history and philosophy be part of a literary treatment of the Holocaust? Influential texts and films from major literatures and cultures in the world will be our starting point.   
WOMEN IN JEWISH LIT,GRMN-262,/coursehistories/554,This course introduces students of literature| women's studies| and Jewish studies to the long tradition of women as readers| writers| and subjects in Jewish literature. All texts will be in translation from Yiddish and Hebrew| or in English. Through a variety of genres--devotional literature| memoir| fiction| and poetry -- we will study women's roles and selves| the relation of women and men| and the interaction between Jewish texts and women's lives. The legacy of women in Yiddish devotional literature will serve as background for our reading of modern Jewish fiction & poetry from the past century. The course is devided into five segments. The first presents a case study of the Matriarchs Rachel and Leah| as they are portrayed in the Hebrew Bible| in rabbinic commentary| in pre-modern prayers| and in modern poems. We then examine a modern novel that recasts the story of Dinah| Leah's daughter. Next we turn to the seventeenth century Glikl of Hamel| the first Jewish woman memoirist. The third segment focuses on devotional literature for and by women. In the fourth segment| we read modern women poets in Yiddish| Hebrew| and English. The course concludes with a fifth segment on fiction and a memoir written by women in Yiddish| Hebrew| and English.   "Jewish woman| who knows your life? In darkness you have come| in darkness do you go." J. L. Gordon (1890)   
BEGINNING YIDDISH II,GRMN-402,/coursehistories/557,In this course| you can continue to develop basic reading| writing and speaking skills. Discover treasures of Yiddish culture: songs| literature| folklore| and films.   
RDGS IN MOD YIDDISH LIT,GRMN-408,/coursehistories/558,This course will survey modern Yiddish literature through readings of Yiddish prose and poetry from the end of the 19th century through the late 20th century. The class will be conducted in both Yiddish and English. Reading knowledge of Yiddish is required| although some texts will be available in English translation. Authors include I.L. Peretz| Isaac Bashevis Singer| Moyshe-Leyb Halpern| and Kadya Molodowsky.   
RELIGIONS OF THE WEST,RELS-002,/coursehistories/970,This course surveys the formative histories of Judaism| Christianity| and Islam| with an eye to the core beliefs and practices of Jews| Christians| and Muslims today. Special attention will be given to points of intersection and interactions| as well as to the impact of their intertwined histories on the formation and development of Western cultures.   
