NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY KOREAN II,KORN-012,/coursehistories/3141,Research seminar for thesis writing   
INTERMEDIATE KOREAN II,KORN-112,/coursehistories/3142,Seminar in International Relations. A two semester sequence including review of advanced International Relations theory and research methods for the preparation of the senior thesis.   
ADVANCED KOREAN II,KORN-212,/coursehistories/3143,Italian national cinema from the Golden Age of silent film and classics of Neorealism to present| covering work of a dozen major directors. Films discussed in context of history from the Unification| national vs. regional identity| gender roles| contemporary politics. Readings in Italian history| Italian film history| and theory of cinema. Taught in English.   
ADV RDGS MOD KOREAN II,KORN-432,/coursehistories/3144,A first semester elementary language course for students who have never studied Italian or who have had very little exposure to the language. Students who have previously studied Italian are required to take the placement test. Class work emphasizes the development of the oral-aural skills| speaking and listening. Readings on topics in Italian culture as well as frequent writing practice are also included. Out-of-class homework requires work with the Internet| audio and video materials.   
BUSINESS KOREAN II,KORN-482,/coursehistories/3145,An intensive two-credit course covering the first and second semester of the elementary year for students who have never studied Italian before but have already fulfilled the language requirement in another modern language| preferably a romance language. Students who have fulfilled the language requirement in a language other than a romance language will be considered on an individual basis. All students must have departmental permission to register.   Class work emphasizes the development of the oral-aural skills| speaking and and listening. Readings on topics in Italian culture as well as frequent writing practice are also included. Out-of-class homework requires work with the Internet| audio and video materials.   
ELEMENTARY KOREAN I,KORN-011,/coursehistories/3430,The evolution of social behavior in animals| with special emphasis on group formation| cooperation among kin| mating systems| territoriality and communication.   
INTERMEDIATE KOREAN I,KORN-111,/coursehistories/3431,This course describes current theorizing on how the human mind achieves high-level cognitive processes such as using language| thinking| and reasoning. The course discusses issues such as whether the language ability is unique to humans| whether there is a critical period to the acquisition of a language| the nature of conceptual knowledge| how people perform deductive reasoning and induction| and how linguistic and conceptual knowledge interact.   
ADVANCED KOREAN I,KORN-211,/coursehistories/3432,Thinking| judgment| and personal and societal decision making| with emphasis on fallacies and biases.   
CURRENT KOREAN MEDIA I,KORN-311,/coursehistories/3433,The concepts of normality| abnormality| and psychopathology; symptom syndromes;theory and research in psychopathology and psychotherapy.   
ADV RDGS MOD KOREAN I,KORN-431,/coursehistories/3434,An overview of theories and research across the range of social behavior from intra-individual to the group level including the effects of culture| social environment| and groups on social interaction.   
BUSINESS KOREAN I,KORN-481,/coursehistories/3435,Human sex and fertility| emphasizing the strengths and weaknesses of evolutionary and ecological approaches. Questions to be addressed include: Why do some people begin having sex before others? Why do some people use birth control and others do not? Why do some people begin having children in their teens and others in their 30's? Why do some men "take responsibility" for their partners' children and others avoid it? Why do some people want to regulate people's reproductive decisions and others do not?   
CURRENT KOREAN RDGS PT 2,KORN-312,/coursehistories/4069,This course explores an aspect of American literature intensively; specific course topics will vary| and have included "American Authors and the Imagined Past" and "American Gothic."   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
BUSINESS KOREAN II,KORN-382,/coursehistories/4301,This course describes the concepts and techniques available to corporations| non-profit organizations| and other organizations in their efforts to manage pure risks. The costs associated with such pure risks as product liability| environmental impairments| property losses| work-related injuries| and employee benefits (e.g.| pensions| health insurance| etc.) affect the daily management of all organizations. Managers who make decisions without appropriate consideration of risk management issues can jeopardize the long-term survival of their organizations. The course examines a common set of techniques which can be used by managers in dealing with these problems| including risk assumption| prevention| diversification| and transfer via insurance and non-insurance market mechanisms. In turn| students learn to recognize that the institutional structure of the organization itself influence its own risks and their corresponding treatments.   
BUSINESS KOREAN I,KORN-381,/coursehistories/4737,Spanish 115 is a first-semester elementary medical Spanish language course and the first in the Spanish for the Medical Professions sequence. It is designed for students with no prior coursework in Spanish. This course teaches beginning students the fundamentals of practical Spanish with an emphasis on medical situations and basic medical terminology. In this course| particular attention will be given to developing speaking and listening skills| as well as cultural awareness. It incorporates activities| vocabulary| and readings of particular interest to healthcare practitioners| while adhering to the goals and scope of Spanish 110| the first-semester Spanish language course.   Students who have previously studied Spanish must take the online placement examination.   
KOREAN/HERITGE SPKRS I,KORN-131,/coursehistories/5809,An introduction to statistics| statistical methods| and probability theory. The course will cover: the nature of statistical data; estimation and hypothesis testing; concepts of statistical inference; measures of central tendency and variability; elementary probability; ANOVA; regression and correlation; non-parametric methods. Emphasis will be placed on application to research in the behavioral sciences. In addition| there will be an introduction to some of the most popular computer-based statistical programs.   
KOREAN/HERITGE SPKRS II,KORN-132,/coursehistories/5914,The course will focus on race and ethnicity in the United States. We begin with a brief history of racial categorization and immigration to the U.S. The course continues by examining a number of topics including racial and ethnic identity| interracial and interethnic friendships and marriage| racial attitudes| mass media images| residential segregation| educational stratification| and labor market outcomes. The course will include discussions of African Americans| Whites| Hispanics| Asian Americans and multiracials.   
BUSINESS COMM IN KOREAN: Business Communication in Korean,KORN-281,/coursehistories/6047,An introduction to the skills of reading| writing| and conversing in modern Hebrew. This course assumes no previous knowledge of Hebrew.   
CURRENT KOREAN MEDIA I,KORN-331,/coursehistories/6283,A non-mathematical course for those interested in chemical principles and theirapplication to technology| evolution| and ecology. This course does not serve as a prerequisite for other courses.   
CURRENT KOREAN MEDIA II,KORN-332,/coursehistories/6401,A course designed to allow the students to discover their own talents in at least two forms from a list that includes fiction| poetry| journalistic writing| creative nonfiction writing| and memoir. Though emphasis is on practice| classroom work includes discussion of theory as well as readings in published works. Frequent writing assignments. Reading lists vary with each section. See the English Department's website at www.english.upenn.edu for a description of the current offerings.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
