NAME,ALIAS,PATH,DESCRIPTION
RISE & FALL ANC MAYA CIV,ANTH-032,/coursehistories/2960,The objective of this class is to explore the many ways of interpretive photographic portraiture. An awareness of historical perspective| technical developments| physiognomy and proxemics will be discussed in order to gain a better understanding of the context of photographic portraiture. Natural and artificial lighting demonstrations will be presented to illustrate the importance of their relationship to the interpretive portrait. Any photographic medium (film - black and white or color - or digital)will be accepted| providing the skill and quality are apparent. There will be an assignment given each week at the beginning of each class and prints/CD's will be due the following week. The final project will be an extended portrait project of your choice. $50 Studio Fee.   
NATIVE PEOPLES & ENVIRON,ANTH-133,/coursehistories/120,The relationship between the activities of native peoples and the environment is a complex and contentious issue. One perspective argues that native peoples had little impact on the environments because of their low population densities| limited technology| and conservation ethic and worldview. At other extreme| biodiversity| and nature itself| is considered the product of a long history of human activities. This seminar will examine the myth of the ecologically noble savage| the myth of the pristine environment| the alliance between native peoples and green politics| and the contribution of native peoples to appropriate technology| sustainable development and conservation of biodiversity.   
LIT OF AMERICAS BFR 1900,ENGL-057,/coursehistories/2526,Survey of the civilization of China (Fall semester) and Japan (Spring semester) from prehistoric times to the present.   
POETRY AND POETICS,ENGL-270,/coursehistories/414,This course explores an aspect of Latina/o literature intensively; specific course topics will vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
LECTURE,HIST-071,/coursehistories/572,Surveys Latin American and Caribbean history from the Haitian Revolution of 1791 to the present. We will examine the legacy of Spanish colonialism and slavery| movements for national and cultural independence| twentieth-century radicalism| and the politics of race in contemporary Latin America. Readings include fictional as well as analytical representations| and a film series will accompany the course.   
CALIFORNIA THROUGH WWII,HIST-179,/coursehistories/589,This course will provide students with a solid knowledge of the history of early modern Spain (1450-1700). Through readings of primary and secondary texts that offer a complex vision of the cultural| religious| intellectual| and economic contexts and processes| students will be able to appreciate the intricacies of Spain's historical evolution. The course focuses on the rise and decline of the Spanish monarchy: the conditions that enabled Spain to become the most powerful monarchy in early modern times| and the conditions that led to its decline. This course also touches upon other important aspects critical to understanding early modern Spain: relationships among Christians| Muslims| and Jews in the Iberian Peninsula; the conquest and colonization of the New World; and early modern debates about Spain's rights to occupy America and the so-called "destruction of the Indies."   
RELIGION IN LATIN AMER,HIST-312,/coursehistories/599,Examines various expressions of religion in contemporary Latin America and their roots both in Native American and African traditions as well as Hispanic Christianity. Emphasis is on "popular" beliefs and rituals and their relationship with elite religion and state power.   
MUSIC OF LATIN AMERICA,MUSC-158,/coursehistories/1415,A general laboratory course covering aspects of qualitative and quantitative analysis| determination of chemical and physical properties| and chemical synthesis. This 0.5 c.u. lab course is an alternative to CHEM 053| but is only open to freshman students who are also enrolled in the special freshman section of CHEM 101 - Section 004.   
CARIBBEAN MUS & DIASPORA,MUSC-258,/coursehistories/2879,What dialogues have defined and constituted American and other literatures? This course examines critical intersections between different literatures| addressing questions of race| ethnicity| and culture. Previous versions of this course have included such titles as "African-American and Jewish-American Literature." Our readings will consider a range of literary interactions| and will take a self-consciously comparative and intertextual approach.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
BRAZILIAN MUSIC,PRTG-240,/coursehistories/3223,Physical properties; fluid statics; Bernoulli equation; fluid kinematics; conservation laws and finite control-volume analysis; conservation laws and differential analysis; inviscid flow; The Navier-Stokes equation and some exact solutions; similitude| dimensional analysis| and modeling; flow in pipes and channels; boundary layer theory; lift and drag.   
TRANSITIONS TO DEMOCRACY,PSCI-314,/coursehistories/3226,This course is an upper level course that discusses the behavior of materials| the selection of materials in mechanical components| and the mechanics of deformable bodies. It is intended for students interested in material science| mechanical engineering| and civil engineering. The topics covered include: Stress. Strain. Principal Stresses. Compatibility. Elastic stress-strain relations. Strain energy. Plane strain. Plane stress. Rods and trusses. Bending of beams. Torsion. Rotating disks. Castigliano's Theorem. Dummy loads. Principle of virtual work. The Rayleigh-Ritz Methods. Introduction to the finite element method. Non-linear material behavior. Yielding. Failure.   
INTRO SPAN AMER LIT: LITERATURA E HISTORIA,SPAN-390,/coursehistories/1084,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
STUDIES IN SPAN AM CULT.: MONSTRUOS Y MAQUINAS,SPAN-396,/coursehistories/1087,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
THE ANCIENT MAYA,ANTH-468,/coursehistories/1657,This course will examine American expressive culture through an exploration of narrative; music; dance; drama; public events; material arts and architecture; religion; medicine; politics;foodways; ways of speaking; and customs surround and celebrating work| leisure| childhood| family| aging| individually and community. In other words| we will be studying the 99% of American life that often goes unnoticed by other college courses! Special topics featured in 2004; tattooing| piercing| branding and other forms of contemporary body arts; UFO abduction as belief and legend; women's home altars; and the African-based North American religion called "vodou.   
THE WORLD 900-1750,HIST-010,/coursehistories/1336,Who is Asian American and how and where do we recognize Asian America? This interdisciplinary course explores the multiple factors thatdefine Asian american identity and community. In order to provide a sketch of the multifacted experience of this growing minority group| we will discuss a wide variety of texts from scholarly| artistic| and popular (film| cinematic) sources that mark key moments in the cultural history of Asia America. The course will address major themes of community life including migration history| Asian American as model minority| race| class| and transnational scope of Asian AMerica. In combination with the readings| this class will foster and promote independent research based on site visits to various Asian American communities in Philadelphia and will host community leaders as guest lecturers.   
GENDER IN LATIN AMERICA,HIST-307,/coursehistories/3405,This course explores the emerging politics of global ecological decay and restoration occurring at the individual| local| nation-state| and international levels.   
