NAME,ALIAS,PATH,DESCRIPTION
INTRO TO CONTRACT LAW,LGST-012,/coursehistories/664,
INTRO TO LAW & LEG PROC,LGST-101,/coursehistories/665,This course presents law as an evolving social institution| with special emphasis on the legal regulation of business. It considers basic concepts of law and legal process| in the U.S. and other legal systems| and introduces the fundamentals of rigorous legal analysis. An in-depth examination of contract law is included.   
LAW OF CORP MGMT & FNCE,LGST-202,/coursehistories/666,This course provides an introduction to the law of corporate management and finance| focusing on large publicly held corporations. It is presented from the perspective that before too long virtually all students will serve on one or more corporate boards of directors and that each should| therefore| know about the duties owed by directors and officers to those toward whom they bear a fiduciary duty. The course covers the basic obligations of corporate directors and managers under state corporate law and the federal securities laws. It also considers the rights and responsibilites of other major stake holders in the governance of public corporations| including shareholders| creditors/bondholders| employees (including corporate executives)| investment bankers| corporate lawyers| and accountants. Particular attention is given to the law of mergers and acquisitions. Important issues of social policy concerning large business corporations are also discussed.   
NEGOTIATION/DISPUTE RES,LGST-206,/coursehistories/667,This course examines the art and science of negotiation| with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings| students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills.   
THE SPORTS INDUSTRY:,LGST-207,/coursehistories/668,This course examines various business disciplines as they apply to the sports industry. The course provides the student with an overview of the business of the intercollegiate| Olympic and professional sports enterprises. In addition| the course investigates the business related issues encountered by managers of sports organizations and covers how business principles can be applied to effectively address these issues.   
CORP RESP AND ETHICS,LGST-210,/coursehistories/669,This course explores business responsibility from rival theoretical and managerial perspectives. Its focus includes theories of ethics and their application to case studies in business. Topics include moral issues in advertising and sales; hiring and promotion; financial management; corporate pollution; product safety; and decision-making across borders and cultures.   
ENVT'L MGMT LAW & POL,LGST-215,/coursehistories/670,This course provides an introduction to environmental management with a focus on law and policy as a basic framework. The primary aim of the course is to give students a deeper practical sense of the important relationship between business and the natural environment and to think critically about how best to manage this relationship.   
DIVERSITY & THE LAW,LGST-218,/coursehistories/671,The goal of this course is to study the role the law has played| and continues to play| in addressing the problems of racial discrimination in the United States. Contemporary issues such as racial profiling| affirmative action| and diversity will all be covered in their social and legal context. The basis for discussion will be assigned texts| articles| editorials and cases. In addition| interactive videos will also be used to aid class discussion. Course requirements will include a term paper and class presentations.   
LAW & POL IN INT'L BUS,LGST-219,/coursehistories/672,This course introduces students to the legal frameworks for regulating international business - national| regional| and international| Topics include mechanisms for international dispute| different standards on assigning nationality| jurisdictional and choice of law problems| controversies regarding the treatment of incoming foreign direct investment and expropriation of foreign-owned businesses| patterns in extraterritoriality| problems of clashing legal standards affecting areas like labor and the environment| and projects for creating more uniform rules governing the conduct of international business. Throughout students will be encouraged to evaluate the policy dimensions of laws and to develop their own critical perspectives regarding these.   
INT'L BUSINESS ETHICS,LGST-220,/coursehistories/673,This course is a multidisciplinary| interactive study of business ethics within a global economy. A central aim of the course is to enable students to develop a framework to address ethical challenges as they arise within and across different countries. Alternative theories about acting ethically in global environments are presented| and critical current issues are introduced and analyzed. Examples include bribery| global sourcing| environmental sustainability| social reports| intellectual property| e-commerce| and dealing with conflicting standards and values across cultures. As part of this study| the course considers non-Western ethical traditions and practices as they relate to business.   
