NAME,ALIAS,PATH,DESCRIPTION
INTRO TO LINGUISTICS,LING-001,/coursehistories/677,A general introduction to the nature| history and use of human language| speech and writing. Topics include the biological basis of human language| and analogous systems in other creatures; relations to cognition| communication| and social organization; sounds| forms and meanings in the world s languages; the reconstruction of linguistic history and the family tree of languages; dialect variation and language standardization; language and gender; language learning by children and adults; the neurology of language and language disorders; the nature and history of writing systems. Intended for any undergraduate interested in language or its use| this course is also recommended as an introduction for students who plan to major in linguistics.   
INFORMATION & REASONING,LING-052,/coursehistories/678,Big| fast| cheap computers; ubiquitous digital networks; huge and growing archives of text and speech; improving algorithms for automatic analysis of text and speech: all of this creates a cornucopia of research opportunities| at every level of linguistic analysis from phonetics to pragmatics| and in applications from linguistic science to information extraction and sentiment analysis. This course will survey the history and prospects of corpus-based research on speech| language| and communication| in the context of class participation in a series of representative projects.   
LANGUAGE AND COGNITION,LING-058,/coursehistories/679,Because of its apparently species-specific nature| language is central to the study of the human mind. We will pursue an interdisciplinary approach to such questions in this course| moving from the structures of language as revealed by linguistic theory to connections with a number of related fields that are broadly referred to as the "cognitive sciences". A number of specific topics will be addressed from these related fields. The structures of language and its role in human cognition will be set against the background of animal communication systems. We will examine the question of how children acquire extremely complex linguistic systems without explicit instruction| drawing on psychological work on the language abilities of children. Additional attention will be focused on the question of how language is represented and computed in the brain| and| correspondingly| how this is studied with brain-imaging techniques.   
INTRO TO SOCIOLING,LING-102,/coursehistories/680,Human language viewed from a social and historical perspective. Students will acquire the tools of linguistic analysis through interactive computer programs| covering phonetics| phonology and morphology| in English and other languages. These techniques will then be used to trace social differences in the use of language| and changing patterns of social stratification. The course will focus on linguistic changes in progress in American society| in both mainstream and minority communities| and the social problems associated with them. Students will engage in field projects to search for the social correlates of linguistic behavior| and use quantitative methods to analyze the results.   
INTRO TO FORMAL LING,LING-106,/coursehistories/681,This course is intended as an introduction to the application of formal language theory| automata theory| and other computational models to the understanding of natural human language. Topics include regular languages and finite state automata; context-free languages and pushdown automata; recursive transition networks; augmented transition networks; tree-adjoining grammars.   
INTRO TO LANGUAGE CHANGE,LING-110,/coursehistories/682,This course covers the principles of language change and the methods of historical linguistics on an elementary level. The systematic regularity of change| the reasons for that regularity| and the exploitation of regularity in linguistic reconstruction are especially emphasized. Examples are drawn from a wide variety of languages| both familiar and unfamiliar. Since there are no prerequisites| the course includes mini-introductions to articulatory phonetics| basic phonology (especially the principle of contrast)| and basic morphology (especially inflection)| all of which must be understood in order to understand the ways in which they change.   
BEG IRISH GAELIC II,LING-131,/coursehistories/683,
AMERICAN SIGN LANGUAGE,LING-145,/coursehistories/684,Introduction to learning and understanding American Sign Language ( ASL ); cultural values and rules of behavior of the Deaf community in the United States. Includes receptive and expressive readiness activities; sign vocabulary; grammatical structure; facial expressive| body movement| gestures signs; receptive and expressive fingerspelling; and deaf culture.   
ASL FOR MEDICAL PROFESS.,LING-148,/coursehistories/685,This course is a continuation of ASL and its fundamental structures| with a focus on medical situations and settings. The course objective is to reinforce negotiation skills and vocabulary in medical ASL and to coninue to be aware of the deaf cultural tendencies. The course is conducted in ASL.   
INTRODUCTION TO SYNTAX,LING-150,/coursehistories/686,This course is an introduction to current syntactic theory| covering the principles that govern phrase structure (the composition of phrases and sentences)| movement (dependencies between syntactic constituents)| and binding (the interpretation of different types of noun phrases). Although much of the evidence discussed in the class will come from English| evidence from other languages will also play an important role| in keeping with the comparative and universalist perspective of modern syntactic theory.   
