NAME,ALIAS,PATH,DESCRIPTION
NATIVE PEOPLES & ENVIRON,ANTH-133,/coursehistories/120,The relationship between the activities of native peoples and the environment is a complex and contentious issue. One perspective argues that native peoples had little impact on the environments because of their low population densities| limited technology| and conservation ethic and worldview. At other extreme| biodiversity| and nature itself| is considered the product of a long history of human activities. This seminar will examine the myth of the ecologically noble savage| the myth of the pristine environment| the alliance between native peoples and green politics| and the contribution of native peoples to appropriate technology| sustainable development and conservation of biodiversity.   
LECTURE,HIST-071,/coursehistories/572,Surveys Latin American and Caribbean history from the Haitian Revolution of 1791 to the present. We will examine the legacy of Spanish colonialism and slavery| movements for national and cultural independence| twentieth-century radicalism| and the politics of race in contemporary Latin America. Readings include fictional as well as analytical representations| and a film series will accompany the course.   
HIST OF LAW & SOCIAL POL,HIST-204,/coursehistories/593,
RELIGION IN LATIN AMER,HIST-312,/coursehistories/599,Examines various expressions of religion in contemporary Latin America and their roots both in Native American and African traditions as well as Hispanic Christianity. Emphasis is on "popular" beliefs and rituals and their relationship with elite religion and state power.   
TPCS IN LATIN AMER HIST: LAT AMER REV MOVEMENTS,HIST-409,/coursehistories/608,Readings and discussion course on selected topics in Latin American history.   
INTER-AMERICAN RELATIONS,PSCI-251,/coursehistories/933,This course examines patterns of inter-American conflict and cooperation. The course examines United States-Latin American relations| regional organizations and subregional organizations. Specific topics include development| dependency| and security.   
MODERN MEXICAN SOCIETY,SOCI-431,/coursehistories/1060,An introduction to social| political| and economic organization of modern Mexico. This course traces to evolution of Mexico's fundamental societal institutions from their birth during the Mexican Revolution of 1910| through their flowering during the 1950's and 1960's| to recent changes under neoliberal administrations. The course ends with a discussion of Mexico's transition to democracy and the election of the first opposition President in 80 years.   
INTRO SPAN AMER LIT: LITERATURA E HISTORIA,SPAN-390,/coursehistories/1084,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SPAN AMER POETRY: JORGE L BORGES IN CONTXT,SPAN-391,/coursehistories/1085,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SPANISH AMERICAN FICTION: LATN AMER WOMEN WRITERS,SPAN-394,/coursehistories/1086,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
