NAME,ALIAS,PATH,DESCRIPTION
ALGEBRA & TRIGONOMETRY,MATH-110,/coursehistories/698,Mathematics 110 is a non-credit course in basic algebra and trigonometry especially designed to help prepare students who must eventually take calculus.Mathematics 110| includes basic algebra| a brief treatment of plane trigonometry|quadratic equations| mathematical induction| the binomial theorem| exponentialand logarithmic functions| and complex numbers.   
MATHEMATICAL FUNDAMENTAL,MATH-115,/coursehistories/699,Functions of several variables| partial derivatives| multiple integrals| differential equations; introduction to linear algebra and matrices with applications to linear programming and Markov processes. Elements of probability and statistics. Applications to social and biological sciences. Use of symbolic manipulation and graphics software in calculus.   
COMMUNITY MATH TEACH PRO,MATH-123,/coursehistories/700,This course allows Penn students to teach a series of hands-on activities to students in math classes at University City High School. The semester starts with an introduction to successful approaches for teaching math in urban high schools. The rest of the semester will be devoted to a series of weekly hands-on activities designed to teach fundamental aspects of geometry. The first class meeting of each week| Penn faculty teach Penn students the relevant mathematical background and techniques for a hands-on activity. During the second session of each week| Penn students will teach the hands-on activity to a small group of UCHS students. The Penn students will also have an opportunity to develop their own activity and to implement it with the UCHS students.   
INTRODUCTION TO CALCULUS,MATH-130,/coursehistories/701,Introduction to concepts and methods of calculus for students with no previous Calculus experience. Polynomial and elementary transcendental functions and their applications; derivatives| extremum problems| curve-sketching| approximations; integrals and the fundamental theorem of calculus.   
CALCULUS NASC I,MATH-140,/coursehistories/702,Review of functions| limits| continuity. Differentiation: extremum problems| curve-sketching| differentials| related rates. Definite and indefinite integrals: Riemann sums| initial-value problems| fundamental theorem| techniques of integration. Applications of differentiation and integration to physical problems. Use of symbolic manipulation and graphics software in Calculus.   
CALCULUS NASC II,MATH-141,/coursehistories/703,Infinite series| Taylor's theorem| parametric and polar equations| vector-valued functions| partial derivatives and applications| double and triple integrals| and ordinary differential equations. Applications to physical sciences. Use of symbolic manipulation and graphics software in Calculus.   
CALCULUS SBSC I,MATH-150,/coursehistories/704,Review of functions| limits| continuity. Differentiation: extremum problems| curve-sketching| differentials| related rates. Definite and indefinite integrals: Riemann sums| initial-value problems| fundamental theorem| techniques of integration. Applications of differentiation and integration to problems in economics and other social and biological sciences. Use of symbolic manipulation and graphics software in Calculus.   
CALCULUS SBSC II,MATH-151,/coursehistories/705,Functions of several variables| partial derivatives| multiple integrals| differential equations; infinite series and Taylor's theorem| introduction to linear algebra and matrices with applications to linear programming and Markov processes. Elements of probability and statistics. Applications to social and biological sciences. Use of symbolic manipulation and graphics software in Calculus.   
IDEAS IN MATHEMATICS,MATH-170,/coursehistories/706,Topics from among the following: logic| sets| calculus| probability| history and philosophy of mathematics| game theory| geometry| and their relevance to contemporary science and society.   
INTRO MATHEMATICAL ANALY,MATH-201,/coursehistories/707,Course experimentally replaced by Math 202. Call Mathematics Department (215-898-8178) for details.   
INTRO TO MODERN ALGEBRA,MATH-205,/coursehistories/708,Course experimentally replaced by Math 203. Call Mathematics Department (215-898-8178) for details.   
MATH IN AGE OF INFO,MATH-210,/coursehistories/709,This course counts as a regular elective for both the Mathematics Major and Minor.   This is an experimental course about mathematical reasoning and the media. Embedded in many stories one finds in the media are mathematical questions as well as implicit mathematical models for how the world behaves. We will discuss ways to recognize such questions and models| and how to think about them from a mathematical perspective. A key part of the course will be about what constitutes a mathematical proof| and what passes for proof in various media contexts. The course will cover a variety of topics in logic| probability and statistics as well as how these subjects can be used and abused.   
CALCULUS III,MATH-240,/coursehistories/710,Linear algebra: vectors| matrices| systems of linear equations| eigenvalues and eigenvectors. Vector calculus: functions of several variables| vector fields| line and surface integrals| Green's| Stokes' and divergence theorems. Series solutions of ordinary differential equations| Laplace transforms and systems of ordinary differential equations. Use of symbolic manipulation and graphics software.   
CALCULUS IV,MATH-241,/coursehistories/711,St urm-Liouville problems| orthogonal functions| Fourier series| and partial differential equations including solutions of the wave| heat and Laplace equations| Fourier transforms. Introduction to complex analysis. Use of symbolic manipulation and graphics software.   
ADVANCED CALCULUS,MATH-360,/coursehistories/712,Syllabus for MATH 360-361: a study of the foundations of the differential and integral calculus| including the real numbers and elementary topology| continuous and differentiable functions| uniform convergence of series of functions| and inverse and implicit function theorems. MATH 508-509 is a masters level version of this course.   
ADVANCED CALCULUS,MATH-361,/coursehistories/713,Continuation of MATH 360.   
ALGEBRA,MATH-370,/coursehistories/714,Syllabus for MATH 370-371: an introduction to the basic concepts of modern algebra. Linear algebra| eigenvalues and eigenvectors of matrices| groups| rings and fields. MATH 502-503 is a masters level version of this course.   
ALGEBRA,MATH-371,/coursehistories/715,Continuation of MATH 370.   
ADVANCED LINEAR ALGEBRA,MATH-412,/coursehistories/716,This is identical to Math 312| registration is restricted to Engineering graduate students only.   
ORDINARY DIFFER EQUATION,MATH-420,/coursehistories/717,After a rapid review of the basic techniques for solving equations| the course will discuss one or more of the following topics: stability of linear and nonlinear systems| boundary value problems and orthogonal functions| numerical techniques| Laplace transform methods.   
PARTIAL DIFFER EQUATIONS,MATH-425,/coursehistories/718,Method of separation of variables will be applied to solve the wave| heat| and Laplace equations. In addition| one or more of the following topics will be covered: qualitative properties of solutions of various equations (characteristics| maximum principles| uniqueness theorems)| Laplace and Fourier transform methods| and approximation techniques.   
STATISTICS-LAW,MATH-475,/coursehistories/719,Introduction to probability and statistics with illustrative material drawn from cases. Statistical inference. Basic concepts of information theory. This course may not be taken to satisfy the requirements of the major.   
TOPICS IN MODERN MATH: COMBINATORICS,MATH-480,/coursehistories/720,Mathematics 480 will open with a review of the basics of real analysis (brief or extended background requires). The review will include: introduction of the real numbers through Dedekind cuts| continuity of real-valued functions on the real line; Cantor nested-interval principle| basic results for continuous functions| Maximum and Intermediate Value theorems| Heine-Borel Theorem| Uniform Continuity on closed intervals; metric spaces| convergence of sequences| Cauchy sequences| completeness| more general uniform continuity and intermediate value theorems; general topology| separation| compactness| product spaces| Tychonoff's Theorem.   Special topics in analysis: Weierstrass Polynomial Approximation Theorem| Bernstein polynomials and simultaneous approxfunctions and derivatives| topics from divergent series| summation methods; r measure theory| the Lebesgue integral| Lp spaces| Holder| Minkowski| and and Cauchy-Schwarz inequalities; basics of Functional Analysis| normed spaces| Banach spaces and Hilbert space| with examples (Lp spaces| continuous-functions spaces)| Banach spaces and spectral theory| groups and Fourier transforms| Tauberian theorems; approximation theory| again| through the prism of functional analysis; extension of the polynomial approximation theorem (Stone-Weierstrass theorem)| Muntz approximation theorem (by polynomials with preassigned powers)| compact operators| the Spectral theorem| Stone's theorem (resprsentations of the additive group of real numbers); Peter-Weyl theory (represenations of compact groups). A selection from these topics as time and class preparation allow.   
GEOM-TOPOLOGY DIFF GEOM,MATH-501,/coursehistories/721,Review of 2- and 3-dimensional vector calculus| differential geometry of curves and surfaces| Gauss-Bonnet theorem| elementary Riemannian geometry| knot theory| degree theory of maps| transversality.   
ABSTRACT ALGEBRA,MATH-503,/coursehistories/722,Continuation of Math 502.   
GRAD PROSEMINAR IN MATH,MATH-505,/coursehistories/723,This course focuses on problems from Algebra (especially linear algebra and multilinear algebra) and Analysis (especially multivariable calculus through vector fields| multiple integrals and Stokes theorem). The material is presented through student solving of problems. In addition there will be a selection of advanced topics which will be accessible via this material.   
ADVANCED ANALYSIS,MATH-509,/coursehistories/724,Continuation of Math 508. The Arzela-Ascoli theorem. Introduction to the topology of metric spaces with an emphasis on higher dimensional Euclidean spaces. The contraction mapping principle. Inverse and implicit function theorems. Rigorous treatment of higher dimensional differential calculus. Introduction to Fourier analysis and asymptotic methods.   
