NAME,ALIAS,PATH,DESCRIPTION
ENG MECHANICS: DYNAMICS,MEAM-211,/coursehistories/728,This course introduces the basic concepts in kinematics and dynamics that are necessary to understand| analyze and design mechanisms and machines. These concepts are also fundamental to the modeling and analysis of human movement| biomechanics| animation of synthetic human models and robotics. The topics covered include: Particle dynamics using energy and momentum methods of analysis; Dynamics of systems of particles; Impact; Systems of variable mass; Kinematics and dynamics of rigid bodies in plane motion; Computer-aided dynamic simulation and animation.   
DESIGN OF MECH SYSTEMS,MEAM-310,/coursehistories/729,The objective of the course is to teach the principles of design| with emphasis on components and systems involving the flow of fluids| heat and mass transfer| air conditioning and refrigeration| energy conversion| power generation| and propulsion. The topics covered include introduction to engineering design| economics| modeling| creativity| thermal/fluid equipment and components| reliability| liability| safety| optimization| and materialization of the design as a market product. At least one team design| construction| and testing project is included.   
VIBRATION MECH SYSTEMS,MEAM-321,/coursehistories/730,This course teaches the fundamental concepts underlying the dynamics of vibrations for single-degree of freedom| multi-degree and infinite-degree of freedom mechanical systems. The course will focus on Newton's Force Methods| Virtual-Work Methods| and Lagrange's Variation Methods for analyzing problems in vibrations. Students will learn how to analyze transient| steady state and forced motion of single and multi-degree of freedom linear and non-linear systems. The course teaches analytical solution techniques for linear systems and practical numerical and simulation methods for analysis and design of nonlinear systems.   
HEAT/MASS TRANSFER,MEAM-333,/coursehistories/731,This course covers fundamentals of heat and mass transfer and applications to practical problems in energy conversion and conservation. Emphasis will be on developing a physical and analytical understanding of conductive| convective| and radiative heat transfer| as well as design of heat exchangers and heat transfer with phase change. Topics covered will include: types of heat transfer processes| their relative importance| and the interactions between them| solutions of steady state and transient state conduction| emission and absorption of radiation by real surfaces and radiative transfer between surfaces| heat transfer by forced and natural convection owing to flow around bodies and through ducts| analytical solutions for some sample cases and applications of correlations for engineering problems. Students will develop an ability to apply governing principles and physical intuition to solve problems.   
AERODYNAMICS,MEAM-435,/coursehistories/732,This course deals with fluid flows around moving objects| for example| subsonic and supersonic air flows around flying wings and bodies. Topics covered will include: review of fluid kinematics and conservation laws| vorticity theorems| two-dimensional potential flow| airfoil theory| two- and three-dimensional wing theory| shock waves| supersonic wing theory.   
FIN ELEMENT ANALYSIS,MEAM-527,/coursehistories/733,The objective of this course is to equip students with the background needed to carry out finite elements-based simulations of various engineering problems. The first part of the course will outline the theory of finite elements. The second part of the course will address the solution of classical equations of mathematical physics such as Laplace| Poisson| Helmholtz| the wave and the Heat equations. The third part of the course will consist of case studies taken from various areas of engineering and the sciences on topics that require or can benefit from finite element modeling. The students will gain hand-on experience with the multi-physics| finite element package FemLab.   
ADV TPCS/TRNSPT PHEN,MEAM-571,/coursehistories/734,The course deals with advanced topics in transport phenomena and is suitable for graduate students in mechanical| chemical and bioengineering who plan to pursue research in areas related to transport phenomena or work in an industrial setting that deals with transport issues. Topics include: Multi-component transport processes; Electrokinetic phenomena; Phase change at interfaces: Solidification| melting| condensation| evaporation| and combustion; Radiation heat transfer: properties of real surfaces| non-participating media| gray medium approximation| participating media transport| equation of radiative transfer| optically thin and thick limits| Monte-Carlo methods: Microscale energy transport in solids; microstructure| electrons| phonons| interactions of photons with electrons| phonons and surfaces; microscale radiation phenomena.   
ROBOTICS COMBINAT EXPERI,CHE-562,/coursehistories/244,An introduction to the use of robotics for large-scale experimentation. The course will cover micropositioning| micromanipulation| liquid handling| combinatorial chemistry| microfluidics and lob-on-a-chip design| DNA biochips and microarrary technologies. A special emphasis is placed on: drug discovery| detection systems; and the generation and analysis of biological diversity. Examples from material discovery will also be covered. Working knowledge in biology or fluid mechanics is not assumed| but helpful.   
ROBOTICS,CSE-390,/coursehistories/318,
INTRO TO CAD/CAM,MEAM-101,/coursehistories/1399,This course introduces students to "managerial economics|" the application of microeconomic theory to management problems. Microeconomic theory is a remarkably useful body of ideas for understanding and analyzing human behavior in a variety of contexts. Our goal in this course is to get you to internalize this body of theory well enough so that you can analyze management problems. While this is a "tools course"| we will be mindful of applied business problems throughout the course. After presenting the competitive model we will dwell on other market structures more like those encountered by typical firms (monopoly| oligopoly| monopolistic competition). We will spend some time on microeconomic lessons on the development and use of market power| as well as strategic interaction among firms. Finally| we will spend some time on the theory of market failure.   
