NAME,ALIAS,PATH,DESCRIPTION
ENTREPENURIAL ORGNZN,MGMT-010,/coursehistories/735,
INTERNATIONAL MANAGEMENT,MGMT-013,/coursehistories/736,
LABOR MGMT RELATIONS,MGMT-014,/coursehistories/737,
ORG BEHAVIOR/THEORY,MGMT-039,/coursehistories/738,This course analyzes how the structure and processes of an organization can be designed in light of the restrictions and requirements of the technology it uses| the environment in which it operates| the nature of its goals and the stage of its development.   
LDERSHP & COMMUN IN GRPS,MGMT-100,/coursehistories/739,As a Wharton undergraduate| you are in a position to become a future business leader. Management 100 is designed to increase your understanding of leadership and communication in teams and to help you build skills that are necessary for professional success. You will study literature on leadership| management communication| and group dynamics and also complete a field project| an integral part of the course. Your field project provides the context in which you will develop as a leader| practice communication skills| learn about the nature of group work| and enhance your sensitivity to community issues. Management 100 will enrich your Wharton experience by providing many opportunities for interaction with peers| advanced students| alumni| faculty and the community.   
LECTURE,MGMT-101,/coursehistories/740,This course addresses contemporary management challenges stemming from changing organizational structures| complex environmental conditions| new technological developments and increasingly diverse workforces. It highlights critical management issues involved in planning| organizing| controlling and leading an organization. This course will help you understand some of the issues involved in both managing and being managed and equip you to become more effective contributors to organizations that you join. The course will cover several topics in management| organization and strategy. Each topic will span one or two weeks. Topics include combinations of the following areas: organizational structure| organizational culture| strategy| interorganizational relationships| job design| groups| reward systems| work force composition| power and politics| social responsibility| organizational change| organizational decision-making| business history. The professor will cover an overview of the topic with frameworks and examples in the lecture and the teaching assistant will lead a case discussion that integrates these frameworks in the recitation.   
INDUS REL & HUM RES MGMT,MGMT-104,/coursehistories/741,The focus of Management 104 is the economic and institutional constraints on organizations in the formulation and implementation of human resources management policies and strategies in the United States and| as appropriate| internationally. The specific constraints discussed are labor markets (external and internal)| labor laws (governing employment policies and employee relations)| and labor unions (and the threat thereof). Particular attention is paid to the relationship of these constraints to the competitiveness of American enterprise in the global economy.   
POLITICS OF MULT FIRM,MGMT-209,/coursehistories/742,This course explores the intersection of international strategy and international relations to help students to identify and introduce sustainable and profitable business strategies in sectors with a history of or strong potential for ongoing political intervention. We will examine the identity| background| incentives and operations of relevant national and international political actors; and the process by which they generates policies that can adversely or favorably influence firm profitability. Corporations whose success depends crucially on a sophisticated analysis of the contending forces in the geopolitical arena and an ability to influence policy outcomes will serve as examples of the first-order strategic importance of incorporating the political environment in multinational strategy formulation.   
DIVERSITY IN WORKPLACE,MGMT-224,/coursehistories/743,
BUS. PLAN CREAT. & IMPLE,MGMT-227,/coursehistories/744,Business Plan Creation and Implementation is an overview course of Entrepre- neurial Businesses for the entrepreneurial-minded Penn student. The course will cover opportunity assessment and feasibility analysis| as well as implementation| deal structure and operations with a special emphasis on the psychological and sociological ramifications of the entrepreneurial pursuit. Each topic is approached from a pgramatic perspective. The purpose of this course is to expose students to the entrepreneurial pursuit| its ramifications and its rewards. Thus| both class assignments and class discussions are based upon real life experiences. The lecture| the readings| the cases and the speakers all reflect that purpose.   
ENTREP DECISION MAKING,MGMT-230,/coursehistories/745,MGMT 230 integrates the material introduced in business fundamental courses andapplies it to the design and evaluation of new ventures. The purpose of this course is to explore the many dimensions of new venture creation and growth and to foster innovation and new business formations in independent and corporate settings. The course addresses both a theoretical perspective on venture initiation and the application of writing an actual business plan.   
ENTREPR VENTR INITIATION,MGMT-231,/coursehistories/746,MGMT 231 is an advanced sequel to Mgmt.230 focusing on independent entrepreneurship| business plans and the business planning process| and the operating management of small firms. Ideally| the course builds upon venture opportunities identified in MGMT 230.   
