NAME,ALIAS,PATH,DESCRIPTION
INTRO TO MARKETING,MKTG-011,/coursehistories/758,This course is concerned with how and why people behave as buyers - either consumer or industrial. Its goals are: (1) to provide conceptual understanding of buyer behavior| (2) to provide experience in the application of buyer behavior concepts to marketing management and social policy decision making| and (3) to develop analytic capability in using behavioral research data and methodology.   
ADVERTISING,MKTG-024,/coursehistories/759,Examination of the practice of advertising directed by relevant behavioral science and management science theory. Focuses on decisions regarding advertising objectives| copy selection| budget setting and media selection. Maytake this course or MKTG 35| but not both.   
MARKETING STRATEGY,MKTG-077,/coursehistories/760,This course introduces the student to problems in high-level marketing decisionmaking with several strategic marketing planning frameworks frequently applied during the analysis of those problems. The course will focus on a variety of management problems which include the following characteristics: 1. Several strategic business units are involved in the decision. 2. Competitors' behaviors are formally taken into account. 3. Long-term marketing advantages are sought. 4. Profit and other financial consequences are considered.   
LECTURE,MKTG-101,/coursehistories/761,The objective of this course is to introduce students to the concepts| analyses| and activities that comprise marketing management| and to provide practice in assessing and solving marketing problems. The course is also a foundation for advanced electives in Marketing as well as other business/social disciplines. Topics include marketing strategy| customer behavior| segmentation| market research| product management| pricing| promotion| sales force management and competitive analysis.   
CONSUMER BEHAVIOR,MKTG-211,/coursehistories/762,This course is concerned with how and why people behave as consumers. Its goals are to: (1) provide conceptual understanding of consumer behavior| (2) provide experience in the application of buyer behavior concepts to marketing management decisions and social policy decision-making; and (3) to develop analytical capability in using behavioral research.   
MARKETING RESEARCH,MKTG-212,/coursehistories/763,This course examines the role of marketing research in the formulation and solution of marketing problems| and the development of the student's basic skills in conducting and evaluating marketing research projects. Special emphasis is placed on problem formulation| research design| alternative methods of data collection (including data collection instruments| sampling| and field operations)| and data analysis techniques. Applications of modern marketing research procedures to a variety of marketing problems are explored.   
NEW PRODUCT MANAGEMENT,MKTG-221,/coursehistories/764,Examination of the marketing aspects of products or services exclusive of their promotion| pricing or distribution. Focuses on decisions regarding product introduction| positioning| improvements| and deletion| and the tools available for making these decisions.   
PRICING POLICY,MKTG-222,/coursehistories/765,The pricing decision process including economic| marketing| and behavioral phenomena which constitute the environment for pricing decisions and the information and analytic tools useful to the decision maker.   
ADVERTISING MANAGEMENT,MKTG-224,/coursehistories/766,Immersion in the advertising development process and examination of the practice of advertising. Focuses on decisions regarding advertising objectives| copy selection| budget setting and media selection.   
MKTG AND ELECTRONIC COMM,MKTG-227,/coursehistories/767,The effect of the Internet and related technologies on business and social institutions is more profound than that of any prior invention| including the printing press and the internal combustion engine. Furthermore| marketing plays a key role in shaping the modern consumption-led economies fueled by these technologies. MKTG 227 provides a research-based and framework-driven approach to understanding digital marketing and electronic commerce.   The course is organized around three sections and utilizes relevant theory| empirical analysis| and practical examples to develop the key learning points. Guests from the entrepreneur and investor communities participate| as appropriate. Part I presents the behavioral foundations for understanding electronic commerce| and covers the relevant phenomena and theory from economics| marketing| and related fields. Part II examines ecommerce business models and institutions including Internet retail| subscription commerce| curated commerce| and so on. Part III focuses on how digital marketing fosters ecommerce business growth. In particular| we survey| critique| and evaluate common digital marketing methods and tactics.   
MARKETING STRATEGY,MKTG-277,/coursehistories/768,This course views marketing as both a general management responsibility and an orientation of an organization that helps one to create| capture and sustain customer value. The focus is on the business unit and its network of channels| customer relationships| and alliances. Specifically| the course attempts to help develop knowledge and skills in the application of advanced marketing frameworks| concepts| and methods for making strategic choices at the business level.   
ENTREPRENEURIAL MKTG,MKTG-281,/coursehistories/769,This course focuses on the key marketing concepts and methods relevant for entrepreneurs. In particular| it covers the marketing elements of new venture initiation (including a business plan)| as well as marketing decisions for small and growing organizations. Topics include product/service design| assessment of market potential| creation of successful distribution relationships| and new product pricing. In contrast to the product development course| the emphasis here is on a new startup business rather than a new offering from an existing business. Topics covered in this course also include low-budget or no-budget market research| successful strategic alternatives for small business| alternatives to high-cost advertising (e.g.| direct marketing| alternative media| and personal selling) segmentation| and targeted marketing. Students will prepare a marketing plan for an entrepreneurial organization of their choice| possibly for a new venture they are considering.   
SENIOR CONFERENCE,MKTG-341,/coursehistories/770,Project course oriented toward developing a marketing plan for a sponsoring organization. Research (primary| secondary| or both) is a major component. Students are required to integrate marketing concepts into a consistent whole and to make firm recommendations for decision making in real world situations. Projects are done in teams| although evaluation is individual. MKTG 212| while not required| is very helpful.   
SELL & SALES MGMT,MKTG-026,/coursehistories/1404,Steady-state heat conduction. The energy equation. Fourier's law. Unsteady-state conduction. Convective heat transfer. Radiation. Design of heat transfer equipment. Diffusion| fluxes| and component conservation equations. Convective mass transfer. Interphase mass transport coefficients.   
