NAME,ALIAS,PATH,DESCRIPTION
ENGINEERING MATERIALS,MSE-220,/coursehistories/771,This course provides an introduction to the fundamental concepts of Materials Science through an examination of the structure| property| performance relationship for synthetic and biologic structural materials with a focus on surgical implants and medical devices. Consideration is given to issues of biocompatibility| degradation of materials by the biologic systems| and biologic response to artificial materials. Particular attention will be given to the materials of total hip and knee prostheses and their relationship to the long term outcomes in hip and knee arthroplasty.   
QUANTUM PHYS OF MATLS,MSE-221,/coursehistories/772,The course is directed at the development of a background in basic physics required to understand the behavior of electrons in atoms| molecules and solids. Examples to illustrate the application of these techniques will be centered in the free and nearly free electron theory of solids. The application of modern physics to many state-of-the-art materials analysis techniques will be demonstrated throughout the course.   
FUNCTIONAL MATERIALS,MSE-222,/coursehistories/773,This course introduces students to the science of functional materials in the context of applications. This course assumes an introductory knowledge of physics and chemstry and is aimed at undergraduates in physical engineering programs as well as physics and chemistry. Functional materials are the "brains" behind high technology applications found in many electronics| telecommunications and biomedical industries. The goal of this course is to provide a fundamental understanding of the synthesis| processing| structure and property behavior of functional materials. The performance and utilization of these materials will also be discussed.   
STRUC/PROP OF ALLOYS-LAB,MSE-250,/coursehistories/774,The course provides an in-depth experimental introduction to key concepts in materials and the relationships between nanoscale structure| the properties and performance. The use of laboratory methods to examine the structure of materials| to measure the important properties| and to investigate the relationship between structure and properties is covered. Emphasis is placed on a complete exposure of Nano and Materials science as a field. Most experiments require multiple laboratory sessions| with priority given to experiments in which students explore the entire range of materials science| from the synthesis of materials and the characterization of structure| thermodynamics and composition| to the measurement of properties and discussion of applications. Students are able to realize working devices as an end product of the key laboratories in this course. Practice in oral and written communication is realized through course assignments.   
THERMODYNAMICS & PHASE,MSE-260,/coursehistories/775,Basic principles of chemical thermodynamics as applied to macro and nano-sized materials. This course will cover the fundamentals of classical thermodynamics as applied to the calculation and prediction of phase stability| chemical reactivity and synthesis of materials systems. The size-dependent properties of nano-sized systems will be explored through the incorporation of the thermodynamic properties of surfaces. The prediction of the phase stability of two and three component systems will be illustrated through the calculation and interpretation of phase diagrams for metallic| semiconductor| inorganic| polymeric and surfactant systems.   
ELECTRONIC MATERIALS II,MSE-322,/coursehistories/776,Application of the principles developed in MSE 222 to specific problems in electronics technology. Preparation| physical and chemical properties of materials used in electronic devices| and integrated circuit fabrication. Bulk semiconductors; thin film oxides and metals; polymers and ceramics. Defect characterization and control of properties. Format: Lecture| Labs and Readings from current literature. Remedial self-taught labs will be provided for students unfamiliar with electronic measurements. Extensive use of computer-controlled experiments will be made.   
MATS FOR INFRASTRUCTURES,MSE-420,/coursehistories/777,The infrastructure and transportation industries provide the backbone upon which the modern economy is built. This course is designed to provide the student with an understanding of the classes of materials| materials design considerations and materials formation processes that underlie these vital segments of the world economy. The course contains two related streams| classroom lectures and team-based design projects. In the lectures| key materials properties that govern the utility of structural components will be covered| with detailed treatment of the concepts of plastic flow and fracture of structural materials. Through the design projects| students will conduct separate mini-projects on materials selection for specific applications using database approaches| failure analysis| and process modeling.   
INTRO TO POLYMERS,MSE-430,/coursehistories/778,This course focuses on synthesis| characterization| microstructure| rheology| and structure-property relationships of polymers| polymer directed composites and their applications in biotechnology. Topical coverage includes: polymer synthesis and functionalization; polymerization kinetics; structure of glassy| crystalline| and rubbery polymers; thermodynamics of polymer solutions and blends| and crystallization; liquid crystallinity| microphase separation in block copolymers; polymer directed self-assembly of inorganic materials; biological applications of polymeric materials. Case studies include thermodynamics of block copolymer thin films and their applications in nanolithography| molecular templating of sol-gel growth using block copolymers as templates; structure-property of conducting and optically active polymers; polymer degradation in drug delivery; cell adhesion on polymer surface in tissue engineering.   
CHEM DEGR OF MATLS,MSE-455,/coursehistories/779,This course is designed to provide an understanding of the corrosion principles and the engineering methods used to minimize and prevent corrosion. Metals and alloys are emphasized because these are the materials in which corrosion is the most prevalent. Aqueous environments are also emphasized these are the common corrosion conditions.   In the first half of the course| the impact and electrochemical nature of corroare described| and then the corrosion fundamentals (electrochemical reactions| phase (pourbaix) diagrams| aqueous corrosion kinetics| passivity| and high-temperature oxidation) are emphasized. The forms of corrosion (galvanic| pitting and crevice| environmentally induced cracking) and corrosio in the human body (for example| surgical implants and prosthetic devices) and in other selective environments (concrete| seawater| and water solutions conta dissolved salts| sulfur| and bacteria) are also described in the second half. Corrosion in the human body (for example| surgical implants and prosthetic devices) and in othr selective environments (concrete| scawater| and water solutions containing dessolved salts| sulfur| and bacteria) are also described in the second half.   
MATERIALS SELECTION,MSE-493,/coursehistories/780,This course has been designed to bridge the gap between theory and applications. This course has several broad goals: (1) demonstrate how fundamental materials science principles underlie materials applications in a range of industries (e.g.| information storage| sports| biotechnology); (2) Develop the students' ability to understand the relationship between the performance of a device and the materials/processes that make up the device; and (3) learn how to make trade-offs between performance| processing and cost| and understand te wider implications about such trade-offs.   
