NAME,ALIAS,PATH,DESCRIPTION
INTRO HIST OF MUSIC II,MUSC-021,/coursehistories/783,"In this historical survey| students learn to listen analytically| historically| and creatively to music from the Middle Ages to the present day. A wide range of musical repertories including plainchant| opera| orchestral music| and chamber music is covered. Composers studied include Bach| Mozart| Beethoven| Verdi| and Wagner. No prior musical knowledge is required.   
WORLD MUSICS & CULTURES,MUSC-022,/coursehistories/784,Draws on repertories of various societies from Asia| Africa| Europe| and the Americas to examine relations between aesthetic productions and social processes. We investigate musical sounds| cultural logics informing those sounds| and social strategies of performance. Topics may include indigenous music theories| music and social organization| symbolic expressions and musical meaning| gender| religion| and social change.   
THEORY/MUSICIANSHIP I,MUSC-025,/coursehistories/785,
HISTORY OF OPERA,MUSC-030,/coursehistories/786,We know that we like music and that it moves us| yet it is often difficult to pinpoint exactly why| and harder still to explain what it is we are hearing. This course takes on those issues. It aims to introduce you to a variety of music| and a range of ways of thinking| talking and writing about music. The majority of music dealt with will be drawn from the so-called "Classical" repertory| from the medieval period to the present day| including some of the 'greats' such as Handel| Beethoven| Mozart| Berlioz| and Verdi| but will also introduce you to music you will most likely never have encountered before. This course will explore the technical workings of music and the vocabularies for analyzing music and articulating a response to it; it also examines music as a cultural phenomenon| considering what music has meant for different people| from different societies across the ages and across geographical boundaries. As well as learning to listen ourselves| we will also engage with a history of listening. No prior musical knowledge is required. (Formerly Music 021)   
HISTORY OF SYMPHONY,MUSC-040,/coursehistories/787,A survey of representative symphonies by such composers as Haydn| Mozart| Beethoven| Schubert| Berlioz| Schumann| Brahms| Tchaikowsky| and Mahler. Historical developments will be considered| along with the effects upon symphonic literature of such major sociological changes as the emergence of the public concert hall. But the emphasis will be on the music itself--particularly on the ways we can sharpen our abilities to engage and comprehend the composers' musical rhetoric.   
THEORY/MUSICIANSHIP II,MUSC-071,/coursehistories/788,Intermediate tonal harmony and musicianship   
JAZZ:STYLE & HISTORY,MUSC-075,/coursehistories/789,Music 075 401 (Dr. Ramsey): Exploration of the family of musical idioms called jazz. Attention will be given to issues of style| to selected musicians| and to the social| cultural| and scholarly issues raised by its study. Music 075 601 (Professor Parberry): Development of jazz from the beginning of the 20th Century to present. Analysis of the stylistic flux of jazz| such as the progression from dance music to bebop and the emergence of the avant-garde and jazz rock. Attention will be given to both the artists who generated the changes and the cultural conditions that often provided the impetus.   
HIST MUS RENAISSANCE,MUSC-101,/coursehistories/790,Music of the Renaissance.   
BEETHOVEN,MUSC-122,/coursehistories/791,European music of the Baroque period| through the middle of the 18th century.   
THEORY/MUSICIANSHIP IV,MUSC-171,/coursehistories/792,Continuation of techniques established in Theory and Musicianship I. Explores chromatic harmony in music of composers from Beethoven to Rachmaninoff. Concepts will be developed through analysis and model composition. Assignments will include the composition of pieces in the styles of these composers as well as several papers. Musicianship skills will include sight singing| clef reading| harmonic dictation and keyboard harmony.   
16TH C. COUNTERPOINT,MUSC-270,/coursehistories/793,Analysis of the principal styles of 18th-Century Music. Frequent composing assignments in various genres in the style of Bach.   
ANAL OF 20THC MUSIC I,MUSC-515,/coursehistories/794,Analytical studies of twentieth-century music.   
ORCHESTRATION,MUSC-520,/coursehistories/795,A study of the instruments of the orchestra and their combination. Frequent written projects.   
BEGINNING TABLA II,SARS-062,/coursehistories/1004,A continuation of Tabla I| also open to beginning students| speak to the instructor.   
BEGINNING SITAR II,SARS-063,/coursehistories/1005,This is the second semester of a beginning performance course in North Indian sitar. Students who have not taken the first semester but have experience with any musical instrument are permitted to join. Fundamentals of sitar technique| composition and improvisation are presented and practiced in class. Performance practice is supplemented by lectures| readings| and audio and video material on selected topics in North Indian musical culture. Each student is expected to put in two hours of practice per week| and complete reading| audio and written assignments. The class gives a group performance at the end of the semester.   
CHAMBER MUSIC,MUSC-011,/coursehistories/1410,Advanced study of re DNA techniques; bioreactor design for bacteria| mammalian and insect culture; separation methods; chromatography; drug and cell delivery systems; gene therapy; and diagnostics.   
HAYDN/MOZART,MUSC-027,/coursehistories/1411,A non-mathematical course for those interested in chemical principles and theirapplication to technology| evolution| and ecology. This course does not serve as a prerequisite for other courses.   
WORLD MUSICS & CULTURES,MUSC-050,/coursehistories/1412,This course will explain in non-mathematical terms how essentially all biological properties are determined by the microscopic chemical properties of proteins. It will also explain how research results| especially those of structural biology| are presented to its various audiences.   
THEORY/MUSICIANSHIP I,MUSC-070,/coursehistories/1413,A general laboratory course covering aspects of qualitative and quantitative analysis| determination of chemical and physical properties| and chemical synthesis.   
INTRO TO MUS LIFE-AMER,MUSC-140,/coursehistories/1414,Continuation of CHEM 053.   
